,Product,Manufacturer,Architecture,Released,BUS,Memory,GPU.Clock,Memory.Clock,Shaders.TMUs.ROPs,Production.Status
155,Radeon R7 350X OEM,AMD,Oland,"May 5th, 2015",PCIe 3.0 x8,"4 GB, DDR3, 128 bit",1000 MHz,1000 MHz,384 / 24 / 8,End-of-life
156,Radeon R7 360,AMD,Tobago,"Jun 18th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1000 MHz,1500 MHz,768 / 48 / 16,End-of-life
157,Radeon R7 360 896SP,AMD,Tobago,"Jun 18th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1100 MHz,1500 MHz,896 / 56 / 16,End-of-life
158,Radeon R7 360E,AMD,Tobago,"Dec 30th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1050 MHz,1500 MHz,768 / 48 / 16,End-of-life
159,Radeon R7 370,AMD,Trinidad,"Jun 18th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",925 MHz,1400 MHz,1024 / 64 / 32,End-of-life
160,Radeon R7 A360,AMD,Opal,2015,PCIe 3.0 x8,"2 GB, DDR3, 128 bit",725 MHz,900 MHz,384 / 24 / 8,End-of-life
161,Radeon R7 A360,AMD,Meso,"May 5th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1100 MHz,900 MHz,384 / 24 / 8,End-of-life
162,Radeon R7 M260X,AMD,Opal,"Dec 6th, 2015",PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",620 MHz,1000 MHz,384 / 24 / 8,End-of-life
163,Radeon R7 M340,AMD,Meso,"May 5th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",943 MHz,1000 MHz,320 / 20 / 8,End-of-life
164,Radeon R7 M340,AMD,Opal,"Dec 6th, 2015",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",620 MHz,1000 MHz,384 / 24 / 8,End-of-life
165,Radeon R7 M350,AMD,Meso,"May 5th, 2015",PCIe 3.0 x8,"4 GB, DDR3, 64 bit",1000 MHz,1000 MHz,384 / 24 / 8,End-of-life
166,Radeon R7 M360,AMD,Meso,"May 5th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1100 MHz,900 MHz,384 / 24 / 8,End-of-life
167,Radeon R7 M365X,AMD,Litho,"May 5th, 2015",PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",825 MHz,1000 MHz,384 / 24 / 8,End-of-life
168,Radeon R7 M370,AMD,Litho,"May 5th, 2015",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",875 MHz,900 MHz,384 / 24 / 8,End-of-life
169,Radeon R7 M380,AMD,Tropo,"May 5th, 2015",PCIe 3.0 x16,"4 GB, DDR3, 128 bit",900 MHz,1000 MHz,640 / 40 / 16,End-of-life
170,Radeon R7 Mobile Graphics,AMD,Wani,"Nov 15th, 2015",IGP,System Shared,200 MHz,System Shared,512 / 32 / 8,End-of-life
171,Radeon R8 M350DX,AMD,Jet,"Dec 12th, 2015",IGP,System Shared,955 MHz,System Shared,384 / 24 / 8,End-of-life
172,Radeon R8 M365DX,AMD,Meso,"Jun 3rd, 2015",IGP,System Shared,900 MHz,System Shared,384 / 24 / 8,End-of-life
173,Radeon R9 270 1024SP,AMD,Pitcairn,"Mar 13th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",900 MHz,1200 MHz,1024 / 64 / 32,End-of-life
174,Radeon R9 360 OEM,AMD,Tobago,"May 5th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1000 MHz,1625 MHz,768 / 48 / 16,End-of-life
175,Radeon R9 370,AMD,Trinidad,"May 5th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",925 MHz,1400 MHz,1280 / 80 / 32,End-of-life
176,Radeon R9 370 1024SP,AMD,Trinidad,"Jun 12th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",925 MHz,1400 MHz,1024 / 64 / 32,End-of-life
177,Radeon R9 370X,AMD,Trinidad,"Aug 27th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",980 MHz,1400 MHz,1280 / 80 / 32,End-of-life
178,Radeon R9 380,AMD,Antigua,"Jun 18th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",970 MHz,1375 MHz,1792 / 112 / 32,End-of-life
179,Radeon R9 380 OEM,AMD,Antigua,"May 5th, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",918 MHz,1375 MHz,1792 / 112 / 32,End-of-life
180,Radeon R9 380X,AMD,Antigua,"Nov 19th, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",970 MHz,1425 MHz,2048 / 128 / 32,End-of-life
181,Radeon R9 390,AMD,Grenada,"Jun 18th, 2015",PCIe 3.0 x16,"8 GB, GDDR5, 512 bit",1000 MHz,1500 MHz,2560 / 160 / 64,End-of-life
182,Radeon R9 390 X2,AMD,Grenada,"Sep 3rd, 2015",PCIe 3.0 x16,"8 GB, GDDR5, 512 bit",1000 MHz,1350 MHz,2560 / 160 / 64,End-of-life
183,Radeon R9 390X,AMD,Grenada,"Jun 18th, 2015",PCIe 3.0 x16,"8 GB, GDDR5, 512 bit",1050 MHz,1500 MHz,2816 / 176 / 64,End-of-life
184,Radeon R9 A375,AMD,Venus,2015,PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1015 MHz,1125 MHz,640 / 40 / 16,End-of-life
185,Radeon R9 FURY,AMD,Fiji,"Jul 10th, 2015",PCIe 3.0 x16,"4 GB, HBM, 4096 bit",1000 MHz,500 MHz,3584 / 224 / 64,End-of-life
186,Radeon R9 FURY X,AMD,Fiji,"Jun 24th, 2015",PCIe 3.0 x16,"4 GB, HBM, 4096 bit",1050 MHz,500 MHz,4096 / 256 / 64,End-of-life
187,Radeon R9 FURY X2,AMD,Capsaicin,Never Released,PCIe 3.0 x16,"4 GB, HBM, 4096 bit",1050 MHz,500 MHz,4096 / 256 / 64,End-of-life
188,Radeon R9 M270X,AMD,Saturn,"Feb 5th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",900 MHz,1375 MHz,768 / 48 / 16,End-of-life
189,Radeon R9 M280X,AMD,Saturn,"Feb 5th, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",900 MHz,1375 MHz,896 / 56 / 16,End-of-life
190,Radeon R9 M280X,AMD,Saturn,"Feb 5th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1000 MHz,1500 MHz,896 / 56 / 16,End-of-life
191,Radeon R9 M360,AMD,Tropo,"May 5th, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",900 MHz,1125 MHz,512 / 32 / 16,End-of-life
192,Radeon R9 M365X,AMD,Tropo,"May 5th, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",900 MHz,1125 MHz,640 / 40 / 16,End-of-life
193,Radeon R9 M370X Mac Edition,AMD,Tropo,"May 5th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",775 MHz,1125 MHz,640 / 40 / 16,End-of-life
194,Radeon R9 M375,AMD,Tropo,"May 5th, 2015",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",1000 MHz,900 MHz,640 / 40 / 16,End-of-life
195,Radeon R9 M375X,AMD,Tropo,"May 5th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",925 MHz,1125 MHz,640 / 40 / 16,End-of-life
196,Radeon R9 M380,AMD,Strato,"May 5th, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",900 MHz,1500 MHz,768 / 48 / 16,End-of-life
197,Radeon R9 M380 Mac Edition,AMD,Strato,"May 5th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",900 MHz,1568 MHz,768 / 48 / 16,End-of-life
198,Radeon R9 M385,AMD,Strato,"May 5th, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",900 MHz,1200 MHz,896 / 56 / 16,End-of-life
199,Radeon R9 M385X,AMD,Strato,"May 5th, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",1000 MHz,1200 MHz,896 / 56 / 16,End-of-life
200,Radeon R9 M390 Mac Edition,AMD,Pitcairn,"May 5th, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",958 MHz,1365 MHz,1024 / 64 / 32,End-of-life
201,Radeon R9 M390X,AMD,Amethyst,"May 5th, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",723 MHz,1250 MHz,2048 / 128 / 32,End-of-life
202,Radeon R9 M395 Mac Edition,AMD,Amethyst,"May 5th, 2015",MXM-B (3.0),"2 GB, GDDR5, 256 bit",834 MHz,1365 MHz,1792 / 112 / 32,End-of-life
203,Radeon R9 M395X,AMD,Amethyst,"May 5th, 2015",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",723 MHz,1250 MHz,2048 / 128 / 32,End-of-life
204,Radeon R9 M395X Mac Edition,AMD,Amethyst,"May 5th, 2015",MXM-B (3.0),"4 GB, GDDR5, 256 bit",909 MHz,1365 MHz,2048 / 128 / 32,End-of-life
205,Radeon R9 Nano,AMD,Fiji,"Aug 27th, 2015",PCIe 3.0 x16,"4 GB, HBM, 4096 bit",1000 MHz,500 MHz,4096 / 256 / 64,End-of-life
206,FirePro D300,AMD,Pitcairn,"Jan 18th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",850 MHz,1270 MHz,1280 / 80 / 32,End-of-life
207,FirePro D500,AMD,Tahiti,"Jan 18th, 2014",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",725 MHz,1270 MHz,1536 / 96 / 32,End-of-life
208,FirePro D700,AMD,Tahiti,"Jan 18th, 2014",PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",850 MHz,1370 MHz,2048 / 128 / 32,End-of-life
209,FirePro M6100,AMD,Emerald,"May 27th, 2014",MXM-B (3.0),"2 GB, GDDR5, 128 bit",1100 MHz,1500 MHz,896 / 56 / 16,End-of-life
210,FirePro S10000 Passive 12GB,AMD,Tahiti,"Mar 1st, 2014",PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",825 MHz,1250 MHz,1792 / 112 / 32,End-of-life
211,FirePro S4000X,AMD,Venus,"Aug 7th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",725 MHz,1125 MHz,640 / 40 / 16,End-of-life
212,FirePro S9050,AMD,Tahiti,"Aug 7th, 2014",PCIe 3.0 x16,"12 GB, GDDR5, 384 bit",900 MHz,1375 MHz,1792 / 112 / 32,End-of-life
213,FirePro S9100,AMD,Hawaii,"Oct 2nd, 2014",PCIe 3.0 x16,"12 GB, GDDR5, 512 bit",824 MHz,1250 MHz,2560 / 160 / 64,End-of-life
214,FirePro S9150,AMD,Hawaii,"Aug 7th, 2014",PCIe 3.0 x16,"16 GB, GDDR5, 512 bit",900 MHz,1250 MHz,2816 / 176 / 64,End-of-life
215,FirePro W2100,AMD,Oland,"Aug 12th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",630 MHz,900 MHz,320 / 20 / 8,End-of-life
216,FirePro W4100,AMD,Cape Verde,"Aug 13th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",630 MHz,1000 MHz,512 / 32 / 16,End-of-life
217,FirePro W4170M,AMD,Mars,"Apr 28th, 2014",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",825 MHz,1000 MHz,384 / 24 / 8,End-of-life
218,FirePro W5100,AMD,Bonaire,"Mar 31st, 2014",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",930 MHz,1500 MHz,768 / 48 / 16,End-of-life
219,FirePro W5170M,AMD,Tropo,"Aug 25th, 2014",MXM-A (3.0),"2 GB, GDDR5, 128 bit",900 MHz,1125 MHz,640 / 40 / 16,End-of-life
220,FirePro W6170M,AMD,Emerald,"Aug 25th, 2014",MXM-B (3.0),"2 GB, GDDR5, 128 bit",1100 MHz,1500 MHz,896 / 56 / 16,End-of-life
221,FirePro W7100,AMD,Tonga,"Aug 12th, 2014",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",920 MHz,1250 MHz,1792 / 112 / 32,End-of-life
222,FirePro W8100,AMD,Hawaii,"Jun 23rd, 2014",PCIe 3.0 x16,"8 GB, GDDR5, 512 bit",824 MHz,1250 MHz,2560 / 160 / 64,End-of-life
223,FirePro W9100,AMD,Hawaii,"Mar 26th, 2014",PCIe 3.0 x16,"16 GB, GDDR5, 512 bit",930 MHz,1250 MHz,2816 / 176 / 64,End-of-life
224,Radeon E8860,AMD,Venus,"Jan 25th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",575 MHz,1125 MHz,640 / 40 / 16,End-of-life
225,Radeon HD 8210 IGP,AMD,Kalindi,"Jan 31st, 2014",IGP,System Shared,300 MHz,System Shared,128 / 8 / 4,End-of-life
226,Radeon HD 8530M,AMD,Mars,"Jan 10th, 2014",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",650 MHz,900 MHz,320 / 16 / 8,End-of-life
227,Radeon HD 8550M,AMD,Sun,"Jul 13th, 2014",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",650 MHz,900 MHz,320 / 20 / 8,End-of-life
228,Radeon R4 Mobile Graphics,AMD,Spectre SL,"Sep 17th, 2014",IGP,System Shared,533 MHz,System Shared,192 / 12 / 8,End-of-life
229,Radeon R4 Mobile Graphics,AMD,Beema,"Jun 11th, 2014",IGP,System Shared,800 MHz,System Shared,128 / 8 / 4,End-of-life
230,Radeon R4E Mobile Graphics,AMD,Beema,"Jun 6th, 2014",IGP,System Shared,800 MHz,System Shared,128 / 8 / 4,End-of-life
231,Radeon R5 230,AMD,Caicos,"Apr 3rd, 2014",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",625 MHz,667 MHz,160 / 8 / 4,End-of-life
232,Radeon R5 A220,AMD,Caicos,2014,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",775 MHz,900 MHz,160 / 8 / 4,End-of-life
233,Radeon R5 A230,AMD,Jet,"Jan 7th, 2014",PCIe 3.0 x8,"4 GB, DDR3, 64 bit",780 MHz,1000 MHz,320 / 20 / 8,End-of-life
234,Radeon R5 A240,AMD,Oland,2014,PCIe 3.0 x8,"2 GB, DDR3, 128 bit",730 MHz,900 MHz,320 / 20 / 8,End-of-life
235,Radeon R5 A240,AMD,Jet,2014,PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",1030 MHz,900 MHz,320 / 20 / 8,End-of-life
236,Radeon R5 A255,AMD,Topaz,2014,PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",925 MHz,1000 MHz,384 / 24 / 8,End-of-life
237,Radeon R5 Graphics,AMD,Spectre SL,"Sep 17th, 2014",IGP,System Shared,758 MHz,System Shared,256 / 16 / 4,End-of-life
238,Radeon R5 Graphics,AMD,Spectre SL,"Sep 17th, 2014",IGP,System Shared,497 MHz,System Shared,256 / 16 / 4,End-of-life
239,Radeon R5 M230,AMD,Jet,"Jan 7th, 2014",PCIe 3.0 x8,"4 GB, DDR3, 64 bit",780 MHz,1000 MHz,320 / 20 / 8,End-of-life
240,Radeon R5 M230,AMD,Jet,"Jan 7th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",610 MHz,1000 MHz,320 / 20 / 8,End-of-life
241,Radeon R5 M230 Rebrand,AMD,Sun,"May 31st, 2014",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",780 MHz,900 MHz,320 / 20 / 8,End-of-life
242,Radeon R5 M240,AMD,Jet,"Sep 18th, 2014",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",1000 MHz,900 MHz,320 / 20 / 8,End-of-life
243,Radeon R5 M240 Rebrand,AMD,Mars,"Jan 10th, 2014",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",650 MHz,900 MHz,384 / 24 / 8,End-of-life
244,Radeon R5 M255,AMD,Topaz,"Oct 12th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",925 MHz,1000 MHz,384 / 24 / 8,End-of-life
245,Radeon R5 Mobile Graphics,AMD,Beema,"Jun 14th, 2014",IGP,System Shared,800 MHz,System Shared,128 / 8 / 4,End-of-life
246,Radeon R5 Mobile Graphics,AMD,Spectre SL,"Sep 17th, 2014",IGP,System Shared,626 MHz,System Shared,256 / 16 / 8,End-of-life
247,Radeon R5E Mobile Graphics,AMD,Beema,"Jun 6th, 2014",IGP,System Shared,800 MHz,System Shared,128 / 8 / 4,End-of-life
248,Radeon R6 M255DX,AMD,Jet,"Jan 7th, 2014",IGP,System Shared,780 MHz,System Shared,320 / 20 / 8,End-of-life
249,Radeon R6 M255DX,AMD,Topaz,"Oct 12th, 2014",IGP,System Shared,925 MHz,System Shared,384 / 24 / 8,End-of-life
250,Radeon R6 Mobile Graphics,AMD,Spectre Lite,"Sep 17th, 2014",IGP,System Shared,533 MHz,System Shared,384 / 24 / 8,End-of-life
251,Radeon R7 250X,AMD,Cape Verde,"Feb 13th, 2014",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",950 MHz,1125 MHz,640 / 40 / 16,End-of-life
252,Radeon R7 250XE,AMD,Cape Verde,"Aug 21st, 2014",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",860 MHz,1125 MHz,640 / 40 / 16,End-of-life
253,Radeon R7 265,AMD,Pitcairn,"Feb 13th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",900 MHz,1400 MHz,1024 / 64 / 32,End-of-life
254,Radeon R7 265X OEM,AMD,Curacao,"Aug 12th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",900 MHz,1400 MHz,1280 / 80 / 32,End-of-life
255,Radeon R7 A260,AMD,Topaz,2014,PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",900 MHz,900 MHz,384 / 24 / 8,End-of-life
256,Radeon R7 A265,AMD,Opal,"Jan 9th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",725 MHz,900 MHz,384 / 24 / 8,End-of-life
257,Radeon R7 Graphics,AMD,Spectre,"Jan 11th, 2014",IGP,System Shared,720 MHz,System Shared,512 / 32 / 8,End-of-life
258,Radeon R7 Graphics,AMD,Spectre Lite,"Feb 17th, 2014",IGP,System Shared,720 MHz,System Shared,384 / 24 / 8,End-of-life
259,Radeon R7 M260,AMD,Topaz,"Jun 11th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",940 MHz,900 MHz,384 / 24 / 8,End-of-life
260,Radeon R7 M260DX,AMD,Jet,"Jan 7th, 2014",IGP,System Shared,780 MHz,System Shared,320 / 20 / 8,End-of-life
261,Radeon R7 M260DX,AMD,Topaz,"Oct 12th, 2014",IGP,System Shared,925 MHz,System Shared,384 / 24 / 8,End-of-life
262,Radeon R7 M260DX,AMD,Jet,"Jan 7th, 2014",IGP,System Shared,955 MHz,System Shared,320 / 20 / 8,End-of-life
263,Radeon R7 M265,AMD,Opal,"Jan 9th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",725 MHz,900 MHz,384 / 24 / 8,End-of-life
264,Radeon R7 M265,AMD,Topaz,"May 20th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",900 MHz,900 MHz,384 / 24 / 8,End-of-life
265,Radeon R7 M265DX,AMD,Topaz,"Jun 11th, 2014",IGP,System Shared,900 MHz,System Shared,384 / 24 / 8,End-of-life
266,Radeon R7 M265DX,AMD,Jet,"Jan 7th, 2014",IGP,System Shared,780 MHz,System Shared,320 / 20 / 8,End-of-life
267,Radeon R7 M265DX,AMD,Topaz,"Oct 12th, 2014",IGP,System Shared,925 MHz,System Shared,384 / 24 / 8,End-of-life
268,Radeon R7 M270,AMD,Opal,"Jan 9th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",725 MHz,900 MHz,384 / 24 / 8,End-of-life
269,Radeon R7 M270DX,AMD,Topaz,"Jun 11th, 2014",IGP,System Shared,900 MHz,System Shared,384 / 24 / 8,End-of-life
270,Radeon R7 M270DX,AMD,Jet,"Jan 7th, 2014",IGP,System Shared,780 MHz,System Shared,320 / 20 / 8,End-of-life
271,Radeon R7 Mobile Graphics,AMD,Spectre Lite,"Feb 17th, 2014",IGP,System Shared,554 MHz,System Shared,384 / 24 / 8,End-of-life
272,Radeon R9 280,AMD,Tahiti,"Mar 4th, 2014",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",827 MHz,1250 MHz,1792 / 112 / 32,End-of-life
273,Radeon R9 285,AMD,Tonga,"Sep 2nd, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",918 MHz,1375 MHz,1792 / 112 / 32,End-of-life
274,Radeon R9 285X,AMD,Tonga,Never Released,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",1002 MHz,1375 MHz,2048 / 128 / 32,End-of-life
275,Radeon R9 290X2,AMD,Hawaii,"Jun 24th, 2014",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",1000 MHz,1350 MHz,2816 / 176 / 64,End-of-life
276,Radeon R9 295X2,AMD,Vesuvius,"Apr 29th, 2014",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",1018 MHz,1250 MHz,2816 / 176 / 64,End-of-life
277,Radeon R9 M265X,AMD,Venus,"Mar 21st, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",575 MHz,1000 MHz,640 / 40 / 16,End-of-life
278,Radeon R9 M270X,AMD,Venus,"Mar 21st, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",725 MHz,1000 MHz,640 / 40 / 16,End-of-life
279,Radeon R9 M275,AMD,Venus,"Jan 28th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",900 MHz,1000 MHz,640 / 40 / 16,End-of-life
280,Radeon R9 M275X,AMD,Venus,"Jan 28th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",900 MHz,1125 MHz,640 / 40 / 16,End-of-life
281,Radeon R9 M290X,AMD,Neptune,"Jan 9th, 2014",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",850 MHz,1200 MHz,1280 / 80 / 32,End-of-life
282,Radeon R9 M290X Mac Edition,AMD,Pitcairn,"Nov 23rd, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",850 MHz,1365 MHz,1024 / 64 / 32,End-of-life
283,Radeon R9 M295X,AMD,Amethyst,"Nov 23rd, 2014",MXM-B (3.0),"4 GB, GDDR5, 256 bit",723 MHz,1250 MHz,2048 / 128 / 32,End-of-life
284,Radeon R9 M295X Mac Edition,AMD,Amethyst,"Nov 23rd, 2014",MXM-B (3.0),"4 GB, GDDR5, 256 bit",850 MHz,1362 MHz,2048 / 128 / 32,End-of-life
285,FirePro M4100,AMD,Mars,"Oct 16th, 2013",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",670 MHz,1000 MHz,384 / 24 / 8,End-of-life
286,FirePro M4150,AMD,Opal,"Oct 16th, 2013",PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",715 MHz,1000 MHz,384 / 24 / 8,End-of-life
287,FirePro M5100,AMD,Venus,"Oct 16th, 2013",MXM-A (3.0),"2 GB, GDDR5, 128 bit",725 MHz,1125 MHz,640 / 40 / 16,End-of-life
288,FirePro M6100,AMD,Saturn,"Oct 16th, 2013",MXM-B (3.0),"2 GB, GDDR5, 128 bit",1075 MHz,1375 MHz,768 / 48 / 16,End-of-life
289,FirePro R5000,AMD,Pitcairn,"Feb 25th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",825 MHz,800 MHz,768 / 48 / 32,End-of-life
290,FirePro W5000 DVI,AMD,Pitcairn,"Feb 25th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",825 MHz,800 MHz,768 / 48 / 32,End-of-life
291,Playstation 4 GPU,AMD,Liverpool,"Nov 24th, 2013",IGP,"8 GB, GDDR5, 256 bit",800 MHz,1375 MHz,1152 / 72 / 32,End-of-life
292,Radeon HD 6610,AMD,Redwood,"Mar 20th, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,400 / 20 / 8,End-of-life
293,Radeon HD 6770 Green Edition,AMD,Juniper,"Apr 19th, 2013",PCIe 2.0 x16,"2 GB, GDDR3, 128 bit",700 MHz,667 MHz,720 / 36 / 16,End-of-life
294,Radeon HD 6870 1600SP Edition,AMD,Cypress,"Jan 14th, 2013",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",850 MHz,1050 MHz,1600 / 80 / 32,End-of-life
295,Radeon HD 7510 OEM,AMD,Turks,"Feb 1st, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,667 MHz,320 / 16 / 4,End-of-life
296,Radeon HD 7570 OEM,AMD,Redwood,"Mar 20th, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,400 / 20 / 8,End-of-life
297,Radeon HD 7720 OEM,AMD,Barts,"Mar 15th, 2013",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",840 MHz,1050 MHz,800 / 40 / 32,End-of-life
298,Radeon HD 7730,AMD,Cape Verde,"May 1st, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,384 / 24 / 8,End-of-life
299,Radeon HD 7790,AMD,Bonaire,"Mar 22nd, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1000 MHz,1500 MHz,896 / 56 / 16,End-of-life
300,Radeon HD 7950 Mac Edition,AMD,Tahiti,"Mar 7th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",800 MHz,1250 MHz,1792 / 112 / 32,End-of-life
301,Radeon HD 7990,AMD,Malta,"Apr 24th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",950 MHz,1500 MHz,2048 / 128 / 32,End-of-life
302,Radeon HD 8180 IGP,AMD,Kalindi,Nov 2013,IGP,System Shared,225 MHz,System Shared,128 / 8 / 4,End-of-life
303,Radeon HD 8210E,AMD,Kalindi,"Apr 23rd, 2013",IGP,System Shared,300 MHz,System Shared,128 / 8 / 4,End-of-life
304,Radeon HD 8240 Mobile IGP,AMD,Kalindi,"Nov 1st, 2013",IGP,System Shared,400 MHz,System Shared,128 / 8 / 4,End-of-life
305,Radeon HD 8250 IGP,AMD,Kalindi,"May 23rd, 2013",IGP,System Shared,300 MHz,System Shared,128 / 8 / 4,End-of-life
306,Radeon HD 8280 IGP,AMD,Kalindi,"Sep 18th, 2013",IGP,System Shared,450 MHz,System Shared,128 / 8 / 4,End-of-life
307,Radeon HD 8280 Mobile IGP,AMD,Kalindi,"Sep 18th, 2013",IGP,System Shared,450 MHz,System Shared,128 / 8 / 4,End-of-life
308,Radeon HD 8280E,AMD,Kalindi,"Apr 23rd, 2013",IGP,System Shared,450 MHz,System Shared,128 / 8 / 4,End-of-life
309,Radeon HD 8310G IGP,AMD,Scrapper Lite,Jul 2013,IGP,System Shared,424 MHz,System Shared,128 / 8 / 4,End-of-life
310,Radeon HD 8330 Mobile IGP,AMD,Kalindi,"Aug 13th, 2013",IGP,System Shared,497 MHz,System Shared,128 / 8 / 4,End-of-life
311,Radeon HD 8330E,AMD,Kalindi,"Apr 23rd, 2013",IGP,System Shared,497 MHz,System Shared,128 / 8 / 4,End-of-life
312,Radeon HD 8350G IGP,AMD,Scrapper Lite,"Mar 12th, 2013",IGP,System Shared,514 MHz,System Shared,128 / 8 / 4,End-of-life
313,Radeon HD 8370D IGP,AMD,Scrapper Lite,Jul 2013,IGP,System Shared,760 MHz,System Shared,128 / 8 / 4,End-of-life
