,game,release,peak_players,total_reviews,rating
98,Passpartout 2: The Lost Artist,2023-04-04,591,16,86.37
99,A Bavarian Tale - Totgeschwiegen,2023-02-02,57,5,86.32
100,Coralina,2023-01-06,16,9,86.31
101,King Of The Castle,2023-03-02,321,38,86.29
102,ZED ZONE,2023-03-30,2569,135,86.25
103,Omega Strikers,2023-04-27,19257,1292,86.24
104,BETON BRUTAL,2023-03-31,147,4,86.24
105,ENTROPOLY,2023-03-02,41,2,86.23
106,ふりかけ☆スペイシー,2023-03-01,48,0,86.2
107,Cannibal Abduction,2023-01-13,25,5,86.09
108,Graze Counter GM,2023-01-18,72,1,86.05
109,The Multi-Medium,2023-01-20,15,1,86.05
110,Basements n' Basilisks: Storms of Sorcery,2023-02-27,20,2,86.04
111,Partum Artifex,2023-02-26,17,1,86.0
112,Plan B: Terraform,2023-02-15,2352,108,85.99
113,Dreams in the Witch House,2023-02-16,42,4,85.98
114,Planet Cube: Edge,2023-02-23,14,2,85.98
115,The Pale Beyond,2023-02-24,738,68,85.94
116,Kujlevka,2023-04-06,73,1,85.94
117,vivid/stasis,2023-03-07,53,3,85.92
118,Aces and Adventures,2023-02-23,2455,87,85.82
119,Tower Tactics: Liberation,2023-02-06,808,72,85.79
120,一起击碎吧,2023-04-06,28,0,85.63
121,Time Wasters,2023-03-10,934,67,85.62
122,Kandria,2023-01-11,26,2,85.61
123,Juno: New Origins,2023-01-26,780,229,85.6
124,Hell Of An Office,2023-03-14,26,1,85.58
125,Confabulation,2023-01-13,13,0,85.57
126,Good Pizza  Great Pizza,2023-01-06,145,164,85.55
127,Lords of Infinity,2023-03-02,270,4,85.55
128,Apex Point,2023-03-05,385,57,85.52
129,Looking Up I See Only A Ceiling,2023-03-09,12,7,85.5
130,Magic Tower & Maidens,2023-02-27,61,5,85.47
131,Robolife2-Nova Duty,2023-03-11,892,24,85.45
132,Revenant,2023-03-29,20,1,85.45
133,Crafty Survivors,2023-03-15,374,12,85.44
134,Emberfate: Tempest of Elements,2023-01-27,21,0,85.42
135,DIG - Deep In Galaxies,2023-03-08,40,1,85.39
136,與經紀人戀愛是絕對禁止2,2023-03-12,518,19,85.38
137,It Comes In Waves,2023-04-05,19,2,85.37
138,Weird and Unfortunate Things Are Happening,2023-02-06,29,0,85.35
139,EVERSPACE™ 2,2023-04-06,9760,732,85.31
140,SHUFFLE! Episode 2 ~Kami ni mo Akuma ni mo Nerawareteiru Otoko~,2023-03-10,89,5,85.27
141,Handyman Legend,2023-03-10,1002,45,85.21
142,觅光：第一章 - Seeking Light : Chapter 1,2023-03-25,28,0,85.2
143,Postmouse,2023-01-30,123,45,85.18
144,Horny Warp,2023-02-17,218,14,85.18
145,Corsair`s Madness Prologue: Jungle`s Island,2023-02-03,46,1,85.11
146,Backfirewall_,2023-01-30,86,11,85.08
147,Troublemaker,2023-03-31,374,43,85.05
148,Zup! Q,2023-03-08,33,1,85.04
149,Witch's Garden,2023-04-07,117,1,85.04
150,Drawing From Memory,2023-02-08,134,8,85.03
151,FATAL FRAME / PROJECT ZERO: Mask of the Lunar Eclipse,2023-03-09,1372,79,84.93
152,Temple Of Snek,2023-02-15,21,7,84.9
153,我在终点线等你,2023-03-24,22,1,84.89
154,上古传说,2023-04-02,126,16,84.85
155,9 Childs Street,2023-02-16,30,18,84.79
156,KOP KILLER 22XX,2023-03-07,6,0,84.78
157,Souls of White Star,2023-03-30,86,3,84.73
158,Organs Please,2023-04-05,62,9,84.72
159,Selene ~Apoptosis~,2023-02-17,704,192,84.71
160,Ash of Gods: The Way Prologue,2023-03-09,747,20,84.71
161,Zero-G Gunfight,2023-02-17,6,0,84.69
162,In Sink: A Co-Op Escape Prologue,2023-02-25,1323,142,84.64
163,Tower Escape,2023-02-15,283,16,84.64
164,ITRP _ Aero Star,2023-03-09,91,2,84.63
165,Aery - Calm Mind 3,2023-03-31,5,0,84.6
166,Fateweaver: The Alchemist's Quandary,2023-02-27,8,0,84.6
167,Tanky Tanks 2,2023-03-20,6,0,84.6
168,Girl & Gem Magic,2023-03-31,85,16,84.57
169,Battle Ram,2023-01-06,4403,104,84.56
170,Relic Dudes,2023-02-03,86,12,84.49
171,Let's Pet Pets,2023-01-17,12,1,84.49
172,Final Profit: A Shop RPG,2023-03-06,34,2,84.48
173,The Farmer Was Replaced,2023-02-10,23,0,84.41
174,ARK and ADE,2023-03-02,13,2,84.4
175,Aery VR - A Journey Beyond Time,2023-03-24,4,1,84.4
176,Gone Rogue,2023-03-01,59,3,84.39
177,Nebula,2023-01-25,67,3,84.31
178,The Space-Eating Croc,2023-03-04,12,1,84.31
179,Super Cakeboy,2023-03-16,23,0,84.31
180,东方雪莲华 ～ Abyss Soul Lotus.,2023-02-02,290,29,84.25
181,Crush the Industry,2023-03-31,112,2,84.24
182,Robo Maestro,2023-01-20,12,1,84.22
183,Powerful Courses,2023-03-06,7,0,84.21
184,Cataclysm: Dark Days Ahead,2023-03-31,114,7,84.16
185,WooLoop,2023-01-13,404,101,84.14
186,8-Bit Adventures 2,2023-01-31,64,5,84.13
187,POOSTALL Royale,2023-04-01,164,65,84.1
188,Deceive Inc.,2023-03-21,2310,190,84.06
189,Waves of Steel,2023-02-06,112,26,84.04
190,Methods: The Canada Files,2023-02-01,19,1,84.03
191,Brave Soldier - Invasion of Cyborgs,2023-02-03,6,0,84.0
192,Breakers Collection,2023-01-12,78,2,83.99
193,Loretta,2023-02-16,48,9,83.97
194,Evacuation,2023-01-06,119,68,83.95
195,Unbreakable Vr Runner,2023-03-06,5,1,83.94
196,Terraformers,2023-03-09,1853,195,83.93
197,Vengeful Guardian: Moonrider,2023-01-12,103,20,83.9
198,江城创业记,2023-03-31,1126,34,83.88
199,LOUD,2023-02-23,13,0,83.88
200,Girl Fantasy,2023-02-10,170,41,83.86
201,Atomic Heart,2023-02-20,38469,2941,83.84
