,game,release,peak_players,total_reviews,rating
1313,Changeling Charade,2023-02-09,16,0,70.84
1314,Animal Across: Afrika,2023-03-10,3,0,70.84
1315,Beneath Her Starry Sky,2023-01-04,3,0,70.84
1316,The Specter Chronicles: Episode 1 - The False Prophet,2023-02-28,3,0,70.84
1317,Drive Maker,2023-02-05,3,0,70.84
1318,Doodle World Deluxe,2023-03-31,2,0,70.84
1319,XenoFeud,2023-01-02,1,0,70.84
1320,Subtension,2023-03-28,3,0,70.84
1321,Take Care VR,2023-01-05,3,0,70.84
1322,Choi,2023-01-12,2,0,70.84
1323,Agent Roy - Secure The Temple,2023-01-05,2,0,70.84
1324,Easy Game,2023-01-30,3,0,70.84
1325,World of Turtle,2023-01-13,2,0,70.84
1326,Zooblies,2023-01-16,2,0,70.84
1327,Inmortuae Metuunt: Rise of The Undead,2023-01-16,5,0,70.84
1328,Domination - War of Nations,2023-02-10,6,0,70.84
1329,Highway Speeder,2023-01-12,5,0,70.84
1330,Tamerlane,2023-01-25,2,0,70.84
1331,Lost Oliver,2023-03-09,3,0,70.84
1332,Minibots TD,2023-02-15,4,0,70.84
1333,NTR'd By Clumsiness,2023-03-14,6,0,70.84
1334,Zombie Apocalypse - The Last Fortress,2023-02-14,1,0,70.84
1335,Castle Kingdom Wars,2023-02-28,5,0,70.84
1336,Tears RAIN: Tears of Goddess,2023-02-05,3,0,70.84
1337,Geko: entering the pipe,2023-03-09,3,0,70.84
1338,My Fake Goblin Wife,2023-03-10,2,0,70.84
1339,Radical Road,2023-03-25,2,0,70.84
1340,Porndle,2023-03-25,3,0,70.84
1341,Manual Overcycle,2023-02-28,1,0,70.84
1342,Super Crane Bug,2023-03-10,3,0,70.84
1343,Ultimate Anime Jigsaw Puzzle,2023-03-10,4,0,70.84
1344,Damsels of Vice 2: Project Mesmer,2023-03-10,6,0,70.84
1345,House Sitter Escape Game,2023-03-15,3,0,70.84
1346,MeiQi:Phoenix and the Chamber of Secrets,2023-03-17,9,0,70.84
1347,KingMini,2023-03-27,6,0,70.84
1348,Chinese Chess Party (Xiangqi),2023-03-22,4,0,70.84
1349,Rescue Agency: The Kidnapper of happiness,2023-04-06,4,0,70.84
1350,Winnie-the-Pooh's book writing speedrunner,2023-04-05,5,0,70.84
1351,GENIE,2023-04-07,7,0,70.84
1352,ROGUE-FP,2023-03-30,3,0,70.84
1353,Perseus: Titan Slayer,2023-02-13,1218,66,70.82
1354,GPRO,2023-02-13,215,10,70.81
1355,Dreadful River,2023-02-28,17,6,70.81
1356,Happy Mining,2023-02-16,21,6,70.81
1357,Car Racing Highway Driving Simulator  real parking driver sim speed traffic deluxe 2022,2023-01-11,15,6,70.81
1358,Stacks:Space!,2023-02-20,45,6,70.81
1359,魔王终局,2023-04-09,142,6,70.81
1360,Echoes of Mayhem,2023-02-20,6,2,70.75
1361,SourceWorlds,2023-03-10,10,2,70.75
1362,Waitventure,2023-01-01,47,2,70.75
1363,Starshifter,2023-02-15,7,2,70.75
1364,Small Town Detective,2023-03-01,3,2,70.75
1365,Artur's Pinball,2023-01-10,2,2,70.75
1366,Project Liminal Redux,2023-03-23,6,2,70.75
1367,ALPEN GHOUL: Prologue,2023-03-20,5,2,70.75
1368,Trash Horror Collection 3,2023-03-24,8,2,70.75
1369,Finger is 300 bugs,2023-03-28,6,2,70.75
1370,Uncharted Ocean 2,2023-01-13,261,30,70.72
1371,NRG,2023-02-08,23,12,70.72
1372,GirlFriend VR,2023-01-04,15,12,70.72
1373,Out of the Park Baseball 24,2023-03-24,1354,46,70.7
1374,Slave Doll,2023-03-28,96,28,70.7
1375,Fruit Ninja VR 2,2023-04-07,28,13,70.69
1376,Windmills,2023-02-03,8,4,70.68
1377,Spaceflight Factory : Prologue,2023-01-20,20,4,70.68
1378,Burst Hero,2023-01-01,13,4,70.68
1379,Romancelvania,2023-03-07,122,22,70.64
1380,Minds of Nations,2023-04-11,127,124,70.59
1381,David Slade Mysteries: Case Files,2023-01-25,5,1,70.57
1382,Kiteboarding Pro,2023-01-02,4,1,70.57
1383,SALVATIONLAND,2023-02-15,3,1,70.57
1384,Be A Rock,2023-03-31,3,1,70.57
1385,The Smile Alchemist,2023-03-03,11,1,70.57
1386,Decent Checkers,2023-02-05,4,1,70.57
1387,Golf 5 eClub,2023-02-24,5,1,70.57
1388,Rogue Blaster,2023-01-26,24,1,70.57
1389,Yummy Girls 3,2023-02-16,1,1,70.57
1390,Paccsu,2023-01-06,13,1,70.57
1391,Sapu,2023-01-03,3,1,70.57
1392,Chadboy,2023-03-13,4,1,70.57
1393,Fremdganger - The Cheating Demon,2023-03-02,2,1,70.57
1394,THE ABYSS,2023-03-03,3,1,70.57
1395,Hot Secretary Puzzle,2023-03-31,2,1,70.57
1396,Irradiant,2023-03-31,5,1,70.57
1397,Goblin Lord wants me to become a Virgin Wizard by Managing The Brothel!?,2023-04-07,53,1,70.57
1398,Find It,2023-04-10,2,1,70.57
1399,三国英雄传豪华版,2023-01-20,187,43,70.54
1400,Role of Hex,2023-02-21,51,9,70.52
1401,Wilderless,2023-01-10,9,9,70.52
1402,Cooking Live: Restaurant Game,2023-02-02,529,166,70.51
1403,Hunting Labyrinth,2023-02-15,21,5,70.48
1404,只兔：不灭的勇者,2023-03-08,33,33,70.47
1405,Mr. Mat Hematic,2023-02-26,9,11,70.44
1406,Storyteller,2023-03-23,1493,397,70.42
1407,REMEDIUM: Sentinels,2023-02-28,36,18,70.41
1408,Kunado Chronicles,2023-04-07,102,13,70.41
1409,My MILF Stepmom💋,2023-04-07,159,40,70.35
1410,The Last Worker,2023-03-30,25,7,70.25
1411,Saga of Sins,2023-03-30,17,7,70.25
1412,Grand Theft Auto: Vice City - The Definitive Edition,2023-01-19,955,258,70.22
1413,Ravenswatch,2023-04-06,10018,594,70.21
1414,My Life as a Cult Leader,2023-03-25,110,19,70.19
1415,Anime vs Evil: Apocalypse,2023-02-16,39,12,70.11
1416,ULTRA LMAD,2023-01-20,12,4,70.08
1417,The Cleaner,2023-01-05,3,4,70.08
1418,Hot Pussy College 2 🍓🔞,2023-03-31,77,27,70.01
1419,Bomberpet,2023-03-24,6,2,69.91
1420,实习班主任 Practice Teacher,2023-01-13,7,2,69.91
1421,It Returned To The Desert,2023-02-15,4,2,69.91
1422,Open Fishing XL,2023-01-23,3,2,69.91
1423,The Last Hike,2023-02-17,6,2,69.91
1424,Crazy Hill Racing,2023-02-15,3,2,69.91
1425,Break Everything - Park,2023-01-27,2,2,69.91
1426,Little Garden,2023-03-10,7,2,69.91
1427,全城警戒,2023-04-07,15,2,69.91
1428,我在地球修仙有系统,2023-04-03,2385,134,69.86
1429,Rabbit Hole Chapter 1,2023-01-31,15,7,69.8
1430,Phantom Alchemy ~Silvia's Dynamic Urban Planning~,2023-01-07,87,8,69.77
1431,Flash Party,2023-01-10,828,313,69.61
1432,December 1914,2023-02-24,15,3,69.59
1433,HIYOKU NO TORI,2023-02-22,8,3,69.59
1434,Horror Tale 2: Samantha,2023-01-11,5,3,69.59
1435,沃瑞尔,2023-02-14,11,3,69.59
1436,Kagura Survivors: Endless Night,2023-04-01,1397,135,69.46
1437,Fantasia Sango Mysteria,2023-01-11,740,115,69.46
1438,Comic Book Company Manager,2023-02-21,3,1,69.44
1439,Solbane,2023-03-31,3,1,69.44
1440,SD Shin Kamen Rider Rumble,2023-04-05,48,1,69.44
1441,Frebbventure,2023-02-23,5,1,69.44
1442,The Burrito Quest,2023-01-16,3,1,69.44
1443,Spirits' Creek,2023-01-13,3,1,69.44
1444,Broken Blade: Prelude,2023-02-10,5,1,69.44
1445,Paradise Cleaning!- sex-loving family -,2023-03-10,4,1,69.44
1446,80's Mania,2023-01-20,3,1,69.44
1447,NOT ME,2023-03-02,6,1,69.44
1448,PAIN: Below Sanity,2023-01-20,4,1,69.44
1449,Monster Waifu,2023-01-15,3,1,69.44
1450,Legacy Of The Pact,2023-01-06,5,1,69.44
1451,Stonga Bird,2023-01-26,2,1,69.44
1452,Friendly Facade,2023-01-27,3,1,69.44
1453,Broombot Battlegrounds,2023-02-14,5,1,69.44
1454,SuccuSeka: Resist Succubus Temptation,2023-02-14,4,1,69.44
1455,WAR ON THE STREET,2023-03-20,2,1,69.44
1456,Neko-chan's Club,2023-03-03,5,1,69.44
1457,ENEMIES: GONE SUBURBAN,2023-03-26,5,1,69.44
1458,Sexy Nurse Puzzle,2023-04-08,3,1,69.44
1459,Hentai Miko,2023-03-07,3,1,69.44
1460,Hentai Puzzle Quest,2023-03-23,2,1,69.44
1461,Munchkin Digital,2023-03-09,678,155,69.43
1462,PERISH,2023-02-02,491,100,69.42
1463,Surviving the Abyss,2023-01-17,1079,152,69.41
1464,Amigo: Kebab Simulator,2023-04-03,38,9,69.36
1465,Arena Renovation - First Job,2023-03-14,59,7,69.33
1466,Darkness Revenge,2023-01-10,34,7,69.33
1467,无限投影2,2023-04-01,128,7,69.33
1468,Xuan-Yuan Sword: The Clouds Faraway,2023-01-12,81,15,69.3
1469,Dust & Neon,2023-02-16,190,47,69.26
1470,KartRider: Drift,2023-01-10,4748,1025,69.23
1471,明日战线 - 放置就能开宝箱（放置挂机探索卡牌策略）,2023-03-28,303,56,69.2
1472,Turbo Cat Fight,2023-02-14,3,0,69.2
1473,Intern Pursuit Game,2023-01-10,2,0,69.2
1474,Hill Agency: PURITY&decay,2023-03-31,3,0,69.2
1475,Working Zombies Steam Edition,2023-03-07,4,0,69.2
1476,Avoid the rain,2023-01-18,4,0,69.2
1477,Field of Arms: Tactics,2023-03-06,3,0,69.2
1478,The Thing from Nowhere,2023-02-01,2,0,69.2
1479,Marco & Polo,2023-02-14,1,0,69.2
1480,The Secret Life of Dorian Pink,2023-03-27,4,0,69.2
1481,Cursed Road Convoy,2023-12-31,3,0,69.2
1482,Burning Vengeance,2023-04-02,2,0,69.2
1483,Steel Defier,2023-03-24,3,0,69.2
1484,The Lost Condor,2023-01-06,2,0,69.2
1485,Super Trunko Go,2023-02-23,2,0,69.2
1486,The Nameless Braves: Heaven,2023-03-01,3,0,69.2
1487,Ball Go Home,2023-02-09,11,0,69.2
1488,Flag Sweeper,2023-03-24,3,0,69.2
1489,Triopticon三昧,2023-03-13,3,0,69.2
1490,The Sea of Death,2023-02-17,3,0,69.2
1491,Going Deep,2023-02-18,3,0,69.2
1492,Enworden,2023-01-05,2,0,69.2
1493,Diamond Skeeball,2023-02-01,6,0,69.2
1494,Attack on King: Reloaded,2023-01-20,3,0,69.2
1495,Code Rubik,2023-01-13,1,0,69.2
1496,Servants of Sumomon,2023-02-28,1,0,69.2
1497,Retired Waves,2023-02-22,2,0,69.2
1498,So Much Stuff,2023-03-02,6,0,69.2
1499,Shong,2023-02-24,4,0,69.2
1500,MEKA SIGURAT,2023-01-22,2,0,69.2
1501,Alien on the Radar,2023-02-17,2,0,69.2
1502,Amabilly,2023-01-30,3,0,69.2
1503,Forbidden City Journey,2023-03-12,2,0,69.2
1504,Rapscallions On Deck,2023-01-19,3,0,69.2
1505,Orbital Bombardment,2023-04-05,2,0,69.2
1506,Little Circuit,2023-03-08,2,0,69.2
1507,Across the Valley,2023-04-06,4,0,69.2
1508,Aim Expert,2023-02-06,4,0,69.2
1509,FaceValue,2023-02-21,2,0,69.2
1510,The Motorcycle,2023-01-09,2,0,69.2
1511,Temanava,2023-03-31,3,0,69.2
1512,ForRest Paper Doll,2023-03-17,7,0,69.2
1513,God Busters : Who watches the watchers?,2023-01-19,3,0,69.2
1514,Dawn of Griseo,2023-01-06,3,0,69.2
1515,You're Fired! Revenge!,2023-01-16,4,0,69.2
1516,The Green Room Experiment (Episode 1),2023-01-28,5,0,69.2
1517,307 Racing,2023-02-27,2,0,69.2
1518,MageBall,2023-01-30,2,0,69.2
1519,Parts Unknown,2023-02-12,4,0,69.2
1520,Pact of Steel,2023-03-01,3,0,69.2
1521,House of Shadow,2023-01-16,2,0,69.2
1522,Hentai Puzzle Universe,2023-02-05,3,0,69.2
1523,Hentai Casual Slider,2023-01-26,2,0,69.2
1524,Keyboard Warrior: Dreamstate Prologue,2023-01-22,4,0,69.2
1525,PHANOTIA I: ESCAVIVE,2023-01-31,2,0,69.2
1526,Metal March: Beginner Experience,2023-01-24,4,0,69.2
1527,Mega Sudoku,2023-02-16,2,0,69.2
1528,Simnetzero,2023-01-30,4,0,69.2
1529,Fantasya,2023-02-03,3,0,69.2
1530,Go Over The Edge,2023-02-10,5,0,69.2
1531,Food Maze,2023-02-03,5,0,69.2
1532,Animal portal,2023-01-31,2,0,69.2
1533,Cycle Chaser H-5,2023-03-31,2,0,69.2
1534,I commissioned some bees 14,2023-03-02,6,0,69.2
1535,Ultimate Flight Simulator Pro,2023-02-02,3,0,69.2
1536,Find the Energy,2023-02-27,3,0,69.2
1537,Fingerspelling Unleashed - BANZSL Edition,2023-02-28,2,0,69.2
1538,Running Riot,2023-03-17,3,0,69.2
1539,Engineering - Mystery of the ancient clock,2023-02-10,2,0,69.2
1540,Spellarium 9,2023-02-21,10,0,69.2
1541,Pencil Plus: The Wrath of The Spankster,2023-03-28,3,0,69.2
1542,Mind The Pipes!,2023-02-14,1,0,69.2
1543,My Lovely Pets Collector's Edition,2023-02-20,4,0,69.2
1544,Polar Bear Game,2023-02-10,2,0,69.2
1545,DownhillMadness,2023-02-27,2,0,69.2
1546,Vivat Sloboda,2023-02-09,3,0,69.2
1547,Gunpowder Punk,2023-03-01,3,0,69.2
1548,連縁无現里 ~ Misremembered Memories,2023-02-16,3,0,69.2
1549,GHOST: AC-130 CLOSE AIR SUPPORT,2023-02-23,5,0,69.2
1550,雷雨漫漫,2023-03-21,2,0,69.2
1551,IN THE BUILDING: HAMSTERS,2023-02-24,4,0,69.2
1552,Ugmania,2023-03-09,5,0,69.2
1553,Free Kick Football: 3D Soccer,2023-02-24,2,0,69.2
1554,CardShark,2023-03-01,2,0,69.2
1555,Water tank| 貯水槽,2023-03-30,15,0,69.2
1556,大懒子勇闯魔王城,2023-03-06,2,0,69.2
1557,The Adventures of LinShanHai - Chapter2:Bus Bombing,2023-03-03,5,0,69.2
1558,Hentai Casual Slider 3,2023-03-05,2,0,69.2
1559,Goospace,2023-03-18,2,0,69.2
1560,Flea the Cat,2023-03-17,2,0,69.2
1561,Walstikski,2023-03-16,3,0,69.2
1562,All Goblin,2023-03-29,3,0,69.2
1563,Text Twist 3,2023-04-30,3,0,69.2
1564,Showrunner,2023-01-17,53,13,69.18
1565,The King's Dilemma: Chronicles,2023-01-30,155,20,69.08
1566,Gloria Victis,2023-02-07,4185,2825,69.01
1567,Project: Mirror,2023-01-24,131,39,68.99
1568,Mori Carta,2023-02-20,17,2,68.97
1569,The Hero We Need,2023-02-21,4,2,68.97
1570,Practisim Designer,2023-02-14,15,2,68.97
1571,Way of the Wizard,2023-01-19,4,2,68.97
1572,Break Everything - Living room,2023-01-19,2,2,68.97
1573,Cats in Heat - Summer Fling,2023-02-28,8,2,68.97
1574,Kiss Effect,2023-02-17,6,2,68.97
1575,Station 99,2023-03-20,4,2,68.97
1576,Castle Rush Zombies,2023-03-31,2,2,68.97
1577,순정만화가 너무 어려워!,2023-04-05,17,2,68.97
1578,降妖神兵,2023-03-30,63,17,68.87
1579,The Library of Babel,2023-04-07,23,7,68.83
1580,Jump Fucker,2023-02-28,10,7,68.83
1581,Upgrade VR,2023-02-03,5,3,68.8
1582,Sidestep Legends,2023-01-09,11,3,68.8
1583,Hungry Caveman,2023-02-04,7,3,68.8
1584,Endless Fireworks Simulator,2023-02-06,7,3,68.8
1585,Dark Dead,2023-04-07,5,3,68.8
1586,Ultimate Admiral: Dreadnoughts,2023-01-25,2081,1027,68.79
1587,DzombZ,2023-01-30,8,6,68.78
1588,Misteri Rumah Pak RT,2023-02-18,12,6,68.78
1589,소울 가디언즈,2023-02-22,311,70,68.75
1590,Your Story,2023-01-19,13,5,68.75
1591,Overrun Survivors,2023-02-16,12,5,68.75
1592,RINA RhythmERROR：Prologue,2023-02-17,8,4,68.75
1593,Miniland Adventure,2023-04-10,274,15,68.7
1594,The Cenozoic Era,2023-01-20,227,88,68.69
1595,Battle of Vukovar: Rain of Steel,2023-01-31,13,10,68.6
1596,Death Roads: Tournament,2023-03-28,379,57,68.51
1597,Street Lords,2023-02-07,48,19,68.5
1598,Cockville,2023-02-07,50,16,68.49
1599,A Sex Slave's Love Story,2023-02-28,58,25,68.35
1600,蛇香之夜 ～Allure of MUSK～　第一夜　欧洲篇,2023-02-14,257,36,68.34
1601,最终堡垒,2023-02-21,11,7,68.31
1602,I'm looking for 3024 people,2023-02-03,8,11,68.3
1603,Bobo The Cat,2023-01-05,6,6,68.2
1604,IN THE BUILDING: CATS 3,2023-01-05,6,6,68.2
1605,THE MEME HUNTER,2023-03-02,8,16,68.19
1606,Pillazon: MMO Drug Lord Tycoon,2023-01-13,15,10,68.18
1607,PyroSlam: VR Table Tennis,2023-02-16,6,1,68.15
1608,Chippy & Noppo,2023-03-08,49,1,68.15
1609,Warspace,2023-03-27,5,1,68.15
1610,The Forest Cathedral,2023-03-14,5,1,68.15
1611,Revenge on the Streets 3,2023-01-02,2,1,68.15
1612,Mudoba,2023-01-05,3,1,68.15
1613,Exhibitors,2023-04-08,7,1,68.15
1614,Hot Coffe Shop,2023-03-31,5,1,68.15
1615,A Matter of Principle,2023-01-19,2,1,68.15
1616,Only A Dream,2023-01-13,2,1,68.15
1617,Sphere Game Legendary,2023-01-06,3,1,68.15
1618,Dark Desire Mute 1,2023-01-14,4,1,68.15
1619,Torico's b-day gift hunt,2023-02-23,2,1,68.15
1620,Hike Valley,2023-01-20,2,1,68.15
1621,Slayin 2,2023-03-30,5,1,68.15
1622,Gallery Manager,2023-02-17,5,1,68.15
1623,Lana and the Milking Table,2023-03-31,6,1,68.15
1624,Flip That Coin!,2023-03-02,3,1,68.15
1625,Vincent's Horror Story,2023-02-27,6,1,68.15
1626,Lost World,2023-02-05,104,54,68.11
1627,Rhythm Brawl,2023-04-11,15,37,68.1
1628,Cuckold Life Simulator 😳🔞,2023-01-21,517,31,68.1
1629,Friend or Foe,2023-01-23,13,5,68.1
1630,SUR5,2023-04-01,23,5,68.1
1631,Poozle Mania,2023-03-31,38,5,68.1
1632,Spatial Terminal,2023-01-13,7,5,68.1
1633,Planet Fights,2023-03-24,22,9,68.05
1634,Kai Yuan,2023-03-13,12,4,68.0
1635,山门与幻境,2023-01-15,438,181,67.97
1636,The Walking Dead: Saints & Sinners - Chapter 2: Retribution,2023-03-21,532,170,67.95
1637,The Unbeatable Path,2023-04-06,10,2,67.93
1638,I Will Be There,2023-02-14,3,2,67.93
1639,Escape Dream,2023-03-13,11,2,67.93
1640,Gehinnom: Prologue,2023-02-27,7,2,67.93
1641,Turbo Racing,2023-03-20,4,2,67.93
1642,Hot Therapy,2023-04-06,33,2,67.93
1643,Aquatico,2023-01-12,937,154,67.92
1644,Beyond Contact,2023-04-04,291,128,67.91
1645,Elemental Raiders,2023-01-16,51,27,67.91
1646,Touch Me,2023-01-12,21,11,67.9
1647,Goblins of Elderstone,2023-03-08,163,82,67.87
1648,Power Chord,2023-01-26,167,24,67.8
1649,Administrators,2023-03-25,4,7,67.76
1650,Мафия 1x1,2023-03-10,34,7,67.76
1651,异世重生 : 枪之勇者 Reincarnation : Hero of the Gun,2023-02-27,98,10,67.75
1652,Deadly Broadcast,2023-02-02,131,130,67.7
1653,《蜀山：初章》网络版,2023-04-06,1429,138,67.67
1654,Altf42,2023-03-30,149,39,67.64
1655,Otherwar,2023-02-27,33,14,67.6
1656,Alignment,2023-03-10,15,6,67.59
1657,Derealized,2023-03-13,10,9,67.58
1658,Dark Prospect,2023-03-05,25,20,67.55
1659,Make Her Cum,2023-02-02,47,41,67.51
1660,Magic Pussy: Chapter 1,2023-04-08,321,63,67.48
1661,paradise of desire,2023-01-11,62,25,67.46
1662,Tiny Troopers: Global Ops,2023-03-09,16,5,67.4
1663,Ultra Blade,2023-02-24,7,5,67.4
1664,Road 96: Mile 0,2023-04-04,484,114,67.39
1665,13iew,2023-04-04,32,8,67.39
1666,Axiom,2023-01-01,34,33,67.38
1667,CyberCum: Pussy Attack❗️,2023-04-01,82,27,67.27
1668,Prepare Uranus: Exploring Black Holes for Adults,2023-01-06,39,14,67.24
1669,Survival Nation,2023-02-02,38,25,67.23
1670,Industries of Titan,2023-01-31,2217,404,67.19
1671,Heavyarms Assemble: WWII,2023-02-03,76,23,67.19
1672,Boxing Gym Story,2023-02-13,242,17,67.09
1673,A Foreign World,2023-02-06,83,9,67.09
1674,鞭炮&烟花：春节模拟器Firecrackers&fireworks：china new year simulation,2023-01-26,20,9,67.09
1675,Light of Alariya,2023-03-01,80,32,67.07
1676,Bleak Faith: Forsaken,2023-03-10,1793,515,67.06
1677,Super Sketch Bob,2023-03-16,1,0,67.06
1678,Asteroid Defender!,2023-02-09,1,0,67.06
1679,Unification,2023-03-01,2,0,67.06
1680,Johnny Lionface,2023-02-20,6,0,67.06
1681,Lab Chaos,2023-03-04,1,0,67.06
1682,Knight Of The Parking Lot,2023-01-25,2,0,67.06
1683,Hana's Campus Life,2023-03-31,3,0,67.06
1684,PocketCiv,2023-01-17,6,0,67.06
1685,Virtual Near Death Experience,2023-03-11,1,0,67.06
1686,Iron Age,2023-04-05,2,0,67.06
1687,Anti Frank's Wrath,2023-01-13,4,0,67.06
1688,Super Puzzle Cross,2023-03-29,3,0,67.06
1689,BLINNK and the Vacuum of Space,2023-01-17,7,0,67.06
1690,Just a SHMUP?,2023-02-24,2,0,67.06
1691,Space Warden,2023-03-16,1,0,67.06
1692,Sinister,2023-01-25,1,0,67.06
1693,Lucie's Potager,2023-02-16,2,0,67.06
1694,Automoji,2023-03-08,10,0,67.06
1695,Boot & Shoot,2023-02-22,2,0,67.06
1696,Seven Spirits,2023-01-20,2,0,67.06
1697,Game Cycle,2023-01-20,2,0,67.06
1698,The Cursed Knight,2023-02-09,2,0,67.06
1699,Rat Chef,2023-02-26,2,0,67.06
1700,MouseLife - Parenthood,2023-03-31,1,0,67.06
1701,Ghosts over the Water: Changing the Tides of Japan's Future,2023-03-31,3,0,67.06
1702,Home By The River,2023-02-15,3,0,67.06
1703,Cryogenesis,2023-03-07,1,0,67.06
1704,Breakthrough,2023-02-16,2,0,67.06
1705,Flight Level,2023-02-28,6,0,67.06
1706,Spike Mtn,2023-03-30,1,0,67.06
1707,Hex,2023-01-27,1,0,67.06
1708,The Legend of Gandar II,2023-01-02,2,0,67.06
1709,Corgi Cove,2023-02-14,3,0,67.06
1710,Thelos,2023-01-12,2,0,67.06
1711,Huntscape,2023-03-31,4,0,67.06
1712,Fusion Paradox,2023-04-10,2,0,67.06
1713,Mount Farewell,2023-01-27,3,0,67.06
1714,Bugs and Bullets,2023-02-03,4,0,67.06
1715,A Lone Piece,2023-03-02,2,0,67.06
1716,OSAWARI HOCKEY えんこちゃん,2023-01-12,2,0,67.06
1717,Elemental Adventure,2023-02-17,6,0,67.06
1718,The Last Werewolf,2023-02-23,2,0,67.06
1719,BBirthday - Visual Novel,2023-01-20,4,0,67.06
1720,Warung Nasi Campur,2023-02-09,1,0,67.06
1721,Island Bender,2023-03-31,4,0,67.06
1722,Race Code,2023-04-30,2,0,67.06
1723,The Soul's Choice,2023-01-27,7,0,67.06
1724,タイピングで愛を伝えよ,2023-01-05,2,0,67.06
1725,Amanda's Magic Book 6,2023-01-12,3,0,67.06
1726,City Z,2023-04-07,5,0,67.06
1727,Hide and Seek,2023-02-10,16,0,67.06
1728,Super Death Game SHOW！VR,2023-04-05,2,0,67.06
1729,MicroCrawl,2023-02-18,2,0,67.06
1730,Mimicry,2023-02-10,4,0,67.06
1731,Catacombs: The Asper Case,2023-03-28,1,0,67.06
1732,Terix Survivors,2023-02-14,1,0,67.06
1733,Dino V. Xeno - Tower Defense,2023-02-24,2,0,67.06
1734,Candy Arkanoid,2023-01-31,2,0,67.06
1735,激活: Activate,2023-01-18,2,0,67.06
1736,NOTHING TO LOSE,2023-02-13,2,0,67.06
1737,混沌骑士,2023-02-28,4,0,67.06
1738,ALPO: Way to home,2023-02-09,2,0,67.06
1739,Wojak Rush,2023-01-29,1,0,67.06
1740,CubeRun 2,2023-03-22,1,0,67.06
1741,Golden Rails: Valuable Package,2023-03-29,30,0,67.06
1742,Autumn-Time Trade-Up,2023-02-25,2,0,67.06
1743,Cave Raider,2023-02-08,2,0,67.06
1744,Project Nosferatu,2023-02-02,2,0,67.06
1745,Disgusting Puzzle,2023-01-27,1,0,67.06
1746,YourTrain,2023-02-07,4,0,67.06
1747,Crystal Storm,2023-03-30,2,0,67.06
1748,Death Road,2023-03-16,1,0,67.06
1749,My Home/Zombie Center,2023-02-17,9,0,67.06
1750,アパシー学校であった怖い話 極,2023-02-15,10,0,67.06
1751,Wak Attak,2023-02-16,1,0,67.06
1752,愛する妻、美咲の不倫証拠 『旦那とどっちが気持ちいい？』→『貴方の方が…あっ、ダメッ、またイッちゃうッ…！』,2023-04-06,1,0,67.06
1753,Hentai Casual Slider 2,2023-02-02,1,0,67.06
1754,Mikrocosmos,2023-02-04,5,0,67.06
1755,Find The Murderer 3,2023-02-11,1,0,67.06
1756,FIGHTING PUDDING,2023-02-18,3,0,67.06
1757,Kiting Mechanics,2023-02-27,3,0,67.06
1758,The Aching,2023-04-05,3,0,67.06
1759,Tartarus Longo Itinere,2023-02-20,2,0,67.06
1760,R-Lyke: Reverse,2023-02-26,2,0,67.06
1761,STIVENELVRO LEGENDS,2023-03-31,3,0,67.06
1762,Knight Raider,2023-02-23,2,0,67.06
1763,Interstellar Conquest,2023-02-27,3,0,67.06
1764,The Fog,2023-02-28,1,0,67.06
1765,Fishjong,2023-03-08,3,0,67.06
1766,Crusader's March,2023-03-06,2,0,67.06
1767,Mimi and Lisa,2023-03-14,3,0,67.06
1768,Jigsaw Puzzles: Fantasy Landscapes,2023-03-07,4,0,67.06
1769,Demons Infernalize,2023-03-30,2,0,67.06
1770,The Orphan,2023-03-29,2,0,67.06
1771,Aquaphobia,2023-03-16,1,0,67.06
1772,Heroes of Eroticism - Amorous Advances,2023-03-24,19,0,67.06
1773,Wizard of Wyndmoor,2023-03-13,1,0,67.06
1774,Mr Rabbit's Cambridge Point and Click Adventure,2023-03-30,1,0,67.06
1775,sunny-place-3: microgods,2023-03-24,4,0,67.06
1776,Boomerang Battles,2023-04-06,3,0,67.06
1777,Furry Furries,2023-03-31,4,0,67.06
1778,Sex Simulator - Office Affairs,2023-03-04,5,0,67.06
1779,Dickland,2023-03-22,3,0,67.06
1780,Mommy Milkers Miko,2023-04-03,8,0,67.06
1781,Final Gun,2023-03-23,6,0,67.06
1782,PolyGunner,2023-04-03,2,0,67.06
1783,The Adventures of LinShanHai - Chapter3:The Headless Woman,2023-03-31,3,0,67.06
1784,스쿨라이프,2023-04-05,3,0,67.06
1785,Little Crab Fisher,2023-04-01,5,0,67.06
1786,Merging Cubes,2023-03-31,1,0,67.06
1787,My Dear Dad 父亲,2023-04-07,6,0,67.06
1788,Vampire Slayer: The Resurrection,2023-02-09,13,11,67.05
1789,Garbage Truck Simulator,2023-02-09,24,11,67.05
1790,Clive 'N' Wrench,2023-02-23,48,22,67.04
1791,Sonic Colors: Ultimate,2023-02-06,90,74,67.03
1792,Pitch Silent,2023-01-17,4,3,66.98
1793,Tristia:restore,2023-01-20,8,3,66.98
1794,Taste of War,2023-01-20,6,3,66.98
1795,Hidden Post-Apocalyptic 2 Top-Down 3D,2023-02-21,2,3,66.98
1796,龙栖,2023-03-24,9,6,66.94
1797,Desktop Dungeons: Rewind - Daily Demo,2023-01-25,27,6,66.94
1798,Trackmania,2023-02-02,2935,718,66.88
1799,Star Survivor - Prologue,2023-02-17,173,32,66.87
1800,Potion Tycoon,2023-03-13,243,45,66.84
