date,cores,tmus,rops,memory_size,bus_width,release_date,real_users
3707.0,96.0,12.0,2.0,0.0,0.0,3313.0,115003.0
3738.0,96.0,12.0,2.0,0.0,0.0,3313.0,152090.0
3768.0,96.0,12.0,2.0,0.0,0.0,3313.0,164163.0
3829.0,96.0,12.0,2.0,0.0,0.0,3313.0,178248.0
3860.0,96.0,12.0,2.0,0.0,0.0,3313.0,170686.0
3921.0,96.0,12.0,2.0,0.0,0.0,3313.0,228659.0
3982.0,96.0,12.0,2.0,0.0,0.0,3313.0,240845.0
4044.0,96.0,12.0,2.0,0.0,0.0,3313.0,233912.0
4072.0,96.0,12.0,2.0,0.0,0.0,3313.0,207147.0
4164.0,96.0,12.0,2.0,0.0,0.0,3313.0,220069.0
4194.0,96.0,12.0,2.0,0.0,0.0,3313.0,227764.0
4256.0,96.0,12.0,2.0,0.0,0.0,3313.0,270733.0
4347.0,96.0,12.0,2.0,0.0,0.0,3313.0,305583.0
4378.0,96.0,12.0,2.0,0.0,0.0,3313.0,304122.0
4468.0,96.0,12.0,2.0,0.0,0.0,3313.0,240079.0
4498.0,96.0,12.0,2.0,0.0,0.0,3313.0,231713.0
4529.0,96.0,12.0,2.0,0.0,0.0,3313.0,264130.0
4559.0,96.0,12.0,2.0,0.0,0.0,3313.0,273385.0
4590.0,96.0,12.0,2.0,0.0,0.0,3313.0,231574.0
4621.0,96.0,12.0,2.0,0.0,0.0,3313.0,244567.0
4651.0,96.0,12.0,2.0,0.0,0.0,3313.0,219743.0
4682.0,96.0,12.0,2.0,0.0,0.0,3313.0,252012.0
4712.0,96.0,12.0,2.0,0.0,0.0,3313.0,258364.0
4743.0,96.0,12.0,2.0,0.0,0.0,3313.0,260775.0
4863.0,96.0,12.0,2.0,0.0,0.0,3313.0,230613.0
4894.0,96.0,12.0,2.0,0.0,0.0,3313.0,240044.0
4986.0,96.0,12.0,2.0,0.0,0.0,3313.0,235389.0
5047.0,96.0,12.0,2.0,0.0,0.0,3313.0,331466.0
5108.0,96.0,12.0,2.0,0.0,0.0,3313.0,273982.0
5139.0,96.0,12.0,2.0,0.0,0.0,3313.0,244962.0
5168.0,96.0,12.0,2.0,0.0,0.0,3313.0,237359.0
5199.0,96.0,12.0,2.0,0.0,0.0,3313.0,243134.0
5229.0,96.0,12.0,2.0,0.0,0.0,3313.0,262683.0
5260.0,96.0,12.0,2.0,0.0,0.0,3313.0,233383.0
5290.0,96.0,12.0,2.0,0.0,0.0,3313.0,237357.0
5321.0,96.0,12.0,2.0,0.0,0.0,3313.0,220889.0
5382.0,96.0,12.0,2.0,0.0,0.0,3313.0,254509.0
5413.0,96.0,12.0,2.0,0.0,0.0,3313.0,234238.0
5443.0,96.0,12.0,2.0,0.0,0.0,3313.0,222899.0
5686.0,96.0,12.0,2.0,0.0,0.0,3313.0,134970.0
5747.0,96.0,12.0,2.0,0.0,0.0,3313.0,101739.0
5778.0,96.0,12.0,2.0,0.0,0.0,3313.0,74775.0
5808.0,96.0,12.0,2.0,0.0,0.0,3313.0,76969.0
5839.0,96.0,12.0,2.0,0.0,0.0,3313.0,72662.0
5870.0,96.0,12.0,2.0,0.0,0.0,3313.0,70809.0
5898.0,96.0,12.0,2.0,0.0,0.0,3313.0,89028.0
5929.0,96.0,12.0,2.0,0.0,0.0,3313.0,139324.0
5959.0,96.0,12.0,2.0,0.0,0.0,3313.0,139701.0
5990.0,96.0,12.0,2.0,0.0,0.0,3313.0,128147.0
6020.0,96.0,12.0,2.0,0.0,0.0,3313.0,122687.0
6051.0,96.0,12.0,2.0,0.0,0.0,3313.0,113866.0
6082.0,96.0,12.0,2.0,0.0,0.0,3313.0,117740.0
6112.0,96.0,12.0,2.0,0.0,0.0,3313.0,98437.0
6143.0,96.0,12.0,2.0,0.0,0.0,3313.0,111623.0
6173.0,96.0,12.0,2.0,0.0,0.0,3313.0,127699.0
6204.0,96.0,12.0,2.0,0.0,0.0,3313.0,120509.0
6235.0,96.0,12.0,2.0,0.0,0.0,3313.0,107970.0
6263.0,96.0,12.0,2.0,0.0,0.0,3313.0,105971.0
6294.0,96.0,12.0,2.0,0.0,0.0,3313.0,94843.0
6324.0,96.0,12.0,2.0,0.0,0.0,3313.0,106694.0
6355.0,96.0,12.0,2.0,0.0,0.0,3313.0,93443.0
6385.0,96.0,12.0,2.0,0.0,0.0,3313.0,98455.0
6416.0,96.0,12.0,2.0,0.0,0.0,3313.0,90735.0
6447.0,96.0,12.0,2.0,0.0,0.0,3313.0,96575.0
6477.0,96.0,12.0,2.0,0.0,0.0,3313.0,81392.0
6508.0,96.0,12.0,2.0,0.0,0.0,3313.0,83710.0
6538.0,96.0,12.0,2.0,0.0,0.0,3313.0,94354.0
6569.0,96.0,12.0,2.0,0.0,0.0,3313.0,85995.0
6600.0,96.0,12.0,2.0,0.0,0.0,3313.0,96615.0
6629.0,96.0,12.0,2.0,0.0,0.0,3313.0,98117.0
6660.0,96.0,12.0,2.0,0.0,0.0,3313.0,133406.0
6690.0,96.0,12.0,2.0,0.0,0.0,3313.0,134037.0
6721.0,96.0,12.0,2.0,0.0,0.0,3313.0,106010.0
6751.0,96.0,12.0,2.0,0.0,0.0,3313.0,97194.0
6782.0,96.0,12.0,2.0,0.0,0.0,3313.0,85474.0
6813.0,96.0,12.0,2.0,0.0,0.0,3313.0,89973.0
6843.0,96.0,12.0,2.0,0.0,0.0,3313.0,93996.0
6874.0,96.0,12.0,2.0,0.0,0.0,3313.0,97495.0
6904.0,96.0,12.0,2.0,0.0,0.0,3313.0,80250.0
6935.0,96.0,12.0,2.0,0.0,0.0,3313.0,96809.0
6966.0,96.0,12.0,2.0,0.0,0.0,3313.0,88479.0
6994.0,96.0,12.0,2.0,0.0,0.0,3313.0,86668.0
7025.0,96.0,12.0,2.0,0.0,0.0,3313.0,83133.0
7055.0,96.0,12.0,2.0,0.0,0.0,3313.0,81305.0
7086.0,96.0,12.0,2.0,0.0,0.0,3313.0,82117.0
7116.0,96.0,12.0,2.0,0.0,0.0,3313.0,87907.0
7147.0,96.0,12.0,2.0,0.0,0.0,3313.0,76570.0
7178.0,96.0,12.0,2.0,0.0,0.0,3313.0,78357.0
7208.0,96.0,12.0,2.0,0.0,0.0,3313.0,80362.0
7239.0,96.0,12.0,2.0,0.0,0.0,3313.0,83668.0
7269.0,96.0,12.0,2.0,0.0,0.0,3313.0,77446.0
7300.0,96.0,12.0,2.0,0.0,0.0,3313.0,84364.0
7331.0,96.0,12.0,2.0,0.0,0.0,3313.0,80014.0
7359.0,96.0,12.0,2.0,0.0,0.0,3313.0,72250.0
7390.0,96.0,12.0,2.0,0.0,0.0,3313.0,78875.0
7420.0,96.0,12.0,2.0,0.0,0.0,3313.0,67499.0
7451.0,96.0,12.0,2.0,0.0,0.0,3313.0,69326.0
7481.0,96.0,12.0,2.0,0.0,0.0,3313.0,51060.0
7512.0,96.0,12.0,2.0,0.0,0.0,3313.0,66982.0
7543.0,96.0,12.0,2.0,0.0,0.0,3313.0,56382.0
7573.0,96.0,12.0,2.0,0.0,0.0,3313.0,59483.0
