id,game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
2898,Brain Damage,2023,3,3,3,3,50.00%
2899,Gogte,2023,2,2,2,2,50.00%
2900,One Tank Army,2023,3,2,2,2,50.00%
2901,Monsters of Seabrook,2023,5,2,2,2,50.00%
2902,Merchant of Bohemia,2023,2,2,2,2,50.00%
2903,ANGEL DROID,2023,3,2,2,2,50.00%
2904,Dark spell,2023,5,2,2,2,50.00%
2905,Conquering Married Women through Sex,2023,7,2,2,2,50.00%
2906,Dinosaur Simulator,2023,3,2,2,2,50.00%
2907,Courier Tycoon,2023,2,2,2,2,50.00%
2908,Package Dudes,2023,3,2,2,2,50.00%
2909,Cleaning Queens,2023,5,2,2,2,50.00%
2910,Christmas Land,2023,1,2,2,2,50.00%
2911,Blue Sky,2023,2,2,2,2,50.00%
2912,国产手机帝国-Mobile phone empire,2023,2,2,2,2,50.00%
2913,Old Shadow,2023,1,2,2,2,50.00%
2914,The Dark Side Of Mars,2023,4,2,2,2,50.00%
2915,Death Gunfire - Kill the Zombie,2023,3,2,2,2,50.00%
2916,EQUAL PEOPLE,2023,1,2,2,2,50.00%
2917,Hentai Secrets,2023,2,2,2,2,50.00%
2918,街机捕鱼城-经典万炮捕鱼,2023,12,2,2,2,50.00%
2919,Cargo Truck Simulator 2023,2023,3,2,2,2,50.00%
2920,HOW,2023,3,2,2,2,50.00%
2921,十月怪谈,2023,5,2,2,2,50.00%
2922,KITS,2023,5,2,2,2,50.00%
2923,Survival Sprint,2023,4,2,2,2,50.00%
2924,DeathKeep,2023,6,2,2,2,50.00%
2925,Kriaturaz,2023,1,1,1,1,50.00%
2926,Evil Below,2023,3,1,1,1,50.00%
2927,Super Sketchy Party,2023,1,1,1,1,50.00%
2928,Thief vs Detective Blonde Lady,2023,3,1,1,1,50.00%
2929,Emperial Knights,2023,2,1,1,1,50.00%
2930,Darwin's Aquarium,2023,4,1,1,1,50.00%
2931,Barnstormers: Determined to Win,2023,2,1,1,1,50.00%
2932,The Bastonnes,2023,4,1,1,1,50.00%
2933,ギルド受付嬢フィリス,2023,10,1,1,1,50.00%
2934,Captain!,2023,2,1,1,1,50.00%
2935,What's your emergency,2023,2,1,1,1,50.00%
2936,Evolution Tale,2023,6,1,1,1,50.00%
2937,Vanessa,2023,2,1,1,1,50.00%
2938,First Time in Hawaii,2023,4,1,1,1,50.00%
2939,Overdelivery,2023,1,1,1,1,50.00%
2940,Ringborn,2023,2,1,1,1,50.00%
2941,Phantom Island,2023,1,1,1,1,50.00%
2942,Brichi Quest,2023,2,1,1,1,50.00%
2943,Village and The Witch,2023,4,1,1,1,50.00%
2944,Universal Truck Simulator Tow Games,2023,2,1,1,1,50.00%
2945,Petit Petit Petit,2023,7,1,1,1,50.00%
2946,Not born to be King,2023,1,1,1,1,50.00%
2947,PigShip and the Giant Wolf,2023,1,1,1,1,50.00%
2948,Neon Noir,2023,2,1,1,1,50.00%
2949,Fair Princess Under Futa Curse,2023,5,1,1,1,50.00%
2950,剑仙的副本,2023,2,1,1,1,50.00%
2951,ChessBase 17 SE,2023,5,1,1,1,50.00%
2952,A Game You Can Afford In This Economy,2023,2,1,1,1,50.00%
2953,Chains of Time,2023,4,1,1,1,50.00%
2954,Heirs of the Kings,2023,8,1,1,1,50.00%
2955,Eastern Europe Train Sim,2023,2,1,1,1,50.00%
2956,WAR Card Game_uvr,2023,1,1,1,1,50.00%
2957,Secret Dimension,2023,1,1,1,1,50.00%
2958,Crossroad of Worlds: Mystery Agency Collector's Edition,2023,4,1,1,1,50.00%
2959,Void: Edge of Existence,2023,3,1,1,1,50.00%
2960,Digital Virus,2023,2,1,1,1,50.00%
2961,ハーデリアクエスト,2023,2,1,1,1,50.00%
2962,Hentai Jigsaw Puzzle Collection: Christmas Edition,2023,1,1,1,1,50.00%
2963,Red Flower,2023,2,1,1,1,50.00%
2964,Pong Ping,2023,2,1,1,1,50.00%
2965,Mecha Blade,2023,1,1,1,1,50.00%
2966,Our Memories - Hentai,2023,2,1,1,1,50.00%
2967,Star Hive: The Menace,2023,3,1,1,1,50.00%
2968,海伦的神迹,2023,1,1,1,1,50.00%
2969,Find the Whales Español,2023,1,1,1,1,50.00%
2970,Golden Gloves VR,2023,1,1,1,1,50.00%
2971,Earth Mars,2023,1,1,1,1,50.00%
2972,三国群英战略版,2023,2,1,1,1,50.00%
2973,Obsta-Loop,2023,3,1,1,1,50.00%
2974,Skyemont Battle,2023,1,1,1,1,50.00%
2975,Castle Destroyers,2023,2,1,1,1,50.00%
2976,栽培人计划：Meet a Date!,2023,1,1,1,1,50.00%
2977,Dark Desire Mute 2,2023,2,1,1,1,50.00%
2978,Vault City,2023,2,1,1,1,50.00%
2979,City Ambulance Car Driving,2023,2,1,1,1,50.00%
2980,The City: Superhero Flying Experience,2023,3,1,1,1,50.00%
2981,我的拿汀學姐,2023,2,1,1,1,50.00%
2982,Book of Shardows,2023,1,1,1,1,50.00%
2983,Stay in,2023,2,1,1,1,50.00%
2984,First Light,2023,3,1,1,1,50.00%
2985,Real Zombie War Simulator,2023,3,1,1,1,50.00%
2986,Modo Defence,2023,4,1,1,1,50.00%
2987,Gradient,2023,2,1,1,1,50.00%
2988,Slide Puzzle: Cute Moe Girls,2023,2,1,1,1,50.00%
2989,Coerced: Unexpected Detention,2023,4,1,1,1,50.00%
2990,Psychic Investigation of Sakuragi Haru,2023,7,1,1,1,50.00%
2991,Hentai Cookie,2023,1,1,1,1,50.00%
2992,AlcoFox,2023,1,1,1,1,50.00%
2993,Sex Simulator - Girl on Girl,2023,3,1,1,1,50.00%
2994,Keyboard Warrior,2023,2,1,1,1,50.00%
2995,The Dungeon Vendor,2023,3,1,1,1,50.00%
2996,Mizz Survival,2023,4,1,1,1,50.00%
2997,darkside,2023,4,1,1,1,50.00%
2998,GUNSHIP,2023,3,1,1,1,50.00%
2999,Moviehouse - The Film Studio Tycoon,2023,294,80,81,81,49.76%
3000,Idle Clans,2023,489,39,40,40,49.54%
3001,Conquest Emperor,2023,13,25,26,26,49.32%
3002,The Last of Us™ Part I,2023,36496,"13,254","13,679","13,679",49.25%
3003,Ravenbound,2023,1104,284,296,296,49.12%
3004,Warhammer Age of Sigmar: Soul Arena,2023,227,99,104,104,49.02%
3005,Hidden Islands,2023,7,11,12,12,48.66%
3006,Propaganda Inc.,2023,40,10,11,11,48.56%
3007,联盟大乱斗,2023,822,90,97,97,48.52%
3008,Bless Global,2023,466,121,131,131,48.39%
3009,ANETHA,2023,11,8,9,9,48.29%
3010,Not For Broadcast VR,2023,7,8,9,9,48.29%
3011,PumPum 2,2023,30,18,20,20,48.24%
3012,她的脚,2023,6,7,8,8,48.11%
3013,Novastella Island,2023,127,166,184,184,47.87%
3014,DEAD CIDE CLUB,2023,1951,411,454,454,47.84%
3015,Coal Mining Simulator,2023,399,13,15,15,47.72%
3016,Richman 6,2023,16,13,15,15,47.72%
3017,Wo Long: Fallen Dynasty,2023,75906,"10,082","11,121","11,121",47.67%
3018,House Builder VR,2023,3,5,6,6,47.61%
3019,bloody lonely cold,2023,4,12,14,14,47.58%
3020,Kink.Inc,2023,62,11,13,13,47.41%
3021,The Magic Land,2023,16,11,13,13,47.41%
3022,Flight Attendant Simulator VR,2023,9,4,5,5,47.22%
3023,Monster Knockout,2023,2,4,5,5,47.22%
3024,Cars vs Train,2023,2,4,5,5,47.22%
3025,Backrooms - Surreality,2023,4,4,5,5,47.22%
3026,Spelljammer: Pirates of Realmspace,2023,17,4,5,5,47.22%
3027,有个小村,2023,3,3,4,4,46.68%
3028,Lumien,2023,4,3,4,4,46.68%
3029,Criminal Expert,2023,10,3,4,4,46.68%
3030,Dragon Survivors,2023,5,3,4,4,46.68%
3031,Battle for borders,2023,5,7,9,9,46.41%
3032,Eleonor's Nightmares,2023,5,7,9,9,46.41%
3033,ONI : Road to be the Mightiest Oni,2023,31,21,26,26,46.34%
3034,Spirit Eyes,2023,1,2,3,3,45.83%
3035,Armored Battalion,2023,2,2,3,3,45.83%
3036,Maiden Kingdom,2023,5,2,3,3,45.83%
3037,Sears: The Sky Frontier,2023,1,2,3,3,45.83%
3038,Detective Super Star,2023,7,2,3,3,45.83%
3039,The Starving Tournament,2023,5,2,3,3,45.83%
3040,Find the Birds,2023,3,2,3,3,45.83%
3041,WILD HEARTS™,2023,28511,"4,415","5,330","5,330",45.60%
3042,Redemption's Guild,2023,13,5,7,7,45.52%
3043,Russian Train Trip 2,2023,5,11,15,15,45.16%
3044,Here To Stay,2023,11,4,6,6,44.86%
3045,Bus Simulator: Car Driving,2023,5,4,6,6,44.86%
3046,迷之战果,2023,34,4,6,6,44.86%
3047,Hidden Ghost Town,2023,2,6,9,9,44.34%
3048,Shoot! VR,2023,7,6,9,9,44.34%
3049,Please FUCK ME my neighbor,2023,8,6,9,9,44.34%
3050,The Unearthened,2023,3,1,2,2,44.31%
3051,Moving Forward,2023,2,1,2,2,44.31%
3052,Reddish,2023,2,1,2,2,44.31%
3053,Fortune the Fated,2023,10,1,2,2,44.31%
3054,The Outer Space Bugs,2023,2,1,2,2,44.31%
3055,Phoenix Nightmare,2023,2,1,2,2,44.31%
3056,Cyber Cartels,2023,4,1,2,2,44.31%
3057,Project: Nightlight,2023,2,1,2,2,44.31%
3058,My Land!,2023,3,1,2,2,44.31%
3059,CyberHeroes Arena DX,2023,2,1,2,2,44.31%
3060,Oli One: Sneak in,2023,1,1,2,2,44.31%
3061,Remember U,2023,2,1,2,2,44.31%
3062,X-Sports,2023,3,1,2,2,44.31%
3063,Road Trucker,2023,1,1,2,2,44.31%
3064,Ultra Fishing,2023,1,1,2,2,44.31%
3065,丧尸世界,2023,3,1,2,2,44.31%
3066,Truck Simulator Ultimate 3D,2023,3,1,2,2,44.31%
3067,Fingers' Dating,2023,3,1,2,2,44.31%
3068,GUNWATCH: Conflict Survival,2023,3,1,2,2,44.31%
3069,Extreme Car Drift Simulator,2023,4,1,2,2,44.31%
3070,Putridum,2023,1,1,2,2,44.31%
3071,Target G,2023,1,1,2,2,44.31%
3072,Dogs Day,2023,2,1,2,2,44.31%
3073,Space Pop - Bubble Shooter,2023,2,1,2,2,44.31%
3074,Project Horror Tales,2023,2,1,2,2,44.31%
3075,我穿越到了魔法世界,2023,1,1,2,2,44.31%
3076,Spider Queen cave,2023,87,60,81,81,44.23%
3077,Knights of Legends,2023,7,3,5,5,43.95%
3078,Art Girl 2,2023,8,3,5,5,43.95%
3079,X-Racing,2023,2,3,5,5,43.95%
3080,SpaceInvasion,2023,15,5,8,8,43.68%
3081,CHERNOBYL - Death May Die,2023,2,4,7,7,42.82%
3082,Dark Days : Devil Hunt Prologue,2023,21,4,7,7,42.82%
3083,EA SPORTS™ PGA TOUR™,2023,1796,154,220,220,42.66%
3084,Deliria,2023,6,2,4,4,42.61%
3085,PK Girls,2023,3,2,4,4,42.61%
3086,Super Spy Steve,2023,10,2,4,4,42.61%
3087,Draft Day Sports: College Basketball 2023,2023,42,2,4,4,42.61%
3088,Into the Backrooms,2023,3,2,4,4,42.61%
3089,Hidden Magic Town,2023,2,5,9,9,42.04%
3090,Manacle | 猪仔,2023,8,6,11,11,41.45%
3091,Project Speed 2,2023,20,12,21,21,41.08%
3092,Gambit!,2023,29,10,18,18,40.90%
3093,Uncharted Waters Origin,2023,4880,390,596,596,40.86%
3094,Lovely Girl Puzzle,2023,1,0,1,1,40.58%
3095,Frontline Grunt,2023,1,0,1,1,40.58%
3096,Hyparxis,2023,2,0,1,1,40.58%
3097,Charem of Metropolitan,2023,1,0,1,1,40.58%
3098,Wind Of Life,2023,1,0,1,1,40.58%
3099,Three Defilements,2023,1,0,1,1,40.58%
3100,Godtail: First Cut,2023,1,0,1,1,40.58%
3101,Chicago 2020,2023,2,0,1,1,40.58%
3102,Unblocking,2023,1,0,1,1,40.58%
3103,Eftu,2023,4,0,1,1,40.58%
3104,Risky Woods,2023,1,0,1,1,40.58%
3105,BrainAccelerator,2023,2,0,1,1,40.58%
3106,Dungeonrite,2023,2,0,1,1,40.58%
3107,GUTTERBRAWLERS,2023,1,0,1,1,40.58%
3108,What was,2023,1,0,1,1,40.58%
3109,Escape Jump,2023,2,0,1,1,40.58%
3110,Eternal Space,2023,1,0,1,1,40.58%
3111,Squad Game,2023,2,0,1,1,40.58%
3112,Sword King,2023,1,0,1,1,40.58%
3113,Futr8,2023,4,0,1,1,40.58%
3114,世界征服者-成吉思汗（World Conqueror - Genghis Khan）,2023,1,0,1,1,40.58%
3115,eXecutor,2023,1,0,1,1,40.58%
3116,Somerholm,2023,1,0,1,1,40.58%
3117,REX,2023,1,0,1,1,40.58%
3118,YOU ARE THE DINNER,2023,2,0,1,1,40.58%
3119,Look Find Find,2023,1,0,1,1,40.58%
3120,DoTeam,2023,1,0,1,1,40.58%
3121,声灵,2023,3,0,1,1,40.58%
3122,BLOCkCORsair,2023,1,0,1,1,40.58%
3123,Liars' Race in Lost Ruins,2023,3,0,1,1,40.58%
3124,Kung Fu School,2023,1,0,1,1,40.58%
3125,Aw Heck  WAR!,2023,1,0,1,1,40.58%
3126,The Dungeon Rules,2023,1,0,1,1,40.58%
3127,Umbrella Escape,2023,1,0,1,1,40.58%
3128,Towers  Turrets  Turtles,2023,3,0,1,1,40.58%
3129,Orc Survivors,2023,1,0,1,1,40.58%
3130,Inky & Blinky,2023,1,0,1,1,40.58%
3131,winVGF,2023,2,0,1,1,40.58%
3132,Cool Cats,2023,1,0,1,1,40.58%
3133,Qiybz,2023,1,0,1,1,40.58%
3134,Hiden Ruin,2023,1,0,1,1,40.58%
3135,Towering,2023,1,0,1,1,40.58%
3136,Battle Mage,2023,1,0,1,1,40.58%
3137,Super Kids Racing : Mini Edition,2023,2,0,1,1,40.58%
3138,Office Mayhem,2023,2,0,1,1,40.58%
3139,Nature,2023,1,0,1,1,40.58%
3140,Stunts above Clouds,2023,2,0,1,1,40.58%
3141,2032: A New Threat,2023,2,0,1,1,40.58%
3142,Roxroria: An Island Of Treasures,2023,1,0,1,1,40.58%
3143,Valkyrie: Dawn of Ragnarok,2023,2,0,1,1,40.58%
3144,Bargain Blocz,2023,2,0,1,1,40.58%
3145,Kitten Kingdom,2023,1,0,1,1,40.58%
3146,Simp,2023,1,0,1,1,40.58%
3147,Space Escaper,2023,1,0,1,1,40.58%
3148,Lunar Mountain,2023,1,0,1,1,40.58%
3149,Blood Money  Good Money,2023,2,0,1,1,40.58%
3150,Kong Hero,2023,2,0,1,1,40.58%
3151,Animal Kingdom,2023,2,0,1,1,40.58%
3152,建造师模拟器,2023,2,0,1,1,40.58%
3153,Have a Bloody Goal,2023,2,0,1,1,40.58%
3154,CallOfTree,2023,1,0,1,1,40.58%
3155,Put Your Brain On 2,2023,1,0,1,1,40.58%
3156,Saki - sakuseikan.,2023,2,0,1,1,40.58%
3157,Garden of God,2023,2,0,1,1,40.58%
3158,Bargain Invaders,2023,1,0,1,1,40.58%
3159,Learn Japanese,2023,2,0,1,1,40.58%
3160,Binarion,2023,1,0,1,1,40.58%
3161,Top Race,2023,1,0,1,1,40.58%
3162,One Drone,2023,1,0,1,1,40.58%
3163,The Duduk Master,2023,1,0,1,1,40.58%
3164,Sex Adventures - Love Yacht,2023,2,0,1,1,40.58%
3165,Dungeons and Myths 2,2023,2,0,1,1,40.58%
3166,Karakuru,2023,2,0,1,1,40.58%
3167,Line Honey,2023,2,0,1,1,40.58%
3168,Komodo 3K Arena,2023,1,0,1,1,40.58%
3169,METEOR COMMANDER,2023,1,0,1,1,40.58%
3170,SparkleWand Puzzle,2023,1,0,1,1,40.58%
3171,Toy Flying Car,2023,1,0,1,1,40.58%
3172,Size story,2023,1,0,1,1,40.58%
3173,Question Mark,2023,1,0,1,1,40.58%
3174,DESTROY Simulator VR,2023,2,0,1,1,40.58%
3175,The Little Witch Shop: New in Town,2023,2,0,1,1,40.58%
3176,Eternal Hunt,2023,1,0,1,1,40.58%
3177,Containment Search,2023,2,0,1,1,40.58%
3178,Qualification as Rogue,2023,2,0,1,1,40.58%
3179,Mafia in Town,2023,1,0,1,1,40.58%
3180,Money Maker,2023,3,0,1,1,40.58%
3181,Sexy Dream Girl: Puzzle,2023,1,0,1,1,40.58%
3182,Toy Rider,2023,2,0,1,1,40.58%
3183,WWW,2023,1,0,1,1,40.58%
3184,Road To Place,2023,1,0,1,1,40.58%
3185,Within,2023,1,0,1,1,40.58%
3186,Threesome Puzzle,2023,2,0,1,1,40.58%
3187,Jurassic Pinball,2023,2,0,1,1,40.58%
3188,Monster Factory,2023,2,0,1,1,40.58%
3189,Necogram,2023,1,0,1,1,40.58%
3190,Medchess,2023,1,0,1,1,40.58%
3191,Island of the Dead,2023,1,0,1,1,40.58%
3192,穿梭世界,2023,2,0,1,1,40.58%
3193,Cum On Bus,2023,2,0,1,1,40.58%
3194,挠痒姐妹,2023,3,0,1,1,40.58%
3195,Beyond Polaris Guardian,2023,1,0,1,1,40.58%
3196,Book Travelers: A Victorian Story,2023,6,0,1,1,40.58%
3197,DobbyxEscape: Pirate Adventure,2023,1,0,1,1,40.58%
3198,Betrayal of Blood: a Strength & Virtue RPG,2023,1,0,1,1,40.58%
3199,Save District 3,2023,2,0,1,1,40.58%
3200,Waifu Puzzles,2023,2,0,1,1,40.58%
3201,Adult Puzzle - Hentai Aori,2023,2,0,1,1,40.58%
3202,Terminal Velocity,2023,1,0,1,1,40.58%
3203,Fluxion,2023,1,0,1,1,40.58%
3204,My Girl Hates Fruit,2023,2,0,1,1,40.58%
3205,HuaBing,2023,5,5,10,10,40.57%
3206,UnderBackroom,2023,112,25,43,43,40.46%
3207,Arithal,2023,2,1,3,3,40.40%
3208,Hammer 2 Reloaded,2023,3,1,3,3,40.40%
3209,After Wave: Downfall,2023,3,1,3,3,40.40%
3210,Home Office Simulator,2023,3,1,3,3,40.40%
3211,Rev Up! RC Grand Prix,2023,2,1,3,3,40.40%
3212,E-GIRL Next Door: Exposed,2023,5,1,3,3,40.40%
3213,Zombies in Metropolis,2023,1,1,3,3,40.40%
3214,Starless Hotel,2023,2,1,3,3,40.40%
3215,Aby's Playground,2023,2,1,3,3,40.40%
3216,Drift Experience Japan: Supporter Edition,2023,5,1,3,3,40.40%
3217,Metawork - Hotel Simulator,2023,8,1,3,3,40.40%
3218,Chests  City  Clicker,2023,18,9,17,17,40.32%
3219,Hentai Leaked!? Only for Fans,2023,13,10,19,19,40.06%
3220,BEAT AIMER!,2023,10,2,5,5,40.03%
3221,Zombie World Pixel,2023,2,2,5,5,40.03%
3222,Hidden Futa,2023,2,2,5,5,40.03%
3223,Battle of Guardians,2023,26,2,5,5,40.03%
3224,Onmyoji：the card game,2023,18,14,26,26,39.90%
3225,White Day2: The Flower That Tells Lies - EP1,2023,306,134,225,225,39.48%
3226,Volunteer,2023,2,4,9,9,39.46%
3227,Eternal Kingdom Battle Peak,2023,79,14,27,27,39.29%
3228,Sword and Fairy Inn,2023,86,18,34,34,39.27%
3229,Hidden Map,2023,2,5,11,11,39.24%
3230,Blood Bowl 3,2023,4045,926,"1,561","1,561",38.45%
3231,Brewmastery,2023,6,2,6,6,37.90%
3232,万仙萌,2023,8,2,6,6,37.90%
3233,Polar Penguin,2023,3,1,4,4,37.49%
3234,In the Dark,2023,1,1,4,4,37.49%
3235,NIKKA : RISE,2023,5,1,4,4,37.49%
3236,MrWang And Love,2023,3,1,4,4,37.49%
3237,Horror Adventure,2023,2,1,4,4,37.49%
3238,巴克斯的庆典,2023,138,19,40,40,37.39%
3239,Outstand,2023,5,4,11,11,36.79%
3240,Only Sex in the Brothel,2023,10,3,9,9,36.55%
3241,The Outer Worlds: Spacer's Choice Edition,2023,347,161,313,313,36.47%
3242,Mask of Fury,2023,8,2,7,7,36.11%
3243,Pixel Slayer,2023,10,2,7,7,36.11%
3244,Outcasts of Dungeon,2023,1,0,2,2,35.92%
3245,Lunch Tycoon,2023,3,0,2,2,35.92%
3246,Gomorrah,2023,3,0,2,2,35.92%
3247,CrystalKeepers,2023,1,0,2,2,35.92%
3248,SAMURAI Survivor -Undefeated Blade-,2023,19,0,2,2,35.92%
3249,Backrooms: The Game,2023,2,0,2,2,35.92%
3250,The Alien Space Cat,2023,1,0,2,2,35.92%
3251,虹城,2023,1,0,2,2,35.92%
3252,Cut fruit,2023,1,0,2,2,35.92%
3253,University Life Visual Novel,2023,6,0,2,2,35.92%
3254,Bargain Toader,2023,2,0,2,2,35.92%
3255,TITS OKAY TITS FINE: LEWD ME DARLING,2023,2,0,2,2,35.92%
3256,Trained by a Succubus,2023,4,0,2,2,35.92%
3257,Futa Jigsaw Dating,2023,4,0,2,2,35.92%
3258,Sex Simulator - Hot Sauna,2023,3,0,2,2,35.92%
3259,Jet Fire,2023,1,0,2,2,35.92%
3260,百鬼幻想記,2023,1,0,2,2,35.92%
3261,E30 Drift Car Simulator,2023,3,0,2,2,35.92%
3262,The Azmodeus Project,2023,2,0,2,2,35.92%
3263,Tank Online: War Shooting Simulator,2023,3,0,2,2,35.92%
3264,Story of the Olivia,2023,1,0,2,2,35.92%
3265,Badlands,2023,11,4,12,12,35.65%
3266,Tomb 盜墓,2023,7,4,12,12,35.65%
3267,K-Pop & Rock Band Manager,2023,3,1,5,5,35.22%
3268,Idlenetics,2023,7,1,5,5,35.22%
3269,江湖十一,2023,10225,"1,750","3,426","3,426",35.04%
3270,The Dark Pictures Anthology: The Devil in Me - Friend's Pass,2023,59,10,27,27,34.71%
3271,Netherverse,2023,7,2,8,8,34.58%
3272,Last Stop,2023,5,2,8,8,34.58%
3273,I Heard There Are Monsters Here,2023,55,12,33,33,34.04%
3274,Balloon Man,2023,3,1,6,6,33.38%
3275,Stepmom,2023,3,0,3,3,32.94%
3276,Wild West Dynasty,2023,2576,380,882,882,32.43%
3277,ASU,2023,37,10,32,32,32.25%
3278,赌神模拟器：亚洲风云,2023,304,41,111,111,32.04%
3279,FlyWings 2018 Flight Simulator,2023,7,9,31,31,31.49%
3280,New Witch in Town,2023,39,2,11,11,31.03%
3281,Shadow's Kiss Online Vampire RPG,2023,10,2,11,11,31.03%
3282,Charades Movie One,2023,1,0,4,4,30.80%
3283,The Backrooms - Nightmare Dimension,2023,5,0,4,4,30.80%
3284,Chinese Expeditionary Force - Assault Team,2023,3,0,4,4,30.80%
3285,8 Ball 3,2023,9,0,4,4,30.80%
3286,Brain Hole Girls,2023,2,0,4,4,30.80%
3287,Merge Me!,2023,11,1,8,8,30.56%
3288,Lost In The Backrooms,2023,3,1,11,11,27.58%
3289,Variant 22,2023,7,1,11,11,27.58%
3290,Sex Prison,2023,7,1,11,11,27.58%
3291,Knights of Pen and Paper 3,2023,306,23,90,90,27.48%
3292,Slave,2023,4,1,12,12,26.81%
3293,SpaceDog,2023,3,1,12,12,26.81%
3294,Hack and Shoot Heroes,2023,5,0,7,7,26.74%
3295,Vampire Survivors,2022,77061,"188,186","2,341","2,341",97.52%
3296,Stray,2022,62963,"113,022","3,016","3,016",95.98%
3297,Entropy : Zero 2,2022,3751,"15,153",253,253,95.70%
3298,PowerWash Simulator,2022,10512,"33,580",823,823,95.56%
3299,God of War,2022,73529,"96,113","2,959","2,959",95.54%
3300,Neon White,2022,3277,"10,714",187,187,95.34%
3301,Persona 5 Royal,2022,35474,"33,064",946,946,95.18%
3302,Placid Plastic Duck Simulator,2022,647,"7,394",120,120,95.11%
3303,Brotato,2022,30409,"30,573",914,914,95.01%
3304,CULTIC,2022,738,"3,819",35,35,95.00%
3305,Marvel’s Spider-Man Remastered,2022,66436,"58,877","2,078","2,078",94.90%
3306,The Looker,2022,1632,"10,957",259,259,94.81%
3307,Dorfromantik,2022,7101,"21,530",639,639,94.80%
3308,Wobbledogs,2022,591,"6,369",119,119,94.74%
3309,Trombone Champ,2022,1067,"6,163",114,114,94.72%
3310,The Case of the Golden Idol,2022,334,"3,222",32,32,94.72%
3311,DAVE THE DIVER,2022,5239,"10,485",257,257,94.70%
3312,Teardown,2022,8339,"65,324","2,501","2,501",94.69%
3313,Patrick's Parabox,2022,592,"2,270",14,14,94.57%
3314,Lil Gator Game,2022,458,"2,078",11,11,94.52%
3315,Ib,2022,2745,"2,432",21,21,94.46%
3316,Stacklands,2022,5186,"18,021",599,599,94.36%
3317,Metal: Hellsinger,2022,3569,"8,906",248,248,94.26%
3318,A Building Full of Cats,2022,115,"2,274",24,24,94.19%
3319,Half-Life 2: VR Mod,2022,1793,"4,086",83,83,94.10%
3320,The Planet Crafter,2022,14253,"19,114",708,708,94.07%
3321,乡村狂想曲,2022,2564,"9,452",293,293,94.03%
3322,A Castle Full of Cats,2022,190,"1,638",11,11,94.03%
3323,Monster Prom 3: Monster Roadtrip,2022,1774,"2,041",22,22,94.02%
3324,ASTLIBRA ～生きた証～ Revision,2022,7000,"13,565",474,474,93.99%
3325,Dungeon Munchies,2022,861,"5,727",156,156,93.88%
3326,SuchArt!,2022,920,"3,336",69,69,93.83%
3327,Lost in Play,2022,353,"2,465",40,40,93.81%
3328,Monument Valley,2022,323,"1,880",22,22,93.81%
3329,Outcore,2022,453,"4,552",120,120,93.70%
3330,Bugsnax,2022,949,"3,199",69,69,93.70%
3331,Sucker for Love,2022,247,"2,034",30,30,93.67%
3332,Outpath: First Journey,2022,896,"2,826",59,59,93.60%
3333,Frog Detective 3: Corruption at Cowboy County,2022,220,"1,071",4,4,93.56%
3334,SIGNALIS,2022,872,"6,680",220,220,93.54%
3335,月に寄りそう乙女の作法,2022,689,"1,892",29,29,93.51%
3336,FreshWomen - Season 1,2022,3383,"10,476",400,400,93.50%
3337,Cafe Stella,2022,1415,"2,211",40,40,93.50%
3338,Aokana - EXTRA2,2022,531,919,1,1,93.50%
3339,Downfall - A Slay the Spire Fan Expansion,2022,3132,"2,453",51,51,93.42%
3340,At Home Alone Final,2022,389,"4,260",124,124,93.39%
3341,PlateUp!,2022,12460,"11,601",473,473,93.36%
3342,提西探险社,2022,175,"1,789",29,29,93.35%
3343,Retrowave,2022,638,"12,483",527,527,93.30%
3344,怠惰的怪獸公主不想工作,2022,1102,"3,909",114,114,93.29%
3345,Tiny Rogues,2022,1694,"2,835",70,70,93.28%
3346,Will You Snail?,2022,705,"2,182",45,45,93.27%
3347,枝江畔之梦,2022,541,"1,443",19,19,93.27%
3348,NEEDY GIRL OVERDOSE,2022,3674,"20,831",988,988,93.22%
3349,Chop Goblins,2022,198,"1,322",17,17,93.15%
3350,Dialtown: Phone Dating Sim,2022,133,979,8,8,93.02%
3351,Slime Rancher 2,2022,21524,"18,421",902,902,93.01%
3352,Dwarf Fortress,2022,28340,"18,874",929,929,93.00%
3353,Tinykin,2022,262,"1,124",13,13,92.98%
3354,POSTAL Brain Damaged,2022,764,"4,654",166,166,92.93%
3355,Beacon Pines,2022,198,"1,282",20,20,92.87%
3356,Aperture Desk Job,2022,3519,"18,042",924,924,92.80%
3357,私のリアルは充実しすぎている フルボイス版,2022,1340,"2,286",63,63,92.74%
3358,Raft,2022,101096,"246,467","16,558","16,558",92.68%
3359,Dinkum,2022,13412,"14,721",758,758,92.63%
3360,COMPOUND,2022,102,"1,732",42,42,92.62%
3361,Save Room - Organization Puzzle,2022,147,"1,617",38,38,92.58%
3362,Farmer Against Potatoes Idle,2022,8951,"3,048",105,105,92.54%
3363,Nightmare of Decay,2022,241,"2,448",76,76,92.54%
3364,Against the Storm,2022,8425,"8,665",413,413,92.53%
3365,I Was a Teenage Exocolonist,2022,688,"1,578",38,38,92.49%
3366,Soulstone Survivors: Prologue,2022,4818,"3,855",150,150,92.45%
3367,REFLEXIA Prototype ver.,2022,580,"1,823",50,50,92.43%
3368,Cosmoteer: Starship Architect & Commander,2022,13794,"6,143",277,277,92.42%
3369,Supraland Six Inches Under,2022,1973,"2,215",69,69,92.40%
