,game,release,peak_players,total_reviews,rating
9647,Heaven Keepers,2022-03-10,3,2,66.76
9649,CLOUDED,2022-10-14,3,2,66.76
9650,The Hidden Ghost,2022-04-15,2,2,66.76
9652,Wormhole Adventurer,2022-10-14,6,2,66.76
9653,Loskop,2022-05-12,3,2,66.76
9657,Awake,2022-06-10,5,2,66.76
9659,HordounD,2022-08-01,2,2,66.76
9661,FERD,2022-11-18,3,2,66.76
9663,PLANETOIDS,2022-08-05,4,2,66.76
9664,Underwater battles,2022-08-09,3,2,66.76
9665,TAKIBI,2022-10-21,9,2,66.76
9666,Slime Hero,2022-10-17,3,2,66.76
9668,Treekeepers,2022-09-30,4,2,66.76
9669,Futanari of the Apocalypse,2022-12-08,5,2,66.76
9670,Lost Between the Lines,2022-11-08,2,2,66.76
9671,I Fought the Lawn,2022-11-15,6,2,66.76
9675,Succubus x Saint,2022-03-29,188,20,66.71
9676,Highrise City,2022-03-24,435,111,66.7
9677,Masks Of Deception,2022-06-17,82,45,66.69
9678,Beyond the Storm,2022-10-04,11,5,66.66
9680,Chester,2022-03-14,3,5,66.66
9683,Hot Tentacles Shooter,2022-09-09,4,5,66.66
9685,Alone Again,2022-09-05,2,5,66.66
9686,Brave Heroes,2022-10-02,8,5,66.66
9687,Selobus Fantasy,2022-02-17,23,13,66.65
9688,Elden Gunfire 2,2022-10-17,6,13,66.65
9693,B99,2022-05-03,2,1,66.62
9694,One Last Try,2022-10-07,8,1,66.62
9695,BlitzKeep Unleashed,2022-07-30,3,1,66.62
9696,The Long Sky VR,2022-05-13,1,1,66.62
9697,Spellbearers,2022-10-14,4,1,66.62
9698,BATTLE OF REBELS,2022-02-20,2,1,66.62
9699,Basketing,2022-06-09,5,1,66.62
9700,MP5,2022-07-18,2,1,66.62
9701,Paper Glider,2022-01-17,2,1,66.62
9703,Two against the Legion,2022-03-06,5,1,66.62
9705,Dreamlands,2022-09-16,3,1,66.62
9706,Fractured,2022-04-15,3,1,66.62
9707,Park Rangers of The Undead,2022-10-26,2,1,66.62
9708,Solo Flight,2022-01-21,1,1,66.62
9709,The Lonely Helmet,2022-06-08,3,1,66.62
9710,Crusade of Deitra,2022-08-06,3,1,66.62
9711,Let It Slide,2022-02-04,4,1,66.62
9712,University stories,2022-07-21,3,1,66.62
9713,Dungeon Masters,2022-01-13,3,1,66.62
9714,Asteroides,2022-01-11,2,1,66.62
9715,Aberration,2022-01-17,2,1,66.62
9716,XO Evolved,2022-01-26,4,1,66.62
9717,Legacy of Aeroja,2022-03-04,2,1,66.62
9718,Microbrewery Tycoon,2022-08-13,4,1,66.62
9719,Monkey Barrels,2022-09-26,3,1,66.62
9720,Aim God,2022-06-06,3,1,66.62
9722,Shinogi Chess Club,2022-05-31,3,1,66.62
9723,Dungeon Maker,2022-01-07,6,1,66.62
9724,Untitled Survival Game,2022-06-30,5,1,66.62
9726,Drop one NPC to another,2022-01-21,2,1,66.62
9727,Shajra Namla,2022-02-27,3,1,66.62
9728,Siienaa,2022-03-18,2,1,66.62
9729,Rolling Valley,2022-02-16,3,1,66.62
9730,Crown Claimer,2022-01-23,4,1,66.62
9731,EVERING,2022-05-05,3,1,66.62
9733,No Way Up,2022-06-12,2,1,66.62
9734,Maze Twister,2022-03-01,2,1,66.62
9735,Mupple,2022-02-18,3,1,66.62
9736,The Hepatica Spring,2022-02-28,3,1,66.62
9738,Coral Drive,2022-03-10,3,1,66.62
9739,Sexy Furry,2022-07-17,3,1,66.62
9740,Bombardier,2022-07-22,4,1,66.62
9742,Cards of the Dreaming Dragons,2022-07-08,5,1,66.62
9743,Desaturation Point,2022-04-28,3,1,66.62
9744,Harmony Overture,2022-05-17,2,1,66.62
9745,Saimai Rd,2022-04-18,2,1,66.62
9746,FITRIZ,2022-07-28,2,1,66.62
9748,GAMEDOG,2022-04-08,2,1,66.62
9750,MEARTH,2022-04-21,2,1,66.62
9751,Our Fate Forsaken,2022-05-20,4,1,66.62
9753,Portobugia,2022-11-23,4,1,66.62
9754,Friendly Blonding,2022-09-29,7,1,66.62
9755,Vintage Records from Hell,2022-10-31,4,1,66.62
9757,Pixel Gangsters,2022-11-14,5,1,66.62
9758,Mad Bullz,2022-06-01,2,1,66.62
9761,Pizza Delivery Bagel,2022-07-29,2,1,66.62
9762,Bulletkour,2022-08-03,3,1,66.62
9765,Dreamland,2022-06-29,2,1,66.62
9766,VR Aventura Antartica,2022-07-14,2,1,66.62
9767,Dick Ranger,2022-07-22,3,1,66.62
9768,Kawaii Hentai Sexy Girls,2022-07-11,3,1,66.62
9769,Endless Nightmare,2022-09-29,7,1,66.62
9772,69 Natasha Hot,2022-08-16,3,1,66.62
9773,Hive,2022-09-14,2,1,66.62
9774,Light,2022-08-19,2,1,66.62
9776,The Past Rhapsody,2022-08-05,3,1,66.62
9777,Magnet Block,2022-11-11,8,1,66.62
9778,NEAVE 2,2022-08-08,5,1,66.62
9779,Shattered Star,2022-10-02,3,1,66.62
9780,Snow Problem,2022-10-07,3,1,66.62
9782,Fighter X Fighter,2022-08-12,3,1,66.62
9784,Hentai Fantasy World,2022-11-30,2,1,66.62
9785,PUTIN IN JAIL,2022-08-25,2,1,66.62
9786,The First Step,2022-09-21,3,1,66.62
9787,Across The Globe,2022-09-01,4,1,66.62
9788,Zimmer,2022-09-12,3,1,66.62
9790,Murders at Tealwoods Manor,2022-09-14,3,1,66.62
9792,Night Light,2022-10-10,3,1,66.62
9795,Tiny Detour,2022-12-09,1,1,66.62
9796,Drive West Coast,2022-11-07,2,1,66.62
9797,Waifu Museum,2022-11-03,2,1,66.62
9798,PESTICIDE,2022-11-11,2,1,66.62
9799,Sexy Elf,2022-11-22,1,1,66.62
9800,Combine And Conquer,2022-12-27,5,1,66.62
9801,Time Thief,2022-12-28,2,1,66.62
9802,Isles of Yore,2022-02-10,77,30,66.6
9803,Last Farewell,2022-04-19,22,21,66.6
9804,Car Parking Simulator VR,2022-01-07,5,11,66.6
9805,Fractal Fly,2022-02-10,13,24,66.59
9806,Ready Action,2022-04-21,70,24,66.59
9807,STAR OCEAN THE DIVINE FORCE,2022-10-27,4420,487,66.58
9808,Tile Tale,2022-06-18,13,9,66.57
9810,Demolition race,2022-09-09,4,7,66.57
9811,Everything Has Arms,2022-08-09,17,7,66.57
9812,My Sugar Mommy is a Futanari,2022-09-15,4,7,66.57
9814,Words Can Kill,2022-09-29,49,16,66.56
9817,Line Strike,2022-02-02,112,62,66.51
9818,End State,2022-12-01,68,25,66.51
9819,theBlu,2022-12-28,143,25,66.51
9822,Senpai and the Mysterious Dungeon,2022-09-30,44,12,66.41
9823,CounterSide,2022-09-01,5199,801,66.36
9824,TEST RE,2022-04-29,13,27,66.36
9825,Gray Zone,2022-12-16,18,15,66.34
9826,The Sword of Rhivenia,2022-07-07,130,15,66.34
9828,BrawlQuest,2022-06-28,9,24,66.33
9829,Mython Island,2022-05-12,9,10,66.33
9832,Idle Hamburgers Save the World,2022-11-11,14,10,66.33
9833,Supernova Tactics,2022-08-01,16,4,66.33
9834,Thalamus,2022-04-29,5,4,66.33
9837,Furry Girlfriend Simulator,2022-02-05,3,4,66.33
9838,Lord of the Click 3,2022-09-23,8,4,66.33
9839,Love and Guillotines,2022-03-27,3,4,66.33
9842,Scared Tube,2022-11-17,4,4,66.33
9843,Rich Taste of Ecchi,2022-06-17,2,4,66.33
9844,Agile firefighter,2022-07-23,3,4,66.33
9845,Moto Pizza Courier,2022-11-25,2,4,66.33
9846,Moto Offroad Simulator,2022-11-30,3,4,66.33
9848,Car Parking,2022-11-17,4,4,66.33
9849,Beholder 3,2022-03-03,1023,458,66.32
9851,Gordon Streaman 2,2022-02-07,13,18,66.32
9853,Chinese Driving Test Simulator,2022-01-01,96,157,66.28
9854,Cafe Owner Simulator,2022-12-05,533,111,66.28
9855,Camp Canyonwood,2022-08-04,43,8,66.27
9856,Leman,2022-04-01,8,8,66.27
9857,I AM BUTTER VR,2022-05-18,6,8,66.27
9859,Deadwater Saloon,2022-09-13,405,53,66.26
9860,Last Wood,2022-01-27,356,168,66.25
9861,Gaze Into Fate,2022-11-29,5,6,66.25
9862,Retired Hero Gets Slaves,2022-12-01,17,6,66.25
9863,Metal Max Xeno Reborn,2022-06-10,445,90,66.24
9864,Invention 3,2022-01-24,6,13,66.24
9866,LEZ,2022-05-27,21,16,66.21
9868,Beneath the Mountain,2022-09-27,137,42,66.18
9869,Ancient Gods,2022-08-04,214,79,66.14
9871,TowersRTS,2022-03-04,11,11,66.14
9872,Tep The Destroyer,2022-07-09,8,11,66.14
9874,Colonize Prologue,2022-05-25,475,127,66.11
9875,Survivor Of The Journey,2022-08-12,52,20,66.11
9877,Stones Keeper,2022-09-15,50,17,66.09
9878,Grimace Run,2022-03-07,15,14,66.09
9879,Nirvana Game Of Life,2022-01-02,27,14,66.09
9880,Psycho Reign,2022-10-06,9,14,66.09
9881,Victoria 3,2022-10-25,70100,9816,66.07
9882,Zombie Shooting Star,2022-07-23,35,45,66.07
9885,Skeleton Crew,2022-06-16,33,9,66.03
9886,Clash II,2022-10-28,19,9,66.03
9887,Bjorn,2022-06-03,5,9,66.03
9888,Hot Cleopatra,2022-10-14,8,9,66.03
9889,Dream Cycle,2022-08-08,64,68,66.02
9890,Runeverse,2022-12-23,19,15,65.96
9892,Far Lands,2022-04-22,31,22,65.95
9893,VRUSEUM,2022-03-11,14,22,65.95
9894,Assault Bots,2022-04-16,56,30,65.94
9895,Fury Fight,2022-04-13,6,7,65.93
9896,Cave Guessers,2022-10-07,50,7,65.93
9897,Timothy and the Tower of Mu,2022-08-09,11,7,65.93
9898,The Curse Of Mantras,2022-03-14,20,3,65.93
9899,Unbinary,2022-02-17,3,3,65.93
9900,Enionax,2022-09-28,4,3,65.93
9901,Pleim,2022-06-14,3,3,65.93
9902,Gravity Game,2022-01-22,53,3,65.93
9903,MARY,2022-02-11,5,3,65.93
9904,Aoihana,2022-04-05,2,3,65.93
9905,MissPedaling Simulator,2022-03-27,4,3,65.93
9906,The Jelly Adventure,2022-04-28,2,3,65.93
9908,My NAUGHTY Shotgun,2022-04-12,3,3,65.93
9909,Bear Adventure,2022-04-25,3,3,65.93
9911,Heart of Battle,2022-08-18,34,3,65.93
9913,Long Journey,2022-05-13,2,3,65.93
9914,CowboysShowdown,2022-05-25,3,3,65.93
9916,GunBoxing,2022-05-11,4,3,65.93
9917,Mortmentum,2022-06-01,5,3,65.93
9918,Monkey Adventure,2022-05-24,6,3,65.93
9919,StarMech,2022-08-01,14,3,65.93
9920,Smokyflex,2022-07-11,2,3,65.93
9921,Sakura Gym Girls,2022-12-19,8,3,65.93
9922,DUCK Mission,2022-06-25,2,3,65.93
9923,Red Hood Adventure,2022-08-10,5,3,65.93
9924,Invader Signal,2022-08-10,3,3,65.93
9925,Road Draftsman,2022-07-27,4,3,65.93
9926,Obedient Servant,2022-09-19,4,3,65.93
9927,Horror Girls,2022-08-27,3,3,65.93
9928,8 Ball 2,2022-10-07,7,3,65.93
9929,CHAQS,2022-11-01,5,3,65.93
9930,Cocktail Rush,2022-11-09,3,3,65.93
9931,Call of the Abyss,2022-12-22,14,3,65.93
9932,Longvinter,2022-02-24,1441,1235,65.92
9933,Arcane Waters,2022-11-14,218,46,65.88
9934,KnightOut,2022-06-03,8,5,65.86
9935,Smooth Operators 2,2022-09-22,14,5,65.86
9936,Golf Pool VR,2022-07-19,6,5,65.86
9937,Cannon Jump,2022-12-12,5,5,65.86
9938,69 Summon Succubus,2022-05-18,5,5,65.86
9939,Skelton,2022-01-31,3,5,65.86
9940,Tower Words,2022-04-08,4,5,65.86
9941,HyperPortals,2022-03-17,4,5,65.86
9942,Gasnator,2022-05-01,4,5,65.86
9943,AstraX,2022-05-25,7,5,65.86
9944,Faraway,2022-07-15,8,5,65.86
9945,Beyond The Wire,2022-08-31,2312,2258,65.84
9947,The Tarnishing of Juxtia,2022-07-26,275,115,65.8
9948,Bikini Armour Explorers,2022-02-05,138,35,65.72
9951,Pizza Ghest,2022-01-21,5,8,65.67
9952,Quest room,2022-10-21,10,8,65.67
9953,iles,2022-08-19,19,8,65.67
9954,LEMURIA,2022-05-10,11,11,65.65
9957,Food Truck Simulator,2022-09-14,1115,283,65.59
9958,NFL Pro Era,2022-12-23,53,33,65.59
9959,Art of Destruction,2022-02-15,6,15,65.57
9960,Meat Madness,2022-11-24,6,15,65.57
9964,Malyshka,2022-02-09,4,6,65.51
9965,Spy Rumble,2022-06-23,74,6,65.51
9966,Outmode,2022-06-22,7,6,65.51
9967,The Nightmare Inside,2022-04-01,5,6,65.51
9968,Into The Underdusk,2022-05-03,6,6,65.51
9969,The Meaning,2022-10-22,4,6,65.51
9970,Avocado Puzzle Quest,2022-07-26,3,6,65.51
9972,Amnesia,2022-01-14,427,181,65.5
9975,The Feast,2022-12-15,116,133,65.49
9977,Glory of Rome,2022-01-07,7,9,65.46
9978,Traffic City,2022-02-18,6,9,65.46
9979,HyperLeague Heroes,2022-11-10,55,9,65.46
9980,Tour de France 2022,2022-06-09,313,37,65.45
9981,Party Maker,2022-10-24,52,26,65.42
9983,BrightSeeker,2022-09-30,4,2,65.42
9984,TravelRacer,2022-02-18,3,2,65.42
9985,Martin and the Magic Staff,2022-12-13,2,2,65.42
9986,Kung Fu Er San,2022-07-13,3,2,65.42
9987,Life is Paine,2022-02-01,3,2,65.42
9988,ProBee,2022-07-22,8,2,65.42
9989,Guntech 2,2022-02-16,3,2,65.42
9990,Desolate Shores,2022-05-12,3,2,65.42
9991,Rick and Josh adventures,2022-04-29,2,2,65.42
9992,Plunder Dungeons,2022-06-17,3,2,65.42
9994,Skeletons VS Nadia,2022-06-07,3,2,65.42
9995,Space Shells,2022-12-06,3,2,65.42
9996,Lofi Ball,2022-06-09,5,2,65.42
9997,TITS OKAY TITS FINE MILKSHAKE,2022-07-05,3,2,65.42
9998,Mine Seeker,2022-08-07,3,2,65.42
9999,The Lobster Game,2022-06-21,2,2,65.42
10001,Spiderbro,2022-07-04,3,2,65.42
10002,Disc Golf Online,2022-10-19,7,2,65.42
10003,Pest Control,2022-09-01,3,2,65.42
10004,Picot Ether,2022-08-26,11,2,65.42
10005,Belt Colony,2022-09-09,9,2,65.42
10006,Streamer Future Wars,2022-10-03,6,2,65.42
10007,Ice Cream Killer,2022-09-12,7,2,65.42
10008,Everest Truck Simulator,2022-11-06,1,2,65.42
10009,Pixel chan,2022-10-05,3,2,65.42
10010,Pastel Putter,2022-10-21,3,2,65.42
10011,Rhythm Any Music,2022-10-03,2,2,65.42
10012,The Story of Barker,2022-10-15,4,2,65.42
10013,Idle Shapes,2022-11-23,16,2,65.42
10016,Entodrive,2022-02-15,3,4,65.38
10017,Scary Buddies,2022-07-08,8,4,65.38
10019,Directly Drink Milk from Cow,2022-03-30,6,4,65.38
10022,Restaurant Manager Simulator,2022-08-12,3,4,65.38
10025,FEATHERED RUN,2022-10-20,2,4,65.38
10026,Digit Factory,2022-11-04,6,4,65.38
10028,Computer Cats,2022-11-29,4,4,65.38
10029,King Smash,2022-11-19,2,4,65.38
10030,Doggerfall,2022-12-10,4,4,65.38
10031,Read Clock Time,2022-12-27,5,4,65.38
10032,Egghead Gumpty,2022-09-04,10,13,65.37
10033,Fire Commander,2022-07-27,269,76,65.36
10034,Mantra,2022-10-23,12,22,65.36
10036,Empire of Ember,2022-01-20,60,42,65.31
10040,The Last Job,2022-12-07,67,74,65.27
10041,Starcube MMO,2022-08-16,9,14,65.26
10042,Deadly Flare,2022-03-11,33,37,65.25
10043,TV189,2022-08-07,3,7,65.25
10044,Underground Life,2022-04-19,7,7,65.25
10045,Bunker 2322,2022-04-20,2,7,65.25
10046,CORGI,2022-05-29,4,7,65.25
10047,Soul Hackers 2,2022-08-26,5692,750,65.22
10048,Project Xandata,2022-03-22,233,39,65.2
10052,ZooKeeper,2022-08-18,34,11,65.14
10053,Tournament of Beans,2022-04-18,14,11,65.14
10055,Chimeraland,2022-07-14,2264,695,65.11
10056,Expedition Agartha,2022-08-18,996,306,65.1
10059,Life after Death,2022-09-29,14,28,65.08
10061,LONN,2022-11-17,21,36,65.07
10065,Coding Learn,2022-07-13,5,8,65.03
10067,Horny Sakura,2022-02-16,14,12,65.02
10068,MODERN NAVAL COMBAT,2022-12-02,26,17,65.01
10070,Right Way,2022-04-01,6,5,65.0
10073,Finger Football,2022-02-17,4,5,65.0
10074,Disinfection,2022-06-01,13,5,65.0
10075,Blade Jumper,2022-09-09,5,5,65.0
10078,A Clumsy Flight,2022-08-23,37,18,64.94
10079,World Boss,2022-10-19,1378,725,64.92
10081,Holy Purge,2022-02-16,27,59,64.91
10085,Rogue System,2022-06-10,26,81,64.8
10086,Numbers and Letters VR,2022-10-06,2,1,64.78
10088,The Shepherd,2022-03-22,2,1,64.78
10089,Rangers,2022-06-28,6,1,64.78
10090,Legendary BOXING Belt,2022-04-30,2,1,64.78
10091,Demon Purge Saga,2022-02-19,1,1,64.78
10092,Super Donald World 2024,2022-07-08,2,1,64.78
10093,Shuzzler,2022-01-20,2,1,64.78
10094,HangOutGame,2022-06-27,4,1,64.78
10095,BouncyBoi in Puzzle Land,2022-03-24,2,1,64.78
10096,Gladihaters,2022-02-21,2,1,64.78
10097,ScreamCap,2022-05-13,1,1,64.78
10098,WishWorld,2022-05-11,4,1,64.78
10099,Blipz,2022-02-10,3,1,64.78
10100,Last Shape Standing,2022-12-15,3,1,64.78
10101,Grim Tranquility,2022-06-01,6,1,64.78
10102,Timewreck Tales,2022-11-07,5,1,64.78
10103,Ghost Terminator,2022-09-20,2,1,64.78
10104,Idiot Brain Evolution,2022-01-10,36,1,64.78
10105,Jousting VR,2022-10-25,3,1,64.78
10106,Mine Upgrade,2022-11-17,7,1,64.78
10107,Cosmo Player Z,2022-03-18,7,1,64.78
10108,Mandala,2022-03-11,2,1,64.78
10110,Panda Punch,2022-12-16,3,1,64.78
10111,Carrier Command,2022-12-24,3,1,64.78
10113,this House,2022-06-30,1,1,64.78
10114,7 Days To Save The World,2022-02-14,3,1,64.78
10116,Last Bastion,2022-01-07,3,1,64.78
10118,Game 78,2022-02-18,2,1,64.78
10119,The Living Handra,2022-01-07,2,1,64.78
10121,Tuktuk,2022-04-15,3,1,64.78
10123,FitStrike,2022-01-18,2,1,64.78
10124,Sabbuth,2022-02-07,2,1,64.78
10125,Rorys Restaurant Origins,2022-01-26,5,1,64.78
10126,Shrine of Tails,2022-11-04,2,1,64.78
10127,My Destiny,2022-08-11,1,1,64.78
10129,Comixxx Flirtatious,2022-02-12,1,1,64.78
10133,HYDE,2022-03-07,3,1,64.78
10135,Maneater and the Golden Teacher,2022-05-10,2,1,64.78
10136,Popplings,2022-05-26,3,1,64.78
10138,Ghosts of Hollow Creek,2022-06-21,3,1,64.78
10140,Big Tower Tiny Square 2,2022-03-17,3,1,64.78
10143,Raccoon Tales,2022-05-16,2,1,64.78
10145,RoastTogether,2022-06-03,4,1,64.78
10146,Space Survival,2022-05-15,2,1,64.78
10147,Ante Mortem,2022-05-31,4,1,64.78
10148,369,2022-06-13,2,1,64.78
10150,Memory Hunters,2022-11-08,4,1,64.78
10152,Ghost Doll,2022-10-15,2,1,64.78
10153,WOE,2022-10-20,3,1,64.78
10155,Dimwarper,2022-09-15,2,1,64.78
10156,Brigadoon,2022-07-06,3,1,64.78
10157,Quadrobat,2022-07-07,5,1,64.78
10158,Underway,2022-08-09,3,1,64.78
10159,Timmy Types,2022-09-05,5,1,64.78
10160,Aim Trainer X,2022-08-09,4,1,64.78
10161,Maze Of The Gamja,2022-07-27,2,1,64.78
10162,Ashen Will,2022-08-09,2,1,64.78
10163,MYAOSOFT GAMES COLLECTION,2022-08-14,6,1,64.78
10167,NOTALONE,2022-10-26,2,1,64.78
10168,The Imaginary Circle,2022-09-23,1,1,64.78
10169,POP SURVIVOR,2022-09-14,2,1,64.78
10170,My Dear Sister,2022-08-24,5,1,64.78
10173,Blockpop Heroes,2022-10-10,2,1,64.78
10174,ClearIt 13,2022-09-09,6,1,64.78
10175,Poly Parkour,2022-11-03,2,1,64.78
10176,Shooting Waltz,2022-09-14,3,1,64.78
10177,Pregnant Ogre,2022-12-22,8,1,64.78
10178,MITTIN,2022-10-12,5,1,64.78
10179,The Night Of The Penanggalan,2022-11-12,2,1,64.78
10180,MindHunt,2022-11-14,13,1,64.78
10181,Spinout Drifter,2022-12-07,2,1,64.78
10182,Nightmare,2022-10-21,2,1,64.78
10183,Hexa Rhythm,2022-12-16,2,1,64.78
10184,Mission In Space,2022-10-20,3,1,64.78
10186,KICK MASTER,2022-11-01,2,1,64.78
10187,Perfect Inventory,2022-10-27,4,1,64.78
10189,Minesweeper Arcade,2022-11-04,4,1,64.78
10191,What A Ball,2022-12-12,2,1,64.78
10193,Rocket Escape,2022-12-02,2,1,64.78
10194,GODDESS OF VICTORY,2022-11-29,3,1,64.78
10195,VataZombie,2022-12-09,2,1,64.78
10196,Disavowed,2022-12-16,5,1,64.78
10197,Your Otherworldly Harem,2022-12-08,5,1,64.78
10198,Chorus of the Night,2022-12-27,2,1,64.78
10199,Rounds of Zombies,2022-08-11,44,42,64.77
10200,Blackout Rugby,2022-07-15,26,30,64.77
10201,Frenzy VR,2022-07-29,23,43,64.76
10202,Shadow Madness,2022-02-15,5,3,64.76
10203,OneForAll,2022-02-02,4,3,64.76
10206,KaRu,2022-10-31,4,3,64.76
10207,Save the bear cubs,2022-02-23,2,3,64.76
10208,drowning,2022-02-16,8,3,64.76
10209,Note Brawl,2022-03-18,7,3,64.76
10210,Foreign Galaxies,2022-04-22,4,3,64.76
10211,Robovenger,2022-03-10,5,3,64.76
10212,ENDRR,2022-05-17,4,3,64.76
10213,Hanna Must Run,2022-03-17,4,3,64.76
10214,DownTheDead,2022-05-08,4,3,64.76
10215,Magic War,2022-05-25,3,3,64.76
10216,Forward Defense,2022-06-01,9,3,64.76
10217,Block Breaker 2,2022-05-18,3,3,64.76
10219,Soul Night,2022-05-29,2,3,64.76
10220,Desert Things,2022-06-15,6,3,64.76
10221,TOTO Quest,2022-06-28,4,3,64.76
10222,Storekeeper Revenge,2022-10-11,3,3,64.76
10223,Dark Jungle,2022-07-08,6,3,64.76
10225,Master of the Tattooverse,2022-08-30,4,3,64.76
10226,Artifact,2022-09-15,15,3,64.76
10227,Tower Fall,2022-08-10,5,3,64.76
10229,Click For Points,2022-10-25,13,3,64.76
10230,Run Blob Run 2,2022-10-22,2,3,64.76
10231,Joy Flight,2022-12-01,4,3,64.76
10232,Futapunk 2069,2022-12-28,5,3,64.76
10233,The Piano That Stops Time,2022-02-20,9,15,64.75
10234,Kingdom Draw,2022-08-02,14,15,64.75
10235,A Violent Revelry,2022-09-12,25,22,64.74
10236,PEP,2022-12-14,61,22,64.74
10238,Aztech Forgotten Gods,2022-03-10,13,10,64.73
10239,Hyperglide,2022-05-23,8,10,64.73
10241,Chernobyl Trap,2022-02-10,5,10,64.73
10242,FREAKFIELD 2042,2022-04-01,9,10,64.73
10243,Interitus,2022-05-21,5,10,64.73
10246,Bangman,2022-01-30,3,6,64.73
10247,RUNNER RTX,2022-02-09,2,6,64.73
10248,Mechaguard,2022-02-21,3,6,64.73
10251,Obscene Mansion,2022-12-19,7,6,64.73
10252,Eros Fantasy,2022-05-18,128,72,64.72
10253,KILLRUN,2022-08-25,88,49,64.7
10257,Criminal Dissidia,2022-09-28,158,38,64.63
10258,Spell Cast,2022-05-10,11,11,64.62
10263,Sakura Alien,2022-01-10,8,12,64.52
10265,Magic Click,2022-08-27,8,7,64.52
10267,Mauled,2022-04-29,20,20,64.49
10268,Bad Way,2022-09-22,6,13,64.44
10269,Return the Backrooms,2022-11-11,32,37,64.43
10271,To the Top,2022-12-28,30,23,64.4
10272,Zodiac fantasy,2022-07-21,54,44,64.38
10276,Flight 74,2022-08-26,3,8,64.36
10277,The Lizartian,2022-05-27,9,8,64.36
10278,The Dead City,2022-10-14,6,8,64.36
10279,Treehouse Riddle,2022-08-18,9,4,64.35
10280,Kisekimura,2022-02-28,11,4,64.35
10281,Alchemistry,2022-03-07,8,4,64.35
10282,Cute Waifu,2022-05-17,3,4,64.35
10283,Police Hot Pursuit,2022-01-02,3,4,64.35
10286,Cosmopoly,2022-07-22,5,4,64.35
10287,Slime Dungeon,2022-05-29,2,4,64.35
10289,Japanese TeTris,2022-07-29,5,4,64.35
10290,Heavy Works,2022-09-03,9,4,64.35
10292,AIdventure,2022-09-12,6,4,64.35
10293,Dragon Princess Anastasia,2022-04-22,5,9,64.24
10294,Shark Assault Simulator,2022-06-10,3,9,64.24
10295,Hentai Pussy 4,2022-09-02,3,9,64.24
10296,The Billion Clicker,2022-09-23,14,9,64.24
10297,Capcom Arcade 2nd Stadium,2022-07-22,463928,133,64.21
10301,Push Battle,2022-06-28,66,18,64.2
10302,Video Horror Society,2022-07-18,6023,2353,64.18
10303,Afterinfection,2022-02-02,73,125,64.17
10304,Aierlon,2022-06-02,11,20,64.14
10310,Plumb,2022-03-04,1,0,64.08
10311,ExtremeRetroArena,2022-12-08,1,0,64.08
10312,Collapsion,2022-02-19,2,0,64.08
10313,zeMa,2022-01-28,2,0,64.08
10314,Another Reigny Day,2022-10-28,2,0,64.08
10315,Science Simulator,2022-07-11,1,0,64.08
10316,Waveform Wipeout,2022-10-05,2,0,64.08
10317,Flip Tale,2022-10-07,2,0,64.08
10318,ALIVE,2022-11-11,2,0,64.08
10319,The United SPACE of America,2022-05-24,3,0,64.08
10321,Destructive Contraptions,2022-07-21,2,0,64.08
10323,IMHA,2022-02-11,1,0,64.08
10326,Suspicious Shuffle,2022-10-29,4,0,64.08
10327,HotRobot,2022-09-09,2,0,64.08
10328,Kaverini Nuuk Adventures,2022-05-13,2,0,64.08
10329,Cosmo Clash,2022-12-21,4,0,64.08
10330,Theater of Carnage,2022-03-06,3,0,64.08
10331,Black Lazar,2022-01-19,2,0,64.08
10332,City Retreat,2022-01-28,4,0,64.08
10335,Go Home,2022-08-03,4,0,64.08
10336,Project Kuragava,2022-04-22,1,0,64.08
10337,Broilers,2022-11-07,3,0,64.08
10338,Symbol Sudoku,2022-10-19,2,0,64.08
10339,The magic of three,2022-05-27,1,0,64.08
10340,VR Dream Girl,2022-08-09,2,0,64.08
10341,Electrogene,2022-03-10,1,0,64.08
10342,Master of Puppets,2022-12-27,2,0,64.08
10343,The Last Dance Saloon,2022-01-25,1,0,64.08
10345,The Absorber,2022-01-16,1,0,64.08
10346,Made to be Crushed,2022-10-17,4,0,64.08
10347,Rumble Runners,2022-05-23,3,0,64.08
10349,OverWall,2022-01-31,4,0,64.08
10350,Second Samurai,2022-02-16,2,0,64.08
10351,Reef Rumble,2022-02-11,5,0,64.08
10352,NMDC,2022-06-04,3,0,64.08
10354,Rogue Rising,2022-03-24,2,0,64.08
10355,Zone B Korosu,2022-04-21,2,0,64.08
10356,The Vaults of Minos,2022-08-29,1,0,64.08
10357,Crate Knight,2022-07-23,2,0,64.08
10358,Harrier Jump Jet,2022-01-21,1,0,64.08
10360,Arpsic,2022-11-08,2,0,64.08
10361,Ramen or Jail,2022-03-14,2,0,64.08
10362,Flipping Beat,2022-01-06,2,0,64.08
10364,Planet Hotpot,2022-01-15,4,0,64.08
10367,BOOMER SLAYERS,2022-02-28,2,0,64.08
10369,Warlocks Entanglement,2022-01-08,3,0,64.08
10370,Little Robo Climber,2022-03-26,2,0,64.08
10372,First Time in Paris,2022-02-28,5,0,64.08
10374,Assassin at Crimson Keep,2022-01-07,2,0,64.08
10376,Valley Knights,2022-05-06,4,0,64.08
10378,OctoMaze,2022-05-09,1,0,64.08
10379,Bimous,2022-01-10,1,0,64.08
10380,Party Friends,2022-09-26,6,0,64.08
10381,A Contusion,2022-07-29,1,0,64.08
10384,World Up,2022-02-19,3,0,64.08
