"DateTime","Games"
"2019-08-01 00:00:00",752
"2019-09-01 00:00:00",716
"2019-10-01 00:00:00",732
"2019-11-01 00:00:00",704
"2019-12-01 00:00:00",641
"2020-01-01 00:00:00",696
"2020-02-01 00:00:00",722
"2020-03-01 00:00:00",681
"2020-04-01 00:00:00",766
"2020-05-01 00:00:00",810
"2020-06-01 00:00:00",753
"2020-07-01 00:00:00",885
"2020-08-01 00:00:00",860
"2020-09-01 00:00:00",835
"2020-10-01 00:00:00",988
"2020-11-01 00:00:00",881
"2020-12-01 00:00:00",922
"2021-01-01 00:00:00",754
"2021-02-01 00:00:00",873
"2021-03-01 00:00:00",965
"2021-04-01 00:00:00",907
"2021-05-01 00:00:00",929
"2021-06-01 00:00:00",934
"2021-07-01 00:00:00",935
"2021-08-01 00:00:00",939
"2021-09-01 00:00:00",989
"2021-10-01 00:00:00",1195
"2021-11-01 00:00:00",999
"2021-12-01 00:00:00",1077
"2022-01-01 00:00:00",938
"2022-02-01 00:00:00",915
"2022-03-01 00:00:00",1126
"2022-04-01 00:00:00",901
"2022-05-01 00:00:00",1124
"2022-06-01 00:00:00",945
"2022-07-01 00:00:00",1059
"2022-08-01 00:00:00",1098
"2022-09-01 00:00:00",1136
"2022-10-01 00:00:00",1243
"2022-11-01 00:00:00",1173
"2022-12-01 00:00:00",1185
"2023-01-01 00:00:00",1035
"2023-02-01 00:00:00",1093
"2023-03-01 00:00:00",1246
"2023-04-01 00:00:00",368
