,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
8304,ARK: Survival Evolved,/app/346110/,Aug 29 2017,"248,405","516,013","106,833","106,833",82.26%
8305,Base Defense,/app/632730/,Nov 20 2017,38,274,33,33,82.26%
8306,The Red Stare,/app/625470/,Jul 31 2017,68,357,46,46,82.25%
8307,SoulSet,/app/589860/,Feb 7 2017,19,123,11,11,82.25%
8308,Army Men RTS,/app/694500/,Dec 20 2017,86,702,103,103,82.24%
8309,Alvora Tactics,/app/643900/,Jun 1 2017,16,108,9,9,82.24%
8310,Zombidle: REMONSTERED,/app/612020/,May 30 2017,"2,382","1,392",224,224,82.23%
8311,We Slay Monsters,/app/332540/,Jun 22 2017,38,68,4,4,82.23%
8312,Virtual Rides 3,/app/515260/,Mar 16 2017,121,600,86,86,82.22%
8313,I.F.O,/app/661820/,Aug 11 2017,14,30,0,0,82.22%
8314,Super Lumi Live,/app/667760/,Sep 5 2017,5,30,0,0,82.22%
8315,Connected Hearts - Visual novel,/app/603140/,Aug 12 2017,29,259,31,31,82.19%
8316,Omegaland,/app/619870/,Jul 12 2017,82,84,6,6,82.19%
8317,The Curse Of Yendor,/app/576420/,Feb 17 2017,12,67,4,4,82.12%
8318,Lost Eden,/app/579980/,Feb 13 2017,4,67,4,4,82.12%
8319,Spears 'n' Spades,/app/673980/,Aug 7 2017,8,40,1,1,82.12%
8320,Gunlock,/app/750450/,Dec 7 2017,7,40,1,1,82.12%
8321,Tokyo Xanadu eX+,/app/587260/,Dec 8 2017,302,"1,260",203,203,82.10%
8322,Fenimore Fillmore: The Westerner,/app/503650/,Mar 11 2017,9,75,5,5,82.10%
8323,Rex: Another Island,/app/699150/,Oct 18 2017,8,106,9,9,82.09%
8324,Scream Collector,/app/726390/,Oct 26 2017,566,586,85,85,82.07%
8325,Stunt Kite Masters VR,/app/589280/,Jun 1 2017,4,58,3,3,82.07%
8326,Magic Wand,/app/625780/,Jun 25 2017,6,58,3,3,82.07%
8327,Mages of Mystralia,/app/529660/,May 18 2017,281,"1,109",177,177,82.04%
8328,"Yeah Jam Fury: U, Me, Everybody!",/app/633930/,Dec 15 2017,8,29,0,0,82.04%
8329,Let Them Come,/app/505630/,Oct 3 2017,118,968,152,152,82.03%
8330,Blossom Tales: The Sleeping King,/app/446810/,Mar 28 2017,45,453,63,63,82.03%
8331,UniBall,/app/408030/,Feb 24 2017,93,155,16,16,82.01%
8332,Modern Tales: Age of Invention,/app/678970/,Oct 19 2017,50,202,23,23,82.00%
8333,GIBZ,/app/448320/,Apr 7 2017,113,885,138,138,81.98%
8334,Cartesian,/app/596470/,Feb 18 2017,8,39,1,1,81.97%
8335,Brain Machine,/app/601120/,Sep 18 2017,6,39,1,1,81.97%
8336,Soul Searching,/app/586240/,Feb 15 2017,21,240,29,29,81.95%
8337,Herald: An Interactive Period Drama,/app/380810/,Feb 22 2017,13,126,12,12,81.95%
8338,Asyula 方舟之链,/app/689070/,Aug 9 2017,72,214,25,25,81.94%
8339,Zarya-1: Mystery on the Moon,/app/640090/,May 30 2017,8,89,7,7,81.93%
8340,Unexplored,/app/506870/,Feb 22 2017,129,589,87,87,81.91%
8341,Delicious - Emily's Hopes and Fears,/app/550400/,Jan 2 2017,18,65,4,4,81.90%
8342,Dr. Cares - Pet Rescue 911,/app/679770/,Sep 21 2017,14,65,4,4,81.90%
8343,Battlestar Galactica Deadlock,/app/544610/,Aug 31 2017,"2,143","2,254",393,393,81.88%
8344,Nancy Drew: The Silent Spy,/app/572730/,Apr 3 2017,32,96,8,8,81.88%
8345,Queen's Quest 2: Stories of Forgotten Past,/app/558790/,Feb 9 2017,43,199,23,23,81.86%
8346,Goalie Challenge VR,/app/588290/,Feb 4 2017,20,103,9,9,81.85%
8347,Vaporum,/app/629690/,Sep 28 2017,142,717,110,110,81.84%
8348,PUSH,/app/676430/,Oct 18 2017,14,533,78,78,81.84%
8349,Tale of Fallen Dragons,/app/570980/,Feb 6 2017,90,421,59,59,81.83%
8350,Battle Dome,/app/484870/,Jun 8 2017,96,415,58,58,81.83%
8351,Rock of Ages 2,/app/434460/,Aug 28 2017,"2,273","2,542",450,450,81.82%
8352,Yet Another Zombie Defense HD,/app/674750/,Aug 25 2017,"2,573","2,120",370,370,81.80%
8353,JYDGE,/app/654050/,Oct 4 2017,139,623,94,94,81.80%
8354,Fart Simulator 2018,/app/719080/,Dec 5 2017,6,95,8,8,81.80%
8355,SQUIDS FROM SPACE,/app/437610/,Jun 16 2017,39,204,24,24,81.78%
8356,The Journeyman Project 1: Pegasus Prime,/app/359420/,Feb 20 2017,13,47,2,2,81.78%
8357,Tokyo Dark,/app/687260/,Sep 7 2017,223,"1,039",169,169,81.76%
8358,ENDLESS™ Space 2,/app/392110/,May 18 2017,"53,435","16,959","3,368","3,368",81.74%
8359,Super Skelemania,/app/730920/,Nov 17 2017,12,79,6,6,81.71%
8360,Fairy Fencer F Advent Dark Force,/app/524580/,Feb 14 2017,971,"1,929",337,337,81.70%
8361,Dragonia,/app/635730/,May 29 2017,"1,118","4,845",908,908,81.69%
8362,Tiny Echo,/app/629770/,Aug 31 2017,25,526,78,78,81.69%
8363,Invisigun Reloaded,/app/375750/,Feb 8 2017,257,439,63,63,81.69%
8364,Fibrillation HD,/app/558450/,Apr 12 2017,14,265,34,34,81.69%
8365,Darknet,/app/401910/,Jun 8 2017,23,101,9,9,81.69%
8366,Heart of the House,/app/742150/,Oct 26 2017,31,55,3,3,81.69%
8367,Armed with Wings: Rearmed,/app/340580/,Jun 1 2017,524,409,58,58,81.68%
8368,TTV2,/app/701470/,Sep 11 2017,127,156,17,17,81.67%
8369,Weed Shop 2,/app/617700/,Mar 31 2017,422,739,116,116,81.66%
8370,Prison Boss VR,/app/673600/,Aug 29 2017,22,214,26,26,81.65%
8371,Faerie Solitaire Remastered,/app/583930/,Dec 22 2017,69,437,63,63,81.64%
8372,Getting Over It with Bennett Foddy,/app/240720/,Dec 6 2017,"5,054","48,108","9,968","9,968",81.63%
8373,Microtransaction Simulator,/app/689090/,Sep 14 2017,189,698,109,109,81.63%
8374,Fantasia of the Wind - 风之幻想曲,/app/645690/,Oct 26 2017,98,342,47,47,81.62%
8375,仙剑奇侠传五 前传（Chinese Paladin：Sword and Fairy 5 Prequel）,/app/681840/,Sep 30 2017,596,"1,874",329,329,81.61%
8376,The Legacy: Forgotten Gates,/app/630830/,Aug 4 2017,17,78,6,6,81.61%
8377,克莉丝的炎之信仰 Cryste: the Faith of Fire Vol.1,/app/616740/,May 17 2017,35,262,34,34,81.58%
8378,Shooty Fruity,/app/666100/,Dec 19 2017,20,174,20,20,81.58%
8379,Ball 3D: Soccer Online,/app/485610/,Mar 31 2017,"6,162","7,420","1,439","1,439",81.57%
8380,MINDNIGHT,/app/667870/,Aug 4 2017,422,"2,506",453,453,81.56%
8381,Splody,/app/467810/,Mar 21 2017,27,85,7,7,81.56%
8382,Floor Plan: Hands-On Edition,/app/673060/,Sep 14 2017,8,85,7,7,81.56%
8383,Witchinour,/app/620900/,Jun 12 2017,7,54,3,3,81.56%
8384,Super Man Or Monster,/app/393220/,Oct 31 2017,71,106,10,10,81.51%
8385,Wrestling Revolution 3D,/app/665330/,Jul 20 2017,68,338,47,47,81.50%
8386,TO THE TOP,/app/509250/,May 18 2017,58,650,102,102,81.48%
8387,Rocking Pilot,/app/593680/,May 15 2017,189,45,2,2,81.48%
8388,Portal Knights,/app/374040/,May 18 2017,"6,545","17,007","3,457","3,457",81.44%
8389,Choice of Rebels: Uprising,/app/748890/,Nov 9 2017,121,112,11,11,81.44%
8390,Faeria,/app/397060/,Mar 8 2017,"3,675","5,766","1,115","1,115",81.43%
8391,The Drone Racing League Simulator,/app/641780/,Nov 1 2017,421,"2,743",505,505,81.43%
8392,The Coma: Recut,/app/600090/,Sep 22 2017,411,"1,438",250,250,81.43%
8393,Danmaku Unlimited 3,/app/450950/,Mar 9 2017,25,165,19,19,81.43%
8394,XGun-Weapon Evolution,/app/534780/,May 16 2017,16,105,10,10,81.43%
8395,Project Nimbus: Complete Edition,/app/257030/,Sep 26 2017,99,"1,264",217,217,81.42%
8396,Miles & Kilo,/app/669910/,Nov 30 2017,7,61,4,4,81.42%
8397,MXGP3 - The Official Motocross Videogame,/app/561600/,May 30 2017,504,805,131,131,81.41%
8398,VR Battleship YAMATO,/app/649620/,Aug 18 2017,18,76,6,6,81.40%
8399,Voxel Turf,/app/404530/,Sep 14 2017,263,454,68,68,81.36%
8400,Octopus Bar,/app/708680/,Sep 22 2017,32,111,11,11,81.36%
8401,de Blob,/app/532320/,Apr 27 2017,37,226,29,29,81.35%
8402,Skylar & Plux: Adventure On Clover Island,/app/452540/,May 19 2017,51,362,52,52,81.34%
8403,Lily of the Valley,/app/628460/,May 5 2017,9,68,5,5,81.34%
8404,Shark Simulator,/app/708340/,Nov 22 2017,111,396,58,58,81.33%
8405,Gaia's Melody: Echoed Melodies,/app/725410/,Oct 20 2017,12,44,2,2,81.33%
8406,Scarlett Mysteries: Cursed Child,/app/615350/,Jun 8 2017,40,207,26,26,81.32%
8407,Serious Sam VR: The First Encounter,/app/552450/,Mar 30 2017,75,525,81,81,81.31%
8408,Mega Overload,/app/613130/,Apr 18 2017,96,35,1,1,81.30%
8409,Dark Parables: Ballad of Rapunzel Collector's Edition,/app/629110/,May 1 2017,9,35,1,1,81.30%
8410,Tricone Lab,/app/392610/,Jul 27 2017,5,75,6,6,81.29%
8411,"Warhammer 40,000: Sanctus Reach",/app/502370/,Jan 19 2017,735,"1,097",188,188,81.27%
8412,TEKKEN 7,/app/389730/,Jun 1 2017,"18,966","66,244","14,211","14,211",81.26%
8413,Puzzle Puppers,/app/578430/,Jan 20 2017,14,89,8,8,81.25%
8414,Gang Beasts,/app/285900/,Dec 12 2017,"3,062","38,960","8,271","8,271",81.22%
8415,Imperium Galactica II,/app/490370/,Jan 19 2017,160,409,61,61,81.22%
8416,South Park The Fractured But Whole,/app/488790/,Oct 17 2017,"21,609","17,363","3,602","3,602",81.18%
8417,Cublast HD,/app/580590/,Apr 28 2017,62,43,2,2,81.17%
8418,STATUS: INSANE,/app/654430/,Nov 14 2017,6,43,2,2,81.17%
8419,Furious Angels,/app/551450/,Feb 27 2017,16,333,48,48,81.16%
8420,Day of Infamy,/app/447820/,Mar 23 2017,"9,210","18,120","3,785","3,785",81.11%
8421,Sudden Strike Gold,/app/612300/,May 22 2017,109,303,43,43,81.11%
8422,Entanglement,/app/719140/,Oct 17 2017,11,34,1,1,81.11%
8423,Will Glow the Wisp,/app/640890/,Sep 15 2017,314,851,144,144,81.08%
8424,Save the Ninja Clan,/app/566670/,Jan 20 2017,"4,941",94,9,9,81.07%
8425,Fabulous - Angela's High School Reunion,/app/619810/,Jun 22 2017,18,73,6,6,81.07%
8426,Carcassonne: The Official Board Game,/app/598810/,Nov 29 2017,"1,050","1,643",299,299,81.06%
8427,Dal Segno,/app/638930/,Jun 30 2017,33,114,12,12,81.06%
8428,Crowtel Renovations,/app/573520/,Jan 6 2017,17,58,4,4,81.04%
8429,CHAOS CODE -NEW SIGN OF CATASTROPHE-,/app/536560/,Mar 16 2017,106,195,25,25,81.03%
8430,Rumpus,/app/542220/,Apr 12 2017,5,24,0,0,81.03%
8431,Frog Hop,/app/568490/,Feb 23 2017,13,24,0,0,81.03%
8432,Avatar Of The Wolf,/app/643570/,Jun 22 2017,34,24,0,0,81.03%
8433,Senalux,/app/654580/,Oct 16 2017,5,24,0,0,81.03%
8434,カニマン VS メカモンキー,/app/693950/,Oct 27 2017,4,24,0,0,81.03%
