,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
0,RimWorld,/app/294100/,Oct 17 2018,"60,789","155,354","2,997","2,997",96.80%
1,Bloons TD 6,/app/960090/,Dec 18 2018,"53,943","240,551","6,265","6,265",96.33%
2,Celeste,/app/504230/,Jan 25 2018,"4,177","69,722","1,630","1,630",96.06%
3,Dead Cells,/app/588650/,Aug 6 2018,"14,910","126,294","3,679","3,679",95.81%
4,Subnautica,/app/264710/,Jan 24 2018,"51,156","218,296","7,728","7,728",95.44%
5,DUSK,/app/519860/,Dec 10 2018,551,"17,770",419,419,95.21%
6,Just Shapes & Beats,/app/531510/,May 31 2018,966,"16,280",372,372,95.21%
7,GRIS,/app/683320/,Dec 13 2018,"1,354","59,916","2,109","2,109",94.92%
8,Epic Battle Fantasy 5,/app/432350/,Nov 30 2018,"2,648","4,560",57,57,94.92%
9,Blade & Sorcery,/app/629730/,Dec 11 2018,"4,892","39,268","1,318","1,318",94.84%
10,Mirror,/app/644560/,Apr 19 2018,"8,250","83,523","3,314","3,314",94.68%
11,Zup! S,/app/617670/,Nov 15 2018,722,"11,503",294,294,94.68%
12,The Forest,/app/242760/,Apr 30 2018,"76,226","454,953","21,773","21,773",94.55%
13,Return of the Obra Dinn,/app/653530/,Oct 18 2018,"1,256","19,717",644,644,94.47%
14,Cube Escape: Paradox,/app/909080/,Sep 20 2018,"1,837","7,539",201,201,94.20%
15,Fox Hime Zero,/app/844930/,May 24 2018,383,"4,427",111,111,93.78%
16,Ultimate Custom Night,/app/871720/,Jun 27 2018,"11,320","44,130","2,062","2,062",93.74%
17,Yakuza 0,/app/638970/,Aug 1 2018,"8,985","55,779","2,725","2,725",93.68%
18,NEKOPARA Extra,/app/899970/,Jul 27 2018,575,"3,332",75,75,93.67%
19,Sabbat of the Witch,/app/888790/,Oct 26 2018,198,"2,056",31,31,93.66%
20,Kenshi,/app/233860/,Dec 6 2018,"10,971","63,982","3,272","3,272",93.55%
21,The Room Three,/app/456750/,Nov 13 2018,"1,339","8,988",331,331,93.48%
22,Zup! X,/app/508900/,May 17 2018,389,"5,961",196,196,93.43%
23,Flowers -Le volume sur ete-,/app/858940/,Jul 26 2018,34,"1,004",4,4,93.42%
24,Lethal League Blaze,/app/553310/,Oct 24 2018,"2,673","5,342",174,174,93.34%
25,Hello Charlotte: Childhood's End,/app/760890/,Jan 4 2018,70,"1,375",18,18,93.20%
26,Coloring Pixels,/app/897330/,Aug 17 2018,"1,535","5,733",210,210,93.07%
27,Maitetsu:Pure Station,/app/880950/,Sep 21 2018,339,"3,107",99,99,92.78%
28,Aim Lab,/app/714010/,Feb 7 2018,"10,381","81,126","4,981","4,981",92.77%
29,Mark of the Ninja: Remastered,/app/860950/,Oct 9 2018,687,"4,562",170,170,92.77%
30,STEINS;GATE 0,/app/825630/,May 8 2018,787,"4,599",174,174,92.74%
31,The Curse of Monkey Island,/app/730820/,Mar 22 2018,374,"2,070",54,54,92.73%
32,Meteor 60 Seconds!,/app/788770/,Feb 26 2018,346,"4,026",149,149,92.66%
33,Miracle Snack Shop,/app/995460/,Dec 25 2018,345,"2,153",60,60,92.64%
34,Farming Simulator 19,/app/787860/,Nov 19 2018,"59,466","63,330","3,913","3,913",92.62%
35,The Void Rains Upon Her Heart,/app/790060/,Feb 14 2018,39,549,0,0,92.52%
36,Kingdom Rush Origins,/app/816340/,Oct 17 2018,"2,000","5,012",211,211,92.47%
37,Zup! 8,/app/799070/,Feb 22 2018,754,"3,738",144,144,92.44%
38,Airships: Conquer the Skies,/app/342560/,Aug 16 2018,"1,313","4,611",192,192,92.42%
39,The Witch's House MV,/app/885810/,Oct 31 2018,195,"2,348",75,75,92.41%
40,Lobotomy Corporation,/app/568220/,Apr 9 2018,"3,748","23,245","1,355","1,355",92.37%
41,Into the Breach,/app/590380/,Feb 27 2018,"14,682","16,074",903,903,92.30%
42,Yoku's Island Express,/app/334940/,May 29 2018,283,"3,804",154,154,92.30%
43,House Flipper,/app/613100/,May 17 2018,"13,032","68,633","4,549","4,549",92.28%
44,The Walking Dead: The Final Season,/app/866800/,Aug 14 2018,"4,120","14,244",802,802,92.20%
45,永冻之壳 The Shell of Permafrost,/app/976940/,Dec 9 2018,33,"1,009",20,20,92.10%
46,FAR: Lone Sails,/app/609320/,May 17 2018,924,"13,117",760,760,92.00%
47,DISTRAINT 2,/app/743390/,Nov 13 2018,96,"3,205",134,134,91.99%
48,Farm Together,/app/673950/,Oct 11 2018,"6,998","18,224","1,129","1,129",91.90%
49,SYNTHETIK,/app/528230/,Mar 16 2018,"3,458","10,869",628,628,91.87%
50,Bean Battles,/app/765410/,Aug 22 2018,286,"8,213",456,456,91.82%
51,Door Kickers: Action Squad,/app/686200/,Sep 10 2018,"2,454","8,351",466,466,91.81%
52,The Ditzy Demons Are in Love With Me,/app/802870/,Oct 26 2018,141,"1,400",45,45,91.64%
53,The Crown of Leaves,/app/604330/,Nov 26 2018,270,"1,617",57,57,91.61%
54,The Red Strings Club,/app/589780/,Jan 22 2018,287,"8,912",530,530,91.56%
55,My Brother Rabbit,/app/855640/,Sep 21 2018,89,"1,504",52,52,91.55%
56,Parkitect,/app/453090/,Nov 29 2018,"1,400","6,010",338,338,91.47%
57,Wandersong,/app/530320/,Sep 27 2018,226,"2,829",131,131,91.47%
58,Heartbound,/app/567380/,Dec 25 2018,121,"1,384",47,47,91.47%
59,CrossCode,/app/368340/,Sep 21 2018,"3,429","12,948",833,833,91.46%
60,Mhakna Gramura and Fairy Bell,/app/753220/,Feb 19 2018,25,570,8,8,91.45%
61,Akane,/app/884260/,Sep 10 2018,117,"2,201",94,94,91.44%
62,killer7,/app/868520/,Nov 15 2018,224,"2,188",95,95,91.37%
63,"one night, hot springs",/app/917680/,Aug 30 2018,62,"2,163",94,94,91.35%
64,東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,/app/882710/,Aug 17 2018,87,"1,132",36,36,91.32%
65,DEEP SPACE WAIFU: NEKOMIMI,/app/868980/,Dec 18 2018,135,995,29,29,91.32%
66,The Messenger,/app/764790/,Aug 30 2018,679,"7,876",485,485,91.28%
67,Unavowed,/app/336140/,Aug 8 2018,327,"1,845",77,77,91.27%
68,Scalak,/app/858760/,May 22 2018,32,816,21,21,91.23%
69,Rusty Lake Paradise,/app/744190/,Jan 11 2018,"1,139","3,597",190,190,91.22%
70,The House in Fata Morgana: A Requiem for Innocence,/app/804700/,May 17 2018,54,765,19,19,91.18%
71,"OH MY GOD, LOOK AT THIS KNIGHT",/app/781440/,Feb 20 2018,46,"1,729",74,74,91.09%
72,Among Us,/app/945360/,Nov 16 2018,"447,476","604,643","53,950","53,950",91.07%
73,Moss,/app/846470/,Jun 7 2018,164,"2,668",137,137,90.98%
74,Muv-Luv Alternative,/app/802890/,Feb 28 2018,200,"2,008",94,94,90.98%
75,Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,/app/668350/,Jun 14 2018,46,449,6,6,90.97%
76,Sprout,/app/758530/,Jan 5 2018,46,"1,402",57,57,90.95%
77,Swarmlake,/app/793350/,Mar 12 2018,437,"1,569",68,68,90.91%
78,RetroMaze,/app/852110/,May 21 2018,9,"1,097",40,40,90.89%
79,Do Not Feed the Monkeys,/app/658850/,Oct 24 2018,"1,888","7,534",498,498,90.88%
80,Hentai Girl Linda,/app/927890/,Dec 7 2018,393,"4,340",258,258,90.88%
81,Monster Prom,/app/743450/,Apr 27 2018,"1,510","11,424",804,804,90.87%
82,Noel the Mortal Fate S1-7,/app/850000/,May 15 2018,137,"1,750",80,80,90.87%
83,Delete,/app/773670/,Jan 25 2018,43,"1,262",50,50,90.87%
84,Jet Island,/app/587220/,Sep 21 2018,87,"1,502",65,65,90.85%
85,DYO,/app/791470/,Feb 14 2018,113,901,30,30,90.81%
86,Marie's Room,/app/648390/,Apr 13 2018,285,"5,628",359,359,90.79%
87,Rolling Line,/app/754150/,Apr 27 2018,146,"1,542",69,69,90.77%
88,Bloodstained: Curse of the Moon,/app/838310/,May 24 2018,953,"3,553",208,208,90.74%
89,Ding Dong XL,/app/862570/,Jun 15 2018,696,703,20,20,90.73%
90,Kaori After Story,/app/979600/,Dec 3 2018,123,441,7,7,90.73%
91,ISLAND,/app/857450/,Aug 24 2018,80,"1,241",51,51,90.72%
92,Super Ledgehop: Double Laser,/app/787070/,Nov 16 2018,18,599,15,15,90.68%
93,Pit People,/app/291860/,Mar 2 2018,"2,504","7,045",478,478,90.67%
94,Friday the 13th: Killer Puzzle,/app/795100/,Apr 13 2018,"1,674","5,314",344,344,90.66%
95,Horizon Chase Turbo,/app/389140/,May 15 2018,226,"4,541",287,287,90.63%
96,Google Spotlight Stories: Age of Sail,/app/882110/,Nov 14 2018,18,429,7,7,90.63%
97,KovaaK's,/app/824270/,Apr 3 2018,"2,846","25,847","2,075","2,075",90.62%
98,Half-Life 2: Year Long Alarm,/app/747250/,Nov 16 2018,48,"1,617",77,77,90.61%
99,ZeroRanger,/app/809020/,Sep 28 2018,74,"1,191",50,50,90.59%
100,"Guns, Gore and Cannoli 2",/app/525510/,Mar 2 2018,568,"3,352",201,201,90.56%
101,Liftoff,/app/410340/,Sep 13 2018,646,"6,398",437,437,90.55%
102,Battle for Wesnoth,/app/599390/,May 2 2018,"1,019","3,970",249,249,90.52%
103,Hentai Girl,/app/878750/,Aug 17 2018,450,"12,776",973,973,90.49%
104,Frostpunk,/app/323190/,Apr 24 2018,"29,361","82,507","7,337","7,337",90.48%
105,Crash Bandicoot™ N. Sane Trilogy,/app/731490/,Jun 29 2018,"3,755","13,571","1,043","1,043",90.47%
106,Megaquarium,/app/600480/,Sep 13 2018,917,"2,516",143,143,90.47%
107,TSIOQUE,/app/393190/,Nov 7 2018,94,"1,484",71,71,90.46%
108,PIPE,/app/815780/,Mar 15 2018,439,"5,519",374,374,90.45%
109,Yume Nikki,/app/650700/,Jan 10 2018,469,"5,239",352,352,90.45%
110,Montaro : RE,/app/971680/,Nov 23 2018,45,"1,170",51,51,90.43%
111,A Raven Monologue,/app/744810/,Jan 11 2018,70,"2,267",128,128,90.36%
112,Adventure of a Lifetime,/app/820730/,Apr 26 2018,95,724,25,25,90.30%
113,Zero-K,/app/334920/,Apr 27 2018,946,"2,849",174,174,90.28%
114,The Awesome Adventures of Captain Spirit,/app/845070/,Jun 25 2018,"8,739","11,913",934,934,90.25%
115,Lost in Vivo,/app/963710/,Nov 5 2018,79,"2,515",151,151,90.21%
116,The Hex,/app/510420/,Oct 16 2018,118,"2,815",175,175,90.18%
117,The Bard's Tale Trilogy,/app/843260/,Aug 14 2018,696,"1,139",53,53,90.15%
118,Hexologic,/app/785890/,May 29 2018,133,861,35,35,90.14%
119,Hentai Girl Hime,/app/963690/,Nov 6 2018,298,"3,787",254,254,90.13%
120,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],/app/801630/,Aug 21 2018,"1,377","3,083",198,198,90.12%
121,Gachi Heroes,/app/944220/,Oct 26 2018,"1,620","1,903",108,108,90.11%
122,EXAPUNKS,/app/716490/,Oct 22 2018,764,"1,433",76,76,90.00%
123,Crystalline,/app/616250/,Aug 22 2018,109,"1,273",65,65,89.97%
124,Banyu Lintar Angin - Little Storm -,/app/744800/,Jan 11 2018,10,690,26,26,89.96%
125,The Legend of Heroes: Trails of Cold Steel II,/app/748490/,Feb 14 2018,"1,689","2,253",139,139,89.94%
126,DEEP SPACE WAIFU: FANTASY,/app/859680/,Sep 27 2018,373,"1,109",54,54,89.94%
127,TREE,/app/888090/,Aug 13 2018,26,"1,935",116,116,89.88%
128,Hakuoki: Edo Blossoms,/app/733340/,Mar 13 2018,128,710,28,28,89.88%
129,Chinese Parents,/app/736190/,Sep 29 2018,"32,593","20,835","1,837","1,837",89.85%
130,HITMAN™ 2,/app/863550/,Nov 13 2018,"361,001","66,195","6,340","6,340",89.84%
131,Dungreed,/app/753420/,Feb 15 2018,"3,332","7,379",581,581,89.84%
132,Aimtastic,/app/757240/,Jan 28 2018,230,"2,418",155,155,89.84%
133,Wolf Tails,/app/822930/,May 4 2018,105,807,35,35,89.81%
134,东方试闻广纪 ~ Perfect Memento of Touhou Question,/app/904740/,Aug 3 2018,145,804,35,35,89.79%
135,Two Point Hospital,/app/535930/,Aug 30 2018,"34,009","27,477","2,508","2,508",89.77%
136,Distance,/app/233610/,Sep 18 2018,463,"6,212",483,483,89.77%
137,The Gardens Between,/app/600990/,Sep 20 2018,138,"2,168",137,137,89.77%
138,Katamari Damacy REROLL,/app/848350/,Dec 6 2018,433,"4,228",313,313,89.69%
139,Copy Kitty,/app/349250/,Apr 19 2018,149,314,6,6,89.66%
140,BallisticNG,/app/473770/,Dec 15 2018,113,"2,464",166,166,89.61%
141,Overload,/app/448850/,May 31 2018,276,"1,689",103,103,89.61%
142,Bad North,/app/688420/,Nov 16 2018,"1,136","7,262",594,594,89.59%
143,"Warhammer 40,000: Mechanicus",/app/673880/,Nov 15 2018,"2,748","10,248",880,880,89.54%
144,Muv-Luv,/app/802880/,Feb 28 2018,204,959,49,49,89.51%
145,HELLO LADY!,/app/783120/,Jun 29 2018,114,754,35,35,89.45%
146,428 Shibuya Scramble,/app/648580/,Sep 4 2018,408,"1,465",89,89,89.43%
147,Secret Little Haven,/app/827290/,Apr 16 2018,18,296,6,6,89.42%
148,Cheeky Chooks,/app/922460/,Nov 1 2018,427,"2,216",152,152,89.38%
149,WhiteLily 1：丽丽公主,/app/876850/,Aug 17 2018,799,"1,148",65,65,89.38%
150,Attack on Titan 2 - A.O.T.2,/app/601050/,Mar 15 2018,"1,385","5,083",409,409,89.37%
151,Fureraba ~Friend to Lover~,/app/822760/,May 4 2018,69,293,6,6,89.37%
152,Touhou Genso Wanderer -Reloaded- / 不可思议的幻想乡TOD -RELOADED- / 不思議の幻想郷TOD -RELOADED-,/app/931500/,Oct 26 2018,"1,183","1,596",101,101,89.35%
153,Genital Jousting,/app/469820/,Jan 18 2018,610,"8,860",771,771,89.34%
154,Paradise Cleaning!,/app/950460/,Oct 31 2018,137,"1,205",70,70,89.34%
155,Sam & Max Hit the Road,/app/355170/,Nov 16 2018,41,576,24,24,89.30%
156,Simson Tuningwerkstatt 3D,/app/956240/,Dec 3 2018,40,188,1,1,89.28%
157,The Jackbox Party Pack 5,/app/774461/,Oct 17 2018,"2,748","2,171",152,152,89.24%
158,MewnBase,/app/743130/,Dec 7 2018,102,"1,030",58,58,89.23%
159,VR Flush,/app/866540/,Jun 20 2018,13,694,33,33,89.21%
160,Reentry - An Orbital Simulator,/app/882140/,Nov 15 2018,56,512,21,21,89.11%
161,Monobeno,/app/758090/,Jan 26 2018,74,580,26,26,89.07%
162,Racket: Nx,/app/428080/,Jul 17 2018,31,478,19,19,89.06%
163,Fallen Hero: Rebirth,/app/800620/,Mar 15 2018,196,319,9,9,89.00%
164,Siralim 3,/app/841770/,Oct 15 2018,193,903,51,51,88.99%
165,DRAGON BALL FighterZ,/app/678950/,Jan 26 2018,"44,303","54,750","5,786","5,786",88.97%
166,Broken Reality,/app/757480/,Nov 29 2018,59,"1,312",85,85,88.95%
167,Overcooked! 2,/app/728880/,Aug 7 2018,"12,108","43,415","4,545","4,545",88.94%
168,Wizard of Legend,/app/445980/,May 15 2018,"6,487","16,052","1,570","1,570",88.93%
169,Frog Detective 1: The Haunted Island,/app/963000/,Nov 22 2018,42,"3,319",267,267,88.93%
170,神社的百合香 ~ Floral Aroma in the Shrine,/app/925440/,Oct 1 2018,20,579,27,27,88.93%
171,天命奇御 Fate Seeker,/app/882790/,Aug 8 2018,"16,413","11,472","1,094","1,094",88.88%
172,Ghost of a Tale,/app/417290/,Mar 13 2018,883,"3,909",326,326,88.88%
173,Kingdom Two Crowns,/app/701160/,Dec 11 2018,"4,097","16,867","1,670","1,670",88.86%
174,DARK SOULS™: REMASTERED,/app/570940/,May 23 2018,"24,501","69,712","7,570","7,570",88.85%
175,FRAMED Collection,/app/322450/,May 17 2018,461,"1,840",133,133,88.85%
176,Fatal Twelve,/app/620210/,Mar 30 2018,56,716,38,38,88.84%
177,Zup! Zero 2,/app/658550/,Sep 11 2018,"1,783",953,57,57,88.83%
178,Russian Subway Dogs,/app/762610/,Aug 2 2018,22,222,4,4,88.81%
179,Devil May Cry HD Collection,/app/631510/,Mar 13 2018,767,"7,416",684,684,88.79%
180,A Light in the Dark,/app/766280/,Jun 15 2018,158,"1,503",105,105,88.76%
181,GROUND BRANCH,/app/16900/,Aug 14 2018,"1,674","11,752","1,150","1,150",88.71%
182,Equilinox,/app/853550/,Nov 23 2018,588,"2,524",200,200,88.71%
183,Evenicle,/app/955560/,Oct 10 2018,266,"1,036",66,66,88.67%
184,TerraTech,/app/285920/,Aug 10 2018,"5,726","17,358","1,771","1,771",88.65%
185,Cateau,/app/949370/,Oct 17 2018,30,325,11,11,88.62%
186,Mutant Year Zero: Road to Eden,/app/760060/,Dec 4 2018,"4,067","16,775","1,722","1,722",88.58%
187,7 Billion Humans,/app/792100/,Aug 23 2018,715,"1,420",101,101,88.58%
188,DX-Ball 2: 20th Anniversary Edition,/app/922400/,Nov 21 2018,80,380,15,15,88.57%
189,EMERGENCY 4 Deluxe,/app/757210/,Apr 24 2018,279,"1,247",87,87,88.50%
190,Duck Souls,/app/917290/,Sep 6 2018,7,256,7,7,88.50%
191,Speed Dating for Ghosts,/app/746400/,Feb 14 2018,66,397,17,17,88.42%
192,Romance of the Three Kingdoms XI with Power Up Kit,/app/628070/,Jan 17 2018,"1,701","2,329",192,192,88.37%
193,Your Dry Delight,/app/913010/,Aug 17 2018,32,547,29,29,88.33%
194,Shan Gui II: Sweet Osmanthus II,/app/952420/,Dec 16 2018,232,476,24,24,88.24%
195,Timberman VS,/app/943380/,Oct 12 2018,"2,649","3,024",269,269,88.18%
196,Assassin's Creed Odyssey,/app/812140/,Oct 5 2018,"62,069","121,763","14,669","14,669",88.13%
197,Love's Sweet Garnish,/app/891510/,Sep 7 2018,79,661,40,40,88.13%
198,Mini-Dead,/app/851530/,May 4 2018,99,728,46,46,88.11%
199,The Adventure Pals,/app/396710/,Apr 3 2018,336,"1,502",118,118,88.10%
200,Donut County,/app/702670/,Aug 28 2018,636,"6,735",680,680,88.04%
201,Rise Of Titans,/app/692130/,Jul 31 2018,21,247,8,8,88.03%
202,Null Vector,/app/608110/,May 3 2018,142,261,9,9,88.02%
203,A Book of Beasts and Buddies,/app/959750/,Nov 14 2018,18,356,16,16,88.01%
204,Snow Daze,/app/852480/,Oct 29 2018,115,"1,109",82,82,88.00%
205,Space Between Worlds,/app/779990/,Jul 30 2018,16,431,22,22,87.99%
206,Lake of Voices,/app/782340/,Aug 28 2018,56,463,25,25,87.92%
207,Teleportals. I swear it's a nice game,/app/873200/,Jun 16 2018,16,297,12,12,87.92%
208,Isoland 2: Ashes of Time,/app/823580/,May 2 2018,77,254,9,9,87.88%
209,Lucah: Born of a Dream,/app/896460/,Aug 21 2018,23,373,18,18,87.87%
210,El Tango de la Muerte,/app/701380/,Apr 24 2018,10,236,8,8,87.80%
211,Bud Spencer & Terence Hill - Slaps And Beans,/app/564050/,Apr 20 2018,226,"1,439",118,118,87.78%
212,Sunset Overdrive,/app/847370/,Nov 16 2018,"2,326","8,925",968,968,87.69%
213,Hiveswap Friendsim,/app/833040/,Apr 13 2018,747,"1,143",90,90,87.69%
214,The Office Quest,/app/810660/,May 25 2018,101,637,42,42,87.66%
215,Dark Deception,/app/332950/,Sep 27 2018,"1,461","12,993","1,462","1,462",87.65%
216,Mega Man 11,/app/742300/,Oct 2 2018,"1,629","3,390",331,331,87.65%
217,Touhou: Scarlet Curiosity,/app/845880/,Jul 11 2018,164,959,73,73,87.61%
218,The Vagrant,/app/598700/,Jul 13 2018,"1,268","6,465",687,687,87.60%
219,Welcome to Light Fields,/app/771310/,Mar 14 2018,71,254,10,10,87.60%
220,I Walk Among Zombies Vol. 1 (Adult Version),/app/942850/,Dec 17 2018,36,391,21,21,87.58%
221,Re Angel,/app/510680/,Apr 17 2018,73,136,2,2,87.56%
222,The Navigator,/app/907000/,Aug 3 2018,22,210,7,7,87.53%
223,Full Metal Furies,/app/416600/,Jan 17 2018,587,"2,335",219,219,87.52%
224,Outlaws + A Handful of Missions,/app/559620/,Nov 16 2018,28,480,29,29,87.52%
225,Wrongworld,/app/664750/,May 11 2018,44,420,24,24,87.48%
226,LEGO® DC Super-Villains,/app/829110/,Oct 16 2018,866,"4,392",454,454,87.47%
227,Pummel Party,/app/880940/,Sep 20 2018,"20,957","38,561","4,751","4,751",87.46%
228,Kabounce,/app/431930/,May 29 2018,"2,597","2,303",218,218,87.44%
229,Candleman: The Complete Journey,/app/591630/,Feb 1 2018,127,"1,007",80,80,87.44%
230,Garden Paws,/app/840010/,Dec 18 2018,340,"2,051",192,192,87.38%
231,LUMINES REMASTERED,/app/851670/,Jun 26 2018,74,435,26,26,87.36%
232,Golf Peaks,/app/923260/,Nov 13 2018,39,366,20,20,87.36%
233,GLAD VALAKAS SIMULATOR,/app/796790/,Jun 14 2018,35,422,25,25,87.34%
234,OPUS: Rocket of Whispers,/app/742250/,Feb 8 2018,51,"1,166",98,98,87.33%
235,Marble It Up!,/app/864060/,Nov 16 2018,114,558,38,38,87.26%
236,Guacamelee! 2,/app/534550/,Aug 21 2018,770,"2,469",243,243,87.24%
237,FINAL FANTASY XII THE ZODIAC AGE,/app/595520/,Feb 1 2018,"8,386","5,886",649,649,87.22%
238,Dig or Die,/app/315460/,Jul 10 2018,868,"3,608",376,376,87.22%
239,Toaster Jam,/app/590950/,Nov 14 2018,"1,008",126,2,2,87.22%
240,Lily's Night Off,/app/890750/,Aug 20 2018,7,92,0,0,87.22%
241,月夜下的紅茶杯 ~ Blacktea With Moon,/app/836490/,May 9 2018,22,499,33,33,87.18%
242,Nowhere Patrol,/app/961660/,Nov 5 2018,14,169,5,5,87.17%
243,Supipara - Chapter 2 Spring Has Come!,/app/762930/,Apr 12 2018,19,90,0,0,87.14%
244,For The King,/app/527230/,Apr 19 2018,"9,625","28,902","3,643","3,643",87.11%
245,GNOG,/app/290510/,Jul 17 2018,68,777,61,61,87.09%
246,Shaolin vs Wutang,/app/466110/,Jul 26 2018,38,872,71,71,87.07%
247,Answer The Question,/app/425770/,Aug 2 2018,9,137,3,3,87.07%
248,Dragon Cliff 龙崖,/app/758190/,May 11 2018,"5,953","6,080",691,691,87.00%
249,Maitetsu,/app/714800/,Jun 29 2018,37,323,18,18,87.00%
250,Viki Spotter: Camping,/app/893730/,Jul 18 2018,73,203,8,8,87.00%
251,Hiding Spot,/app/950140/,Oct 16 2018,10,120,2,2,87.00%
252,Ultimate Fishing Simulator,/app/468920/,Aug 30 2018,"2,485","5,668",640,640,86.99%
253,"Just, Bearly",/app/792030/,May 31 2018,12,454,30,30,86.99%
254,Pleasure Puzzle:Portrait,/app/939620/,Sep 24 2018,619,"1,558",147,147,86.97%
255,Shooty Skies,/app/702810/,Mar 6 2018,345,"1,261",114,114,86.97%
256,Changed,/app/814540/,Apr 5 2018,171,"10,737","1,292","1,292",86.94%
257,Wayhaven Chronicles: Book One,/app/800600/,Mar 8 2018,130,285,15,15,86.93%
258,Beneath the Surface,/app/792050/,Nov 13 2018,59,363,22,22,86.91%
259,Totally Accurate Battlegrounds,/app/823130/,Jun 5 2018,"29,438","68,649","9,207","9,207",86.89%
260,NEKO-NIN exHeart 2,/app/828580/,Apr 27 2018,47,260,13,13,86.89%
261,NavalArt,/app/842780/,Jun 20 2018,298,"1,065",95,95,86.81%
262,Hidden Paws Mystery,/app/937850/,Dec 18 2018,13,220,10,10,86.78%
263,Gizmo,/app/979260/,Dec 5 2018,23,266,14,14,86.76%
264,Steven Universe: Save the Light,/app/821890/,Aug 13 2018,200,"1,010",90,90,86.74%
265,cyubeVR,/app/619500/,Jan 26 2018,38,816,69,69,86.73%
266,Ys: Memories of Celceta,/app/587110/,Jul 25 2018,263,635,50,50,86.72%
267,Age of History II,/app/603850/,Nov 21 2018,"2,901","27,866","3,655","3,655",86.71%
268,Dream Car Builder,/app/488550/,Sep 21 2018,75,869,75,75,86.71%
269,Jimmy and the Pulsating Mass,/app/706560/,Aug 7 2018,54,404,27,27,86.70%
270,Forgotton Anne,/app/542050/,May 15 2018,143,"1,463",142,142,86.69%
271,Up Left Out,/app/867380/,Jun 29 2018,8,351,22,22,86.69%
272,The Crooked Man,/app/736570/,Jan 16 2018,23,668,54,54,86.66%
273,Ostalgie: The Berlin Wall,/app/774091/,Mar 25 2018,"2,548",562,43,43,86.66%
274,Shining Song Starnova,/app/675240/,Sep 13 2018,57,284,16,16,86.65%
275,My Holiday,/app/904320/,Aug 21 2018,93,178,7,7,86.63%
276,Northgard,/app/466560/,Mar 7 2018,"20,235","46,610","6,320","6,320",86.62%
277,My Memory of Us,/app/651500/,Oct 9 2018,38,674,55,55,86.62%
278,Feather Of Praying 羽翼的祈愿,/app/869840/,Jun 7 2018,42,214,10,10,86.62%
279,Assault Spy,/app/767930/,Oct 2 2018,67,645,52,52,86.61%
280,Human-powered spacecraft,/app/699180/,May 3 2018,37,558,43,43,86.61%
281,Sam & Dan: Floaty Flatmates,/app/978270/,Dec 12 2018,37,585,46,46,86.58%
282,Squirm,/app/778330/,Mar 23 2018,15,175,7,7,86.53%
283,Lagoon Lounge : The Poisonous Fountain,/app/857690/,Jul 6 2018,90,484,36,36,86.52%
284,Neverwinter Nights: Enhanced Edition,/app/704450/,Mar 27 2018,"2,410","6,093",734,734,86.50%
285,F1 2018,/app/737800/,Aug 23 2018,"9,809","11,080","1,404","1,404",86.49%
286,東方憑依華　～ Antinomy of Common Flowers.,/app/716710/,Jan 5 2018,"1,463","1,662",170,170,86.48%
287,qop 4,/app/966630/,Dec 19 2018,95,197,9,9,86.47%
288,Scythe: Digital Edition,/app/718560/,Sep 5 2018,"1,237","2,824",314,314,86.45%
289,Indiana Jones® and the Emperor's Tomb™,/app/560430/,Nov 16 2018,65,650,54,54,86.45%
290,Maximum Action,/app/853770/,Sep 19 2018,132,"2,900",324,324,86.44%
291,Grisaia Phantom Trigger Vol.4,/app/761670/,Jan 26 2018,60,106,2,2,86.42%
292,Myst III: Exile,/app/925930/,Sep 24 2018,57,305,19,19,86.40%
293,FoxTail,/app/581360/,Mar 1 2018,32,325,21,21,86.38%
294,Metal Fatigue,/app/888040/,Jul 31 2018,61,325,21,21,86.38%
295,Thronebreaker: The Witcher Tales,/app/973760/,Nov 9 2018,"3,371","12,718","1,648","1,648",86.37%
296,Through the Ages,/app/758370/,Mar 26 2018,747,"1,675",174,174,86.37%
297,Diesel Railcar Simulator,/app/750170/,Mar 5 2018,37,261,15,15,86.37%
298,Pipe Push Paradise,/app/721390/,Jan 19 2018,8,145,5,5,86.36%
299,Rust,/app/252490/,Feb 8 2018,"245,243","789,255","118,638","118,638",86.34%
300,Atelier Lydie & Suelle ~The Alchemists and the Mysterious Paintings~,/app/756590/,Mar 27 2018,398,510,40,40,86.34%
301,Hero-U: Rogue to Redemption,/app/375440/,Jul 10 2018,209,451,34,34,86.31%
302,Vagante,/app/323220/,Feb 22 2018,518,"3,724",436,436,86.30%
303,Wrench,/app/936720/,Dec 19 2018,150,931,87,87,86.30%
304,Supaplex,/app/833140/,May 9 2018,37,191,9,9,86.28%
305,qop 3,/app/864300/,Jun 7 2018,985,317,21,21,86.21%
306,Heaven Will Be Mine,/app/836450/,Jul 25 2018,111,376,27,27,86.19%
307,Electronauts,/app/691160/,Aug 7 2018,69,424,32,32,86.18%
308,Atelier Rorona ~The Alchemist of Arland~ DX,/app/936160/,Dec 4 2018,256,470,37,37,86.16%
309,LIBRARY,/app/865270/,Aug 10 2018,13,152,6,6,86.16%
310,Circle Empires,/app/834740/,Aug 8 2018,"1,011","2,962",344,344,86.14%
