id,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
68,Die in the Dungeon PROLOGUE,/app/2214080/,Jan 12 2023,379,311,13,13,87.92%
69,Season,/app/695330/,Jan 31 2023,461,747,50,50,87.88%
70,Halls of Torment Prelude,/app/2316660/,Mar 9 2023,"1,080",597,37,37,87.83%
71,挂机神话,/app/1863750/,Apr 7 2023,"1,142","1,326",107,107,87.76%
72,Demons Roots,/app/1933660/,Jan 14 2023,612,575,36,36,87.72%
73,24 Killers,/app/1668310/,Mar 9 2023,29,105,0,0,87.72%
74,Demonologist,/app/1929610/,Mar 27 2023,"8,806","2,737",259,259,87.64%
75,Mr. Saitou,/app/628740/,Mar 23 2023,61,214,7,7,87.62%
76,Aliens After Ava,/app/1995780/,Jan 13 2023,14,119,1,1,87.56%
77,The Light Brigade,/app/1579880/,Feb 22 2023,156,445,26,26,87.51%
78,SkyIsland,/app/2302640/,Feb 15 2023,216,478,29,29,87.49%
79,HOPE LEFT ME,/app/2268470/,Mar 10 2023,14,150,3,3,87.49%
80,Creepy Tale 3: Ingrid Penance,/app/1761780/,Mar 9 2023,121,165,4,4,87.48%
81,VOYAGER,/app/2119210/,Mar 25 2023,9,116,1,1,87.46%
82,Plasma,/app/1409160/,Mar 30 2023,358,161,4,4,87.36%
83,NOeSIS Ⅱ-人间无常,/app/1625230/,Feb 26 2023,17,113,1,1,87.35%
84,memories,/app/2219470/,Feb 3 2023,38,376,21,21,87.34%
85,Pleh!,/app/2191550/,Mar 17 2023,124,315,16,16,87.30%
86,Sun Haven,/app/1432860/,Mar 11 2023,"12,706","5,357",587,587,87.19%
87,Atelier Ryza 3: Alchemist of the End & the Secret Key,/app/1999770/,Mar 24 2023,"7,162",717,54,54,87.19%
88,Above Snakes: Prologue,/app/2209150/,Mar 24 2023,"3,672","1,116",95,95,87.18%
89,Metroplex Zero,/app/1412960/,Mar 31 2023,16,91,0,0,87.18%
90,SimRail - The Railway Simulator,/app/1422130/,Jan 13 2023,"1,914","1,253",110,110,87.16%
91,SpunkStock: Music Festival,/app/1863290/,Jan 26 2023,277,165,5,5,87.05%
92,Farlanders,/app/1318740/,Jan 17 2023,251,313,17,17,87.03%
93,Clash: Artifacts of Chaos,/app/1430680/,Mar 9 2023,148,306,17,17,86.89%
94,Glory & Miserable Survivors DX,/app/2178330/,Mar 16 2023,776,390,26,26,86.63%
95,Soundodger 2,/app/1400910/,Apr 10 2023,53,109,2,2,86.55%
96,Caves of Lore,/app/2227130/,Jan 21 2023,103,148,5,5,86.47%
97,Lone Fungus,/app/1674780/,Apr 7 2023,214,194,9,9,86.38%
98,Passpartout 2: The Lost Artist,/app/1571100/,Apr 4 2023,591,272,16,16,86.37%
99,A Bavarian Tale - Totgeschwiegen,/app/1694560/,Feb 2 2023,57,144,5,5,86.32%
100,Coralina,/app/2246120/,Jan 6 2023,16,192,9,9,86.31%
101,King Of The Castle,/app/1839880/,Mar 2 2023,321,488,38,38,86.29%
102,ZED ZONE,/app/1211600/,Mar 30 2023,"2,569","1,332",135,135,86.25%
103,Omega Strikers,/app/1869590/,Apr 27 2023,"19,257","10,006","1,292","1,292",86.24%
104,BETON BRUTAL,/app/2330500/,Mar 31 2023,147,129,4,4,86.24%
105,ENTROPOLY,/app/2226160/,Mar 2 2023,41,102,2,2,86.23%
106,ふりかけ☆スペイシー,/app/1764700/,Mar 1 2023,48,71,0,0,86.20%
107,Cannibal Abduction,/app/2189640/,Jan 13 2023,25,138,5,5,86.09%
108,Graze Counter GM,/app/1486440/,Jan 18 2023,72,84,1,1,86.05%
109,The Multi-Medium,/app/2077380/,Jan 20 2023,15,84,1,1,86.05%
110,Basements n' Basilisks: Storms of Sorcery,/app/2236860/,Feb 27 2023,20,98,2,2,86.04%
111,Partum Artifex,/app/2069760/,Feb 26 2023,17,83,1,1,86.00%
112,Plan B: Terraform,/app/1894430/,Feb 15 2023,"2,352","1,072",108,108,85.99%
113,Dreams in the Witch House,/app/1902850/,Feb 16 2023,42,123,4,4,85.98%
114,Planet Cube: Edge,/app/791200/,Feb 23 2023,14,97,2,2,85.98%
115,The Pale Beyond,/app/1266030/,Feb 24 2023,738,731,68,68,85.94%
116,Kujlevka,/app/1365720/,Apr 6 2023,73,82,1,1,85.94%
117,vivid/stasis,/app/2093940/,Mar 7 2023,53,109,3,3,85.92%
118,Aces and Adventures,/app/1815570/,Feb 23 2023,"2,455",879,87,87,85.82%
119,Tower Tactics: Liberation,/app/1709900/,Feb 6 2023,808,751,72,72,85.79%
120,一起击碎吧,/app/2354650/,Apr 6 2023,28,62,0,0,85.63%
121,Time Wasters,/app/1290330/,Mar 10 2023,934,695,67,67,85.62%
122,Kandria,/app/1261430/,Jan 11 2023,26,90,2,2,85.61%
123,Juno: New Origins,/app/870200/,Jan 26 2023,780,"1,953",229,229,85.60%
124,Hell Of An Office,/app/1640890/,Mar 14 2023,26,76,1,1,85.58%
125,Confabulation,/app/2246400/,Jan 13 2023,13,61,0,0,85.57%
126,"Good Pizza, Great Pizza",/app/770810/,Jan 6 2023,145,"1,453",164,164,85.55%
127,Lords of Infinity,/app/2169120/,Mar 2 2023,270,114,4,4,85.55%
128,Apex Point,/app/2102520/,Mar 5 2023,385,604,57,57,85.52%
129,Looking Up I See Only A Ceiling,/app/1742930/,Mar 9 2023,12,147,7,7,85.50%
130,Magic Tower & Maidens,/app/2090950/,Feb 27 2023,61,124,5,5,85.47%
131,Robolife2-Nova Duty,/app/1777390/,Mar 11 2023,892,313,24,24,85.45%
132,Revenant,/app/2317510/,Mar 29 2023,20,74,1,1,85.45%
133,Crafty Survivors,/app/2137760/,Mar 15 2023,374,198,12,12,85.44%
134,Emberfate: Tempest of Elements,/app/2164490/,Jan 27 2023,21,59,0,0,85.42%
135,DIG - Deep In Galaxies,/app/1442840/,Mar 8 2023,40,73,1,1,85.39%
136,與經紀人戀愛是絕對禁止2,/app/2053940/,Mar 12 2023,518,264,19,19,85.38%
137,It Comes In Waves,/app/2342980/,Apr 5 2023,19,86,2,2,85.37%
138,Weird and Unfortunate Things Are Happening,/app/2274410/,Feb 6 2023,29,58,0,0,85.35%
139,EVERSPACE™ 2,/app/1128920/,Apr 6 2023,"9,760","5,400",732,732,85.31%
140,SHUFFLE! Episode 2 ~Kami ni mo Akuma ni mo Nerawareteiru Otoko~,/app/2321180/,Mar 10 2023,89,120,5,5,85.27%
141,Handyman Legend,/app/2127010/,Mar 10 2023,"1,002",484,45,45,85.21%
142,觅光：第一章 - Seeking Light : Chapter 1,/app/2305480/,Mar 25 2023,28,56,0,0,85.20%
143,Postmouse,/app/2273550/,Jan 30 2023,123,482,45,45,85.18%
144,Horny Warp,/app/1539160/,Feb 17 2023,218,210,14,14,85.18%
145,Corsair`s Madness Prologue: Jungle`s Island,/app/2190570/,Feb 3 2023,46,69,1,1,85.11%
146,Backfirewall_,/app/1920100/,Jan 30 2023,86,178,11,11,85.08%
147,Troublemaker,/app/1498740/,Mar 31 2023,374,458,43,43,85.05%
148,Zup! Q,/app/2206560/,Mar 8 2023,33,68,1,1,85.04%
149,Witch's Garden,/app/2347380/,Apr 7 2023,117,68,1,1,85.04%
150,Drawing From Memory,/app/2225530/,Feb 8 2023,134,147,8,8,85.03%
151,FATAL FRAME / PROJECT ZERO: Mask of the Lunar Eclipse,/app/2130460/,Mar 9 2023,"1,372",734,79,79,84.93%
152,Temple Of Snek,/app/1208590/,Feb 15 2023,21,134,7,7,84.90%
153,我在终点线等你,/app/2215290/,Mar 24 2023,22,66,1,1,84.89%
154,上古传说,/app/2321080/,Apr 2 2023,126,219,16,16,84.85%
155,9 Childs Street,/app/1895890/,Feb 16 2023,30,235,18,18,84.79%
156,KOP KILLER 22XX,/app/2217680/,Mar 7 2023,6,51,0,0,84.78%
157,Souls of White Star,/app/1772050/,Mar 30 2023,86,88,3,3,84.73%
158,Organs Please,/app/1593780/,Apr 5 2023,62,150,9,9,84.72%
159,Selene ~Apoptosis~,/app/1398210/,Feb 17 2023,704,"1,527",192,192,84.71%
160,Ash of Gods: The Way Prologue,/app/2304670/,Mar 9 2023,747,250,20,20,84.71%
161,Zero-G Gunfight,/app/1312060/,Feb 17 2023,6,50,0,0,84.69%
162,In Sink: A Co-Op Escape Prologue,/app/2289970/,Feb 25 2023,"1,323","1,167",142,142,84.64%
163,Tower Escape,/app/2009860/,Feb 15 2023,283,213,16,16,84.64%
164,ITRP _ Aero Star,/app/2180150/,Mar 9 2023,91,75,2,2,84.63%
165,Aery - Calm Mind 3,/app/2154400/,Mar 31 2023,5,49,0,0,84.60%
166,Fateweaver: The Alchemist's Quandary,/app/2231900/,Feb 27 2023,8,49,0,0,84.60%
167,Tanky Tanks 2,/app/2241980/,Mar 20 2023,6,49,0,0,84.60%
168,Girl & Gem Magic,/app/2122070/,Mar 31 2023,85,211,16,16,84.57%
169,Battle Ram,/app/1262060/,Jan 6 2023,"4,403",887,104,104,84.56%
170,Relic Dudes,/app/2116260/,Feb 3 2023,86,173,12,12,84.49%
171,Let's Pet Pets,/app/2254600/,Jan 17 2023,12,61,1,1,84.49%
172,Final Profit: A Shop RPG,/app/1705140/,Mar 6 2023,34,73,2,2,84.48%
173,The Farmer Was Replaced,/app/2060160/,Feb 10 2023,23,47,0,0,84.41%
174,ARK and ADE,/app/1599000/,Mar 2 2023,13,72,2,2,84.40%
175,Aery VR - A Journey Beyond Time,/app/2173650/,Mar 24 2023,4,60,1,1,84.40%
176,Gone Rogue,/app/1803600/,Mar 1 2023,59,83,3,3,84.39%
177,Nebula,/app/2101250/,Jan 25 2023,67,82,3,3,84.31%
178,The Space-Eating Croc,/app/2020090/,Mar 4 2023,12,59,1,1,84.31%
179,Super Cakeboy,/app/2319580/,Mar 16 2023,23,46,0,0,84.31%
180,东方雪莲华 ～ Abyss Soul Lotus.,/app/1000440/,Feb 2 2023,290,309,29,29,84.25%
181,Crush the Industry,/app/1098610/,Mar 31 2023,112,70,2,2,84.24%
182,Robo Maestro,/app/1808490/,Jan 20 2023,12,58,1,1,84.22%
183,Powerful Courses,/app/2092330/,Mar 6 2023,7,45,0,0,84.21%
184,Cataclysm: Dark Days Ahead,/app/2330750/,Mar 31 2023,114,120,7,7,84.16%
185,WooLoop,/app/1878910/,Jan 13 2023,404,829,101,101,84.14%
186,8-Bit Adventures 2,/app/733110/,Jan 31 2023,64,100,5,5,84.13%
187,POOSTALL Royale,/app/2362740/,Apr 1 2023,164,572,65,65,84.10%
188,Deceive Inc.,/app/820520/,Mar 21 2023,"2,310","1,419",190,190,84.06%
189,Waves of Steel,/app/1482750/,Feb 6 2023,112,278,26,26,84.04%
190,Methods: The Canada Files,/app/2063530/,Feb 1 2023,19,56,1,1,84.03%
191,Brave Soldier - Invasion of Cyborgs,/app/2287760/,Feb 3 2023,6,43,0,0,84.00%
192,Breakers Collection,/app/1786230/,Jan 12 2023,78,67,2,2,83.99%
193,Loretta,/app/1592540/,Feb 16 2023,48,135,9,9,83.97%
194,Evacuation,/app/2224920/,Jan 6 2023,119,584,68,68,83.95%
195,Unbreakable Vr Runner,/app/494310/,Mar 6 2023,5,55,1,1,83.94%
196,Terraformers,/app/1244800/,Mar 9 2023,"1,853","1,435",195,195,83.93%
197,Vengeful Guardian: Moonrider,/app/1942010/,Jan 12 2023,103,226,20,20,83.90%
198,江城创业记,/app/2281410/,Mar 31 2023,"1,126",334,34,34,83.88%
199,LOUD,/app/1838290/,Feb 23 2023,13,42,0,0,83.88%
200,Girl Fantasy,/app/2203030/,Feb 10 2023,170,385,41,41,83.86%
201,Atomic Heart,/app/668580/,Feb 20 2023,"38,469","17,536","2,941","2,941",83.84%
202,Pocky & Rocky Reshrined,/app/2200580/,Feb 24 2023,34,65,2,2,83.81%
203,Elle: Portal,/app/2262970/,Feb 17 2023,46,114,7,7,83.80%
204,STRANGER OF PARADISE FINAL FANTASY ORIGIN,/app/1358700/,Apr 6 2023,"2,544",454,51,51,83.78%
205,Garden in!,/app/1953860/,Jan 26 2023,63,131,9,9,83.75%
206,Fears to Fathom - Episode 3,/app/2120900/,Jan 9 2023,383,627,76,76,83.74%
207,Tails: The Backbone Preludes,/app/2020030/,Feb 2 2023,55,113,7,7,83.74%
208,Breakout 13,/app/2095300/,Jan 9 2023,"11,996","4,041",625,625,83.73%
209,PARANOIA PLACE,/app/1592290/,Feb 13 2023,68,205,18,18,83.71%
210,Half-Life 2: VR Mod - Episode Two,/app/2177760/,Apr 6 2023,113,94,5,5,83.71%
211,Barbaria,/app/1984610/,Feb 9 2023,13,84,4,4,83.69%
212,Truxton,/app/2022880/,Feb 14 2023,30,40,0,0,83.65%
213,Slobbish Dragon Princess 3,/app/2225250/,Mar 14 2023,15,40,0,0,83.65%
214,Into The Flames,/app/1222300/,Jan 10 2023,212,755,97,97,83.55%
215,Children of Silentown,/app/1108000/,Jan 11 2023,285,365,40,40,83.54%
216,Have a Nice Death,/app/1740720/,Mar 22 2023,"2,510","5,917",959,959,83.53%
217,See You Later,/app/2234600/,Feb 14 2023,10,51,1,1,83.53%
218,Misericorde: Volume One,/app/1708110/,Mar 24 2023,17,39,0,0,83.53%
219,Miniland Adventure: Prologue,/app/2152460/,Mar 13 2023,525,303,32,32,83.43%
220,Future Radio,/app/2156620/,Feb 17 2023,97,142,11,11,83.41%
221,Conjury Revell,/app/2142850/,Feb 7 2023,25,125,9,9,83.40%
222,Rising Front,/app/1560250/,Jan 14 2023,663,860,115,115,83.39%
223,West Hunt,/app/1570330/,Mar 23 2023,449,662,85,85,83.35%
224,Zombie Admin,/app/1143860/,Jan 13 2023,8,49,1,1,83.30%
225,My Girlfriend’s Special Place,/app/1961760/,Mar 13 2023,15,49,1,1,83.30%
226,A War of a Madman's Making,/app/1985710/,Jan 15 2023,10,37,0,0,83.27%
227,Helpless,/app/2290490/,Mar 10 2023,34,88,5,5,83.26%
228,Siege of Dungeon,/app/1972410/,Jan 12 2023,95,155,13,13,83.24%
229,GunSuit Guardians,/app/2278830/,Mar 31 2023,85,59,2,2,83.23%
230,Diary of Lucie,/app/1454010/,Feb 24 2023,156,296,32,32,83.21%
231,MINDHACK,/app/1727210/,Apr 5 2023,195,48,1,1,83.19%
232,Phantom Tentacle,/app/1990260/,Mar 31 2023,19,337,38,38,83.18%
233,TitTok Kitty,/app/2010320/,Feb 14 2023,6,36,0,0,83.14%
234,Ghostland Yard,/app/2051130/,Mar 28 2023,16,36,0,0,83.14%
235,Interior Worlds,/app/2207970/,Apr 7 2023,35,36,0,0,83.14%
236,I commissioned some bunnies,/app/2250340/,Jan 26 2023,11,36,0,0,83.14%
237,Life After Magic,/app/2332130/,Mar 23 2023,16,36,0,0,83.14%
238,Flashback,/app/2252960/,Feb 20 2023,119,153,13,13,83.13%
239,銀斧 The Honest Elf,/app/1698870/,Mar 5 2023,17,58,2,2,83.13%
240,Swords and Sandals Immortals,/app/1707650/,Mar 9 2023,326,652,86,86,83.10%
241,Ogu and the Secret Forest,/app/1985960/,Mar 24 2023,235,120,9,9,83.08%
242,Neptunia: Sisters VS Sisters,/app/1932160/,Jan 24 2023,417,374,44,44,83.06%
243,The Missing Parts of Maria Gwozdek,/app/1822530/,Feb 10 2023,12,57,2,2,83.02%
244,LoFi Hotel,/app/1983420/,Feb 4 2023,6,35,0,0,83.00%
