id,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
4206,Prime of Flames,/app/1937750/,Dec 15 2022,550,714,88,88,83.82%
4207,MOTHERGUNSHIP: FORGE,/app/1931240/,Jun 16 2022,21,158,12,12,83.81%
4208,Kapia,/app/1351140/,Jan 25 2022,8,65,2,2,83.81%
4209,Guildford Castle VR,/app/1862880/,Mar 24 2022,11,65,2,2,83.81%
4210,选王之剑,/app/1674890/,Jan 15 2022,"1,325","1,013",133,133,83.79%
4211,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,/app/1492730/,Nov 1 2022,573,191,16,16,83.79%
4212,VTuber Connect,/app/2185290/,Nov 21 2022,17,95,5,5,83.78%
4213,COSPLAY LOVE! Enchanted princess,/app/1770820/,Mar 30 2022,9,41,0,0,83.77%
4214,Bocce Time!,/app/1774890/,Jun 17 2022,6,41,0,0,83.77%
4215,WikiArena,/app/2090700/,Oct 25 2022,13,41,0,0,83.77%
4216,Boots Quest DX,/app/2093950/,Nov 25 2022,7,41,0,0,83.77%
4217,To Be or Not to Be,/app/2190290/,Dec 9 2022,"4,559","2,749",411,411,83.72%
4218,NIGHT/SHADE: You're The Drug,/app/1474120/,Mar 11 2022,44,64,2,2,83.72%
4219,JANITOR BLEEDS,/app/1552310/,Apr 7 2022,24,156,12,12,83.71%
4220,Static of Eve –凝滯聖夜–,/app/1981380/,Jul 11 2022,34,74,3,3,83.68%
4221,non-binary,/app/2027530/,Jul 19 2022,16,180,15,15,83.67%
4222,Overloop,/app/720660/,Aug 26 2022,33,93,5,5,83.64%
4223,Rocco's Island: Ring to End the Pain,/app/1394480/,Mar 2 2022,13,93,5,5,83.64%
4224,TYRONE vs COPS VR,/app/2085920/,Oct 1 2022,8,93,5,5,83.64%
4225,MicroWorks,/app/1233410/,Sep 2 2022,248,171,14,14,83.63%
4226,Time Master,/app/1486080/,Jan 18 2022,12,63,2,2,83.63%
4227,SCP Strategy,/app/1403020/,May 5 2022,28,404,45,45,83.62%
4228,Arcade Spirits: The New Challengers,/app/1484620/,May 27 2022,147,102,6,6,83.62%
4229,Knight's Try,/app/1779180/,Jan 27 2022,33,111,7,7,83.61%
4230,Room 301 NO.6,/app/1949010/,Sep 21 2022,28,111,7,7,83.61%
4231,FAREWELL SEN,/app/2025650/,Oct 29 2022,21,111,7,7,83.61%
4232,Cut to the Core,/app/1777000/,Aug 1 2022,6,83,4,4,83.61%
4233,Witchpunk,/app/2205950/,Nov 18 2022,39,137,10,10,83.60%
4234,Sigh of the Abyss: Shadow Bonds,/app/1829640/,Apr 5 2022,20,73,3,3,83.60%
4235,Ys IX -Monstrum NOX-,/app/1732330/,Jan 19 2022,149,210,19,19,83.59%
4236,Gunlocked,/app/1512480/,Dec 6 2022,69,286,29,29,83.58%
4237,Winter Falling,/app/1285060/,Nov 8 2022,68,153,12,12,83.56%
4238,Pixel Cup Soccer - Ultimate Edition,/app/1620540/,Oct 14 2022,332,422,48,48,83.55%
4239,Inside the Backrooms,/app/1987080/,Jun 20 2022,"15,033","27,301","4,786","4,786",83.54%
4240,I Am Sakuya: Touhou FPS Game,/app/1960590/,Sep 13 2022,33,336,36,36,83.54%
4241,Insomnis,/app/1000700/,Jan 7 2022,25,185,16,16,83.53%
4242,Salamander County Public Television,/app/1521810/,Jul 29 2022,8,62,2,2,83.53%
4243,Mess Quest,/app/2113490/,Nov 9 2022,10,62,2,2,83.53%
4244,Manufactoria 2022,/app/1276070/,Aug 16 2022,34,51,1,1,83.53%
4245,Dead Forest,/app/1051350/,Jul 26 2022,8,39,0,0,83.53%
4246,Geballer,/app/1910260/,Jun 10 2022,9,39,0,0,83.53%
4247,SokoChess,/app/1960400/,Aug 12 2022,8,39,0,0,83.53%
4248,Songs from the Iron Sea,/app/2091370/,Sep 22 2022,21,39,0,0,83.53%
4249,Cozy Time,/app/2054740/,Jul 13 2022,46,144,11,11,83.52%
4250,Freight Hopper,/app/1763190/,Jul 29 2022,10,72,3,3,83.51%
4251,Albert Innovation,/app/1948620/,Oct 28 2022,9,91,5,5,83.49%
4252,Frontier Hunter: Erza’s Wheel of Fortune,/app/1429500/,Dec 15 2022,343,548,67,67,83.45%
4253,Born Into Fear,/app/1705930/,Mar 21 2022,27,151,12,12,83.45%
4254,Thymesia,/app/1343240/,Aug 18 2022,"3,224","4,371",699,699,83.44%
4255,Racingmaybe,/app/1261300/,Jan 10 2022,11,61,2,2,83.44%
4256,Airborne Kingdom,/app/982290/,Mar 7 2022,"1,136","1,381",197,197,83.43%
4257,Kamikaze Veggies,/app/1519010/,Jul 7 2022,17,71,3,3,83.42%
4258,Self-Delusion,/app/1590190/,Aug 17 2022,20,71,3,3,83.42%
4259,Blood Nova,/app/1810270/,Oct 5 2022,8,71,3,3,83.42%
4260,The Scorchfarer,/app/1617580/,Apr 15 2022,8,50,1,1,83.42%
4261,Shooting Game KARI,/app/2088520/,Aug 4 2022,14,50,1,1,83.42%
4262,Arcade Paradise,/app/1388870/,Aug 11 2022,511,692,89,89,83.41%
4263,Hot Springs Story,/app/1823710/,Mar 28 2022,87,142,11,11,83.41%
4264,Night At the Gates of Hell,/app/2026870/,Sep 15 2022,108,436,51,51,83.40%
4265,Ticklish Tessa,/app/1575070/,Jun 3 2022,7,38,0,0,83.40%
4266,Winging It,/app/1693310/,Feb 11 2022,10,38,0,0,83.40%
4267,Sky Caravan,/app/1792270/,May 5 2022,8,38,0,0,83.40%
4268,Summum Aeterna,/app/1815230/,Jun 16 2022,53,166,14,14,83.39%
4269,Fobia - St. Dinfna Hotel,/app/1298140/,Jun 28 2022,310,954,130,130,83.37%
4270,Eternal Threads,/app/1046790/,May 19 2022,77,272,28,28,83.37%
4271,Three Finger Battle Arena,/app/1893860/,Feb 26 2022,101,279,29,29,83.36%
4272,黑猫魔法师,/app/1835870/,Jan 21 2022,91,189,17,17,83.36%
4273,Hack and Slime,/app/1773700/,Jun 1 2022,18,107,7,7,83.35%
4274,Space Bandit,/app/1435470/,Sep 18 2022,10,60,2,2,83.34%
4275,Fabular: Prologue,/app/2060550/,Jul 8 2022,27,60,2,2,83.34%
4276,Queer Man Peering Into A Rock Pool.jpg,/app/1711420/,Jul 13 2022,10,70,3,3,83.33%
4277,BLACKJACK and WAIFUS,/app/1702830/,Feb 14 2022,49,384,44,44,83.31%
4278,Neodash,/app/1514950/,Aug 17 2022,185,370,42,42,83.31%
4279,Chicken Feet,/app/2118130/,Oct 25 2022,86,233,23,23,83.30%
4280,Pets at Work,/app/1787760/,Feb 28 2022,30,115,8,8,83.30%
4281,Hamster Playground,/app/1442670/,Aug 22 2022,546,858,116,116,83.29%
4282,The Whispering Valley,/app/1512390/,Nov 30 2022,11,79,4,4,83.28%
4283,温泉旅館のパイズリ怪異,/app/1796060/,Apr 11 2022,7,37,0,0,83.27%
4284,That's Not How it Happened,/app/1958400/,Aug 8 2022,3,37,0,0,83.27%
4285,Samurai Bringer,/app/1851280/,Apr 21 2022,"1,360",766,102,102,83.26%
4286,Dream Hacker,/app/1850270/,Aug 30 2022,181,347,39,39,83.26%
4287,Get Achievements for Achievements,/app/1857580/,Mar 1 2022,7,88,5,5,83.26%
4288,Tide Up,/app/1890520/,Mar 11 2022,46,163,14,14,83.24%
4289,The Crackpet Show,/app/1390700/,Dec 15 2022,136,448,54,54,83.21%
4290,The Bible,/app/2167220/,Nov 14 2022,57,352,40,40,83.21%
4291,Letters - a written adventure,/app/1033080/,Feb 9 2022,47,122,9,9,83.21%
4292,Onde,/app/1676910/,Mar 17 2022,18,122,9,9,83.21%
4293,DEPO : Death Epileptic Pixel Origins,/app/1091320/,Jul 25 2022,37,105,7,7,83.21%
4294,Grindstone,/app/1818690/,Jun 20 2022,57,105,7,7,83.21%
4295,Sand:box,/app/2179380/,Nov 23 2022,26,105,7,7,83.21%
4296,Planet S,/app/1948430/,Jul 1 2022,75,434,52,52,83.20%
4297,Insect Swarm,/app/1999170/,Jun 1 2022,392,818,111,111,83.19%
4298,Griddy,/app/2104790/,Aug 22 2022,7,78,4,4,83.19%
4299,MADiSON,/app/1670870/,Jul 8 2022,506,"1,615",241,241,83.17%
4300,The Closing Shift | 閉店事件,/app/1843090/,Mar 19 2022,278,"1,397",205,205,83.17%
4301,Pocket Academy,/app/1921760/,Jun 13 2022,173,113,8,8,83.17%
4302,Two Point Campus,/app/1649080/,Aug 9 2022,"7,553","2,656",418,418,83.16%
4303,Cat Cafe Manager,/app/1354830/,Apr 14 2022,582,"1,175",169,169,83.15%
4304,Boo Men,/app/1715730/,Sep 15 2022,404,"1,241",180,180,83.14%
4305,Car Tehc,/app/1709070/,May 29 2022,7,36,0,0,83.14%
4306,Heartstop,/app/1947350/,May 5 2022,6,36,0,0,83.14%
4307,天香与小百合 - Tinheung & Sayuri,/app/2088680/,Aug 5 2022,4,36,0,0,83.14%
4308,No More Future,/app/2091790/,Oct 7 2022,6,36,0,0,83.14%
4309,MIND CORRIDORS: Paroniria,/app/2207520/,Nov 28 2022,4,36,0,0,83.14%
4310,Diplomacy is Not an Option,/app/1272320/,Feb 9 2022,"3,180","3,535",572,572,83.13%
4311,Super Ride Grandpa,/app/1966580/,May 9 2022,5,58,2,2,83.13%
4312,Skala,/app/1884990/,Oct 4 2022,45,176,16,16,83.12%
4313,Fears to Fathom - Episode 2,/app/1763050/,Jan 6 2022,96,986,139,139,83.10%
4314,A.R.D. Alien Removal Division,/app/1768550/,Jun 17 2022,149,805,110,110,83.10%
4315,Spell Defender,/app/2100050/,Oct 10 2022,42,112,8,8,83.10%
4316,Coloring Game: Girls,/app/1290880/,Jul 22 2022,76,77,4,4,83.10%
4317,Windjammers 2,/app/1114290/,Jan 20 2022,492,429,52,52,83.09%
4318,Cactus Simulator,/app/1883580/,Feb 4 2022,53,198,19,19,83.09%
4319,Hentai Mission Ukraine,/app/1929420/,May 3 2022,5,144,12,12,83.07%
4320,Class Escape,/app/1911560/,Mar 25 2022,15,47,1,1,83.07%
4321,"a completely normal dating simulation that is definitely completely sweet, innnocent and normal: SOMETHINGETH ANIVERSARY EDITION",/app/1367490/,Aug 26 2022,"1,041",103,7,7,83.06%
4322,Mushy,/app/1772820/,Feb 16 2022,266,"1,207",176,176,83.05%
4323,The Last Hero of Nostalgaia,/app/1766100/,Oct 19 2022,356,629,83,83,83.04%
4324,Fresh Start Cleaning Simulator,/app/1856030/,Dec 20 2022,368,565,73,73,83.04%
4325,Superbugs: Awaken,/app/1393570/,Mar 23 2022,50,159,14,14,83.04%
4326,Cursed 2,/app/1960630/,Apr 22 2022,39,111,8,8,83.04%
4327,Counterpact,/app/2061750/,Oct 14 2022,34,111,8,8,83.04%
4328,Run N' Gun,/app/1945060/,Apr 14 2022,16,94,6,6,83.03%
4329,The Legend of Heroes: Ao no Kiseki KAI,/app/1461920/,Jan 12 2022,66,143,12,12,83.02%
4330,Everdell,/app/1722840/,Jul 28 2022,152,240,25,25,83.01%
4331,Regiments,/app/1109680/,Aug 16 2022,"1,258","1,448",217,217,83.00%
4332,Depths of Sanity,/app/848080/,Nov 2 2022,6,35,0,0,83.00%
4333,BORE DOME,/app/1206090/,May 30 2022,6,35,0,0,83.00%
4334,Turbo Sloths,/app/1443630/,Dec 8 2022,5,35,0,0,83.00%
4335,Virtual Maid Streamer Ramie,/app/1770830/,Jan 20 2022,16,35,0,0,83.00%
4336,Sneaky Rat,/app/2145490/,Oct 22 2022,8,35,0,0,83.00%
4337,Neon Sundown,/app/1721870/,Mar 18 2022,185,282,31,31,82.99%
4338,Walk While My Grandmother Plays The Piano,/app/2176940/,Nov 4 2022,9,150,13,13,82.97%
4339,TFC: The Fertile Crescent,/app/1674820/,Mar 29 2022,34,110,8,8,82.97%
4340,Temtem,/app/745920/,Sep 6 2022,"39,572","30,775","5,679","5,679",82.96%
4341,Farthest Frontier,/app/1044720/,Aug 9 2022,"24,910","10,223","1,799","1,799",82.96%
4342,Tin Can,/app/1315980/,May 12 2022,282,650,87,87,82.96%
4343,Ikonei Island: An Earthlock Adventure,/app/1550730/,Aug 18 2022,42,118,9,9,82.95%
4344,Kawaii Hentai Girls 2,/app/2009800/,Jun 9 2022,21,93,6,6,82.95%
4345,Hausmeister,/app/2064580/,Oct 11 2022,11,66,3,3,82.95%
4346,Kriegsfront Battlescaper,/app/1703930/,Aug 4 2022,11,46,1,1,82.95%
4347,秋恋物语 Autumn Romance,/app/1874810/,Feb 4 2022,12,46,1,1,82.95%
4348,Rimward Basilisk,/app/2226780/,Dec 7 2022,12,46,1,1,82.95%
4349,长明火计划 Project: Eternal Flame,/app/1653050/,Jul 8 2022,30,84,5,5,82.93%
4350,Grim Quest,/app/1918130/,Apr 1 2022,15,84,5,5,82.93%
4351,Unlock the Feelings,/app/1961790/,May 6 2022,12,84,5,5,82.93%
4352,DEATHWATCH,/app/2165030/,Oct 21 2022,18,84,5,5,82.93%
4353,Fishing Paradiso,/app/1781030/,Jun 1 2022,101,149,13,13,82.92%
4354,Springblades,/app/2222200/,Nov 25 2022,110,75,4,4,82.92%
4355,RXC - Rally Cross Challenge,/app/1394460/,Nov 22 2022,17,56,2,2,82.91%
4356,Super Ember Kaboom,/app/1614360/,Jun 15 2022,6,56,2,2,82.91%
4357,瓔珞事件簿之誰殺了愛情,/app/1865680/,Jan 31 2022,15,56,2,2,82.91%
4358,Keplerth,/app/747200/,May 24 2022,"7,526","3,114",509,509,82.90%
4359,Army of Ruin,/app/1918040/,Oct 27 2022,"1,021",913,130,130,82.90%
4360,I got a millenary cat,/app/1894080/,Oct 7 2022,240,341,40,40,82.90%
4361,Chili Con Valley,/app/1775110/,Jan 17 2022,10,117,9,9,82.89%
4362,Crash Bandicoot™ 4: It’s About Time,/app/1378990/,Oct 18 2022,454,"1,013",147,147,82.87%
4363,Session: Skate Sim,/app/861650/,Sep 22 2022,"1,757","8,502","1,495","1,495",82.86%
4364,Altero,/app/567590/,Oct 17 2022,5,34,0,0,82.85%
4365,Amberial Dreams,/app/917140/,Oct 18 2022,19,34,0,0,82.85%
4366,Newton Going Home,/app/1827600/,Jan 20 2022,5,34,0,0,82.85%
4367,Supercow,/app/1883570/,Mar 5 2022,6,34,0,0,82.85%
4368,Lit Up,/app/1972740/,May 9 2022,6,34,0,0,82.85%
4369,Amber City,/app/1979320/,Sep 1 2022,23,34,0,0,82.85%
4370,Katydids,/app/2012500/,Jun 14 2022,11,34,0,0,82.85%
4371,Boom Slingers,/app/2075050/,Sep 16 2022,10,34,0,0,82.85%
4372,MopGarden's Veggie Cart,/app/2213770/,Nov 30 2022,7,34,0,0,82.85%
4373,TurnTheLine,/app/1670120/,Apr 1 2022,33,83,5,5,82.84%
4374,Ignited Steel: Prologue,/app/2015040/,Oct 14 2022,466,83,5,5,82.84%
4375,Timemelters,/app/1096140/,Oct 12 2022,27,65,3,3,82.84%
4376,Light & Shadow,/app/2171920/,Nov 24 2022,18,124,10,10,82.82%
4377,Gunborg: Dark Matters,/app/1529160/,Mar 4 2022,4,45,1,1,82.82%
4378,Lapin,/app/1454540/,Nov 17 2022,33,91,6,6,82.79%
4379,Eiyuden Chronicle: Rising,/app/1658290/,May 10 2022,"1,163","1,249",188,188,82.78%
4380,Tetris for Two,/app/1862940/,Jan 25 2022,30,241,26,26,82.78%
4381,Berserk Mode,/app/1649630/,Jan 9 2022,15,107,8,8,82.75%
4382,Superfly,/app/1413020/,Jun 18 2022,63,414,52,52,82.74%
4383,Dexter Stardust : Adventures in Outer Space,/app/1647390/,Mar 3 2022,19,64,3,3,82.74%
4384,Reefland,/app/1749430/,Oct 17 2022,22,64,3,3,82.74%
4385,ガチムチでドスケベな家庭教師のお兄さんと過ごす夏,/app/2012440/,Oct 22 2022,80,64,3,3,82.74%
4386,Darold The Doomer: Psychedelic Lucid Dreams,/app/1928010/,Apr 6 2022,6,73,4,4,82.73%
4387,Gabenwood: 99 Hidden Bucks,/app/2103710/,Nov 7 2022,6,73,4,4,82.73%
4388,Lost and Hound,/app/1054350/,Aug 17 2022,8,33,0,0,82.70%
4389,Fluffy Milo,/app/1935490/,Mar 28 2022,6,33,0,0,82.70%
4390,Infinite Turtles,/app/1952740/,Jun 19 2022,11,33,0,0,82.70%
4391,房间的秘密,/app/2022380/,Jul 8 2022,9,33,0,0,82.70%
4392,Colorful Recolor,/app/2052680/,Aug 10 2022,5,33,0,0,82.70%
4393,Cat Herder,/app/2083180/,Nov 3 2022,18,33,0,0,82.70%
4394,Know by heart...,/app/685670/,Feb 10 2022,255,527,70,70,82.69%
4395,Secret Summer,/app/1493730/,Jul 5 2022,136,273,31,31,82.69%
4396,RoboCo,/app/1067220/,Nov 3 2022,98,98,7,7,82.69%
4397,start;again,/app/1927140/,Mar 31 2022,5,44,1,1,82.69%
4398,NOX: Chapter 1,/app/2228140/,Dec 23 2022,8,44,1,1,82.69%
4399,Lust Academy,/app/1846920/,Apr 12 2022,952,960,141,141,82.68%
4400,Boxville,/app/1750710/,Sep 30 2022,24,114,9,9,82.68%
4401,Mokoko X,/app/1785000/,Apr 7 2022,32,106,8,8,82.68%
4402,Pool Slide Story,/app/1933980/,Jul 4 2022,104,106,8,8,82.68%
4403,Froggie,/app/1965610/,Nov 4 2022,7,54,2,2,82.68%
4404,lure,/app/1849040/,Apr 8 2022,11,252,28,28,82.67%
4405,Deluge: Threnody of Crashing Waves,/app/1745690/,Jul 8 2022,18,137,12,12,82.66%
4406,Yomawari: Lost in the Dark,/app/1998330/,Oct 25 2022,110,144,13,13,82.63%
4407,YAKIMOCHI STREAM,/app/1346770/,Jan 22 2022,32,105,8,8,82.61%
4408,Zombie Rollerz: Pinball Heroes,/app/915230/,Mar 2 2022,126,236,26,26,82.59%
4409,與經紀人戀愛是絕對禁止！,/app/1745310/,Mar 23 2022,456,540,73,73,82.58%
4410,Ukraine War Stories,/app/1985510/,Oct 18 2022,86,711,101,101,82.56%
4411,My Dad Left Me,/app/2077870/,Aug 5 2022,6,53,2,2,82.56%
4412,Father's Day,/app/1800790/,Oct 22 2022,53,342,42,42,82.55%
4413,Solitaire Expeditions,/app/1709180/,Jul 23 2022,14,43,1,1,82.55%
4414,Weeping Falls Massacre,/app/2018560/,Jun 16 2022,11,43,1,1,82.55%
4415,Nekomew's Nightmares,/app/1893020/,Oct 28 2022,13,32,0,0,82.55%
4416,Despot's Game: Dystopian Army Builder,/app/1227280/,Sep 29 2022,"1,463","2,186",358,358,82.54%
4417,冥婚交友中心《厲鬼的戀愛指南》,/app/1683430/,Feb 8 2022,767,575,79,79,82.54%
4418,Solar Ash,/app/1867530/,Dec 8 2022,172,406,52,52,82.54%
4419,The Infinite Black 2,/app/777470/,Oct 29 2022,53,135,12,12,82.54%
4420,ABRISS,/app/1671480/,Apr 14 2022,213,295,35,35,82.53%
4421,fault - StP - LIGHTKRAVTE,/app/1917450/,May 28 2022,101,295,35,35,82.53%
4422,Relapse,/app/1968320/,Oct 12 2022,44,142,13,13,82.51%
4423,重构,/app/1664670/,Mar 29 2022,403,359,45,45,82.48%
4424,Biters & Bullets: Prologue,/app/1811430/,Jul 19 2022,315,233,26,26,82.47%
4425,Automon,/app/1822710/,Mar 4 2022,89,111,9,9,82.47%
4426,The Backrooms: Survival,/app/1889640/,Mar 31 2022,78,804,118,118,82.44%
4427,Catie in MeowmeowLand,/app/1417890/,Mar 31 2022,15,70,4,4,82.44%
4428,It's Kooky,/app/1842050/,Nov 1 2022,23,52,2,2,82.44%
4429,Haha Doodle,/app/1865130/,Jan 25 2022,318,118,10,10,82.42%
4430,Dead Beacon,/app/2111040/,Nov 18 2022,10,61,3,3,82.42%
4431,reIterate(),/app/1531620/,Jan 13 2022,10,42,1,1,82.41%
4432,NoWayBack无路可退,/app/2000300/,Oct 20 2022,52,42,1,1,82.41%
4433,Automaton Lung,/app/2158900/,Dec 16 2022,6,42,1,1,82.41%
4434,The Archipelago,/app/2169730/,Nov 11 2022,971,42,1,1,82.41%
4435,Polda 3,/app/2175650/,Dec 11 2022,32,42,1,1,82.41%
4436,Sir Whoopass,/app/1240590/,Aug 18 2022,600,616,87,87,82.40%
4437,Brewmaster: Beer Brewing Simulator,/app/1569200/,Sep 29 2022,581,573,80,80,82.39%
4438,White Lavender,/app/1975670/,Jun 20 2022,15,110,9,9,82.39%
4439,The Forest Quartet,/app/1620720/,Dec 8 2022,10,78,5,5,82.39%
4440,Riding Seas,/app/1428140/,Jan 31 2022,6,31,0,0,82.39%
4441,Kalyzmyr,/app/1826090/,Mar 11 2022,4,31,0,0,82.39%
4442,Witchhazel Woods,/app/1833560/,Aug 12 2022,4,31,0,0,82.39%
4443,Pierre's Adventures in French,/app/1948870/,Oct 14 2022,6,31,0,0,82.39%
4444,Extraneum,/app/1999140/,Jun 15 2022,5,31,0,0,82.39%
4445,TTV4,/app/2062920/,Jul 7 2022,2,31,0,0,82.39%
4446,Blossom Tales 2: The Minotaur Prince,/app/1747830/,Aug 16 2022,43,86,6,6,82.37%
4447,FPS Chess,/app/2021910/,Jul 16 2022,"3,142","15,180","2,861","2,861",82.36%
4448,FixFox,/app/1696220/,Mar 31 2022,27,196,21,21,82.35%
4449,Police Simulator: Patrol Officers,/app/997010/,Nov 10 2022,"3,330","9,899","1,833","1,833",82.33%
4450,Sackboy™: A Big Adventure,/app/1599660/,Oct 27 2022,610,"1,329",211,211,82.32%
4451,Sandwalkers: The Fourteenth Caravan,/app/1966290/,Oct 26 2022,241,256,30,30,82.32%
4452,Military Conflict: Vietnam,/app/1012110/,Dec 16 2022,228,611,87,87,82.31%
4453,Fidget Spinner RPG,/app/1947530/,May 2 2022,110,124,11,11,82.31%
4454,CRAYON SHINCHAN The Storm Called! FLAMING KASUKABE RUNNER!!,/app/1921740/,Oct 18 2022,10,51,2,2,82.31%
4455,Medieval Fantasy Survival Simulator 2 Gladiator Edition,/app/1932280/,Nov 7 2022,4,51,2,2,82.31%
4456,Watch Your Plastic Duck,/app/2088360/,Sep 9 2022,17,101,8,8,82.30%
4457,Flowers -Le volume sur hiver-,/app/1921560/,Jun 18 2022,377,421,56,56,82.29%
4458,DREAM LOGIC,/app/2110510/,Sep 6 2022,19,131,12,12,82.29%
4459,Ruins Of Mitriom,/app/1847390/,Jan 11 2022,23,77,5,5,82.29%
4460,Lights Off!,/app/1917090/,May 27 2022,50,"1,246",197,197,82.28%
4461,The Golden Rose: Book One,/app/1892950/,Jun 2 2022,207,116,10,10,82.28%
4462,Whateverland,/app/1175840/,Sep 15 2022,32,93,7,7,82.28%
4463,Queen Beast,/app/2078290/,Dec 6 2022,14,93,7,7,82.28%
4464,Zombies and Keys,/app/1167150/,Jul 21 2022,3,41,1,1,82.27%
4465,Dead Man's Rest,/app/1465640/,Mar 14 2022,9,41,1,1,82.27%
4466,Manafinder,/app/1582410/,Oct 5 2022,22,41,1,1,82.27%
4467,"Love, Death & Veggies",/app/1725620/,Jan 7 2022,3,41,1,1,82.27%
4468,My Big Sister: Remastered,/app/2118540/,Oct 25 2022,6,41,1,1,82.27%
4469,Azure Striker Gunvolt 3,/app/1931690/,Oct 13 2022,216,228,26,26,82.26%
4470,Turbo Golf Racing,/app/1324350/,Aug 4 2022,546,376,49,49,82.25%
4471,Parkour Tag,/app/1699860/,Jan 24 2022,61,152,15,15,82.25%
4472,Security Booth: Director's Cut,/app/1828690/,Aug 19 2022,40,123,11,11,82.25%
4473,Captain Bones,/app/951820/,Jul 27 2022,48,173,18,18,82.24%
4474,Animal Shelter,/app/1239320/,Mar 23 2022,"1,750","1,575",257,257,82.22%
4475,Dungeon Village,/app/1859360/,Mar 28 2022,288,381,50,50,82.22%
4476,The Swordbearer,/app/1998050/,Jul 4 2022,69,100,8,8,82.22%
4477,Galaxy Tales: Story of Rapunzel,/app/1497710/,Jun 30 2022,4,30,0,0,82.22%
4478,The Cartomancy Anthology,/app/1869870/,Aug 9 2022,13,30,0,0,82.22%
4479,Astrocat: Milky Way Journey,/app/1946990/,Apr 15 2022,6,30,0,0,82.22%
4480,Dragon Mine,/app/1989310/,Aug 17 2022,10,30,0,0,82.22%
4481,Shiny Ski Resort,/app/2072170/,Nov 28 2022,31,30,0,0,82.22%
4482,Aery VR - Calm Mind,/app/2173670/,Dec 19 2022,4,30,0,0,82.22%
4483,伊格利亚战记,/app/1116880/,Apr 13 2022,563,"1,294",207,207,82.20%
4484,Lost In Fantaland,/app/1266430/,Sep 26 2022,264,266,32,32,82.20%
4485,Cartridge Defense,/app/1291540/,Sep 3 2022,21,76,5,5,82.20%
4486,Tales From The Unending Void,/app/1858500/,May 2 2022,211,259,31,31,82.19%
4487,Of Blades & Tails,/app/1768780/,Oct 19 2022,43,84,6,6,82.19%
4488,Telepath Tactics Liberated,/app/1849820/,Mar 14 2022,32,84,6,6,82.19%
4489,Life on the Edge,/app/1968040/,Jun 17 2022,20,59,3,3,82.19%
4490,Skator Gator,/app/1760240/,Jan 17 2022,5,50,2,2,82.19%
4491,Numeral Lord,/app/2095180/,Oct 15 2022,24,50,2,2,82.19%
4492,Forgive Me Father,/app/1590910/,Apr 7 2022,333,"2,185",370,370,82.17%
4493,Audio Trip,/app/826540/,Dec 19 2022,15,239,28,28,82.17%
4494,My Gaming Club,/app/1862690/,Dec 14 2022,181,452,62,62,82.15%
4495,EarthRoyale,/app/2016220/,Jul 29 2022,33,99,8,8,82.14%
4496,City Bus Manager,/app/1364210/,Nov 10 2022,986,660,97,97,82.13%
4497,pemsa,/app/1494910/,Apr 13 2022,32,114,10,10,82.13%
4498,Rhapsody: A Musical Adventure,/app/1866430/,Aug 30 2022,26,67,4,4,82.12%
4499,The Rat Plague,/app/2063500/,Nov 14 2022,99,67,4,4,82.12%
4500,My devil's voice,/app/1639300/,Aug 30 2022,56,40,1,1,82.12%
4501,SokoWinter,/app/1867610/,Mar 13 2022,7,40,1,1,82.12%
4502,Twin Cores,/app/2018830/,Sep 14 2022,6,40,1,1,82.12%
4503,Tournament Ark,/app/1666520/,Dec 19 2022,36,75,5,5,82.10%
4504,AGRYOS: Recovering Eden,/app/1702980/,Feb 11 2022,12,75,5,5,82.10%
4505,Repetendium,/app/2055500/,Nov 4 2022,176,135,13,13,82.08%
4506,Pants Quest,/app/1810610/,Mar 2 2022,10,58,3,3,82.07%
4507,Dungeons & Dragons: Krynn Series,/app/1904610/,Mar 29 2022,78,58,3,3,82.07%
4508,What if your girl was a frog?,/app/1986230/,Jun 3 2022,10,190,21,21,82.06%
4509,Cube Racer 2,/app/1468160/,Mar 9 2022,92,223,26,26,82.05%
4510,Curtain Call,/app/1839180/,Apr 26 2022,7,49,2,2,82.05%
4511,A HERO AND A GARDEN,/app/1914740/,May 5 2022,7,49,2,2,82.05%
4512,SquishCraft,/app/2081180/,Jul 27 2022,26,49,2,2,82.05%
4513,Solanaceae: After All,/app/1741080/,Oct 6 2022,9,29,0,0,82.04%
4514,Tumblebugs,/app/1843880/,Mar 18 2022,12,29,0,0,82.04%
4515,Pengu Never Left,/app/1865100/,Feb 20 2022,3,29,0,0,82.04%
4516,Hare Apparent,/app/1939500/,Apr 4 2022,4,29,0,0,82.04%
4517,Egglien,/app/1994440/,Aug 5 2022,4,29,0,0,82.04%
4518,东方光耀夜 ~ Lost Branch of Legend,/app/1140150/,Aug 18 2022,302,368,49,49,82.03%
4519,Kayak VR: Mirage,/app/1683340/,Jul 12 2022,126,536,77,77,82.02%
4520,Salt 2,/app/1574900/,Sep 20 2022,753,606,89,89,82.01%
4521,Illusion,/app/1875610/,Mar 1 2022,24,105,9,9,82.01%
4522,Cafeteria Nipponica,/app/1952170/,Jul 4 2022,285,105,9,9,82.01%
4523,Isonzo,/app/1556790/,Sep 13 2022,"4,196","4,922",901,901,81.99%
4524,Kanjozoku Game レーサー,/app/2073470/,Jul 17 2022,622,"2,413",419,419,81.99%
