,id,game,link,Primary Genre,Store Genres,Publisher,Developer,Detected Technologies,Store Asset Modification Time,review_percentage,players right now,24-hour peak,all-time peak,all-time date
191,191,Brave Soldier - Invasion of Cyborgs,/app/2287760/,Indie (23),"Action (1), Adventure (25), Indie (23)",JM Neto Game Dev,JM Neto Game Dev,"SDK.NWJS, SDK.NodeJS",25 January 2023 – 21:38:09 UTC (3 months ago) (1674682689),100,0,1,6,2023-02-03T17:40:21+00:00
192,192,Breakers Collection,/app/1786230/,Action (1),"Action (1), Casual (4)",QUByte Interactive,QUByte Interactive,Engine.Unity,11 January 2023 – 18:48:40 UTC (3 months ago) (1673462920),97,0,10,78,2023-01-12T14:00:07+00:00
193,193,Loretta,/app/1592540/,Adventure (25),"Adventure (25), Casual (4), Indie (23)",DANGEN Entertainment,Yakov Butuzoff,Engine.GameMaker,16 February 2023 – 08:04:07 UTC (2 months ago) (1676534647),93,8,9,48,2023-04-01T14:30:11+00:00
194,194,Evacuation,/app/2224920/,Action (1),"Action (1), Adventure (25), Free to Play (37)",SMRC,Evac Dev. Team,"Engine.Source, SDK.Bink_Video, SDK.CEF, SDK.Miles_Sound_System, SDK.SDL",29 November 2022 – 07:40:35 UTC (5 months ago) (1669707635),89,9,10,119,2023-01-07T14:30:08+00:00
195,195,Unbreakable Vr Runner,/app/494310/,Indie (23),"Action (1), Adventure (25), Indie (23), Sports (18)",Miikka Åsnabrygg,Miikka Åsnabrygg,"Engine.Unity, SDK.OpenVR, SDK.Vorbis",13 August 2020 – 17:24:23 UTC (3 years ago) (1597339463),98,0,1,5,2016-07-04T21:31:47+00:00
196,196,Terraformers,/app/1244800/,Strategy (2),Strategy (2),Goblinz Publishing,Asteroid Lab,"Engine.Unity, SDK.SteamworksNET, SDK.UnityBurst, SDK.cURL",9 March 2023 – 16:31:41 UTC (last month) (1678379501),88,420,421,"1,853",2023-03-12T15:20:05+00:00
197,197,Vengeful Guardian: Moonrider,/app/1942010/,Action (1),"Action (1), Indie (23)",The Arcade Crew,JoyMasher,SDK.Greenworks,12 January 2023 – 15:33:51 UTC (3 months ago) (1673537631),91,1,5,103,2023-01-12T22:30:09+00:00
198,198,江城创业记,/app/2281410/,Early Access (70),"Indie (23), RPG (3), Simulation (28), Early Access (70)",BD Games,iFAction Studio,SDK.SteamworksNET,30 March 2023 – 12:30:29 UTC (16 days ago) (1680179429),91,578,671,"1,126",2023-04-05T13:45:04+00:00
199,199,LOUD,/app/1838290/,Action (1),"Action (1), Casual (4)",Hyperstrange,Hyperstrange,"Engine.Unity, SDK.FMOD, SDK.UnityBurst",11 April 2023 – 17:15:06 UTC (4 days ago) (1681233306),95,5,11,28,2023-04-12T02:50:11+00:00
200,200,Girl Fantasy,/app/2203030/,Casual (4),"Casual (4), Indie (23), RPG (3)",Muli Game,Muli Game,Engine.Unity,20 February 2023 – 02:39:03 UTC (2 months ago) (1676860743),90,1,5,170,2023-02-10T14:50:06+00:00
201,201,Atomic Heart,/app/668580/,RPG (3),"Action (1), Adventure (25), RPG (3)",Focus Entertainment,Mundfish,"Engine.Unreal, SDK.NVIDIA_APEX, SDK.NVIDIA_DLSS, SDK.NVIDIA_GeForce_Now, SDK.NVIDIA_Nsight_Aftermath, SDK.NVIDIA_PhysX, SDK.Vorbis, SDK.Wwise, SDK.XAudio2",21 February 2023 – 13:37:41 UTC (2 months ago) (1676986661),85,"2,006","2,147","38,469",2023-02-21T14:20:05+00:00
202,202,Pocky & Rocky Reshrined,/app/2200580/,Action (1),Action (1),NatsumeAtari,NatsumeAtari,Engine.Unity,27 January 2023 – 07:08:26 UTC (3 months ago) (1674803306),97,0,5,34,2023-02-25T03:00:12+00:00
203,203,Elle: Portal,/app/2262970/,Indie (23),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23)",L. Stotch,L. Stotch,"SDK.Greenworks, SDK.NWJS, SDK.NodeJS",1 February 2023 – 17:02:17 UTC (2 months ago) (1675270937),94,3,8,46,2023-02-19T15:20:10+00:00
204,204,STRANGER OF PARADISE FINAL FANTASY ORIGIN,/app/1358700/,Action (1),"Action (1), Adventure (25), RPG (3)",Square Enix,Square Enix,"SDK.AMD_GPU_Services, SDK.NVIDIA_DLSS",3 April 2023 – 09:03:23 UTC (12 days ago) (1680512603),88,"2,259","2,299","2,544",2023-04-09T14:15:04+00:00
205,205,Garden in!,/app/1953860/,Casual (4),"Casual (4), Indie (23)",Bonus Stage Publishing,Dramatic Iceberg,"Engine.Unreal, SDK.CEF, SDK.FMOD, SDK.Intel_OID, SDK.NVIDIA_APEX, SDK.NVIDIA_GeForce_Now, SDK.NVIDIA_Nsight_Aftermath, SDK.NVIDIA_PhysX, SDK.OpenXR, SDK.Vorbis, SDK.XAudio2",25 January 2023 – 18:02:24 UTC (3 months ago) (1674669744),93,10,12,63,2023-01-26T17:10:10+00:00
206,206,Fears to Fathom - Episode 3,/app/2120900/,Indie (23),"Adventure (25), Casual (4), Indie (23)",Rayll,Rayll,"Engine.Unity, SDK.UnityBurst, SDK.cURL",4 December 2022 – 12:54:42 UTC (4 months ago) (1670158482),89,18,21,383,2023-01-09T18:20:06+00:00
207,207,Tails: The Backbone Preludes,/app/2020030/,Indie (23),"Adventure (25), Indie (23)",Raw Fury,Eggnut,"Engine.Unreal, SDK.FMOD, SDK.Intel_OID, SDK.NVIDIA_Nsight_Aftermath, SDK.Vorbis, SDK.XAudio2",31 January 2023 – 13:46:22 UTC (2 months ago) (1675172782),93,3,5,55,2023-02-02T19:50:11+00:00
208,208,Breakout 13,/app/2095300/,Adventure (25),"Adventure (25), Indie (23), RPG (3)",ALT Lab,ALT Lab,"SDK.NWJS, SDK.NodeJS",4 April 2023 – 12:02:46 UTC (11 days ago) (1680609766),86,149,201,"11,996",2023-02-02T13:00:04+00:00
209,209,PARANOIA PLACE,/app/1592290/,Early Access (70),"Action (1), Adventure (25), Indie (23), Simulation (28), Early Access (70)",Bloody Pixel,Bloody Pixel,"Engine.Unity, SDK.SteamworksNET, SDK.cURL",3 April 2023 – 22:23:07 UTC (12 days ago) (1680560587),92,17,28,68,2023-02-20T02:20:09+00:00
210,210,Half-Life 2: VR Mod - Episode Two,/app/2177760/,Action (1),"Action (1), Adventure (25)",Source VR Mod Team,Source VR Mod Team,"Engine.Source, SDK.Bink_Video, SDK.CEF, SDK.Miles_Sound_System, SDK.OpenVR, SDK.SDL, SDK.SteamworksNET",4 April 2023 – 20:56:52 UTC (11 days ago) (1680641812),96,45,50,113,2023-04-07T18:20:08+00:00
211,211,Barbaria,/app/1984610/,Action (1),"Action (1), Indie (23), RPG (3), Strategy (2)","Stalwart Games, LLC","Stalwart Games, LLC","Engine.Unity, SDK.OculusXRPlugin, SDK.OpenVR, SDK.UnityBurst",16 March 2023 – 00:26:53 UTC (last month) (1678926413),95,0,3,13,2023-02-19T21:10:16+00:00
212,212,Truxton,/app/2022880/,Action (1),Action (1),Bitwave Games,Bitwave Games,,24 March 2023 – 16:30:38 UTC (22 days ago) (1679675438),97,1,4,30,2023-02-14T13:00:13+00:00
213,213,Slobbish Dragon Princess 3,/app/2225250/,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Sekai Project,Whirlpool,,4 January 2023 – 20:56:14 UTC (3 months ago) (1672865774),100,1,5,15,2023-03-15T15:00:12+00:00
214,214,Into The Flames,/app/1222300/,Simulation (28),"Action (1), Casual (4), Indie (23), Simulation (28)",PlayWay S.A.,Fully Involved Game Studios,"Engine.Unreal, SDK.Intel_OID, SDK.NVIDIA_APEX, SDK.NVIDIA_GeForce_Now, SDK.NVIDIA_Nsight_Aftermath, SDK.NVIDIA_PhysX, SDK.Vorbis, SDK.XAudio2",15 January 2023 – 05:00:15 UTC (3 months ago) (1673758815),88,28,89,212,2023-01-11T03:20:07+00:00
215,215,Children of Silentown,/app/1108000/,Adventure (25),"Adventure (25), Indie (23)",Daedalic Entertainment,Elf Games,"Engine.Unity, SDK.SteamworksNET",11 January 2023 – 15:47:30 UTC (3 months ago) (1673452050),90,20,20,285,2023-01-13T20:20:05+00:00
216,216,Have a Nice Death,/app/1740720/,Action (1),"Action (1), Indie (23)",Gearbox Publishing,Magic Design Studios,"Engine.Unity, SDK.Discord, SDK.FMOD, SDK.UnityURP, SDK.cURL",22 March 2023 – 16:29:57 UTC (24 days ago) (1679502597),86,"1,202","1,244","2,510",2023-03-26T15:30:05+00:00
217,217,See You Later,/app/2234600/,Indie (23),"Casual (4), Indie (23), RPG (3)",琉璃花糖制作组,琉璃花糖制作组,Engine.RenPy,5 February 2023 – 05:33:41 UTC (2 months ago) (1675575221),98,0,0,10,2023-02-14T13:40:15+00:00
218,218,Misericorde: Volume One,/app/1708110/,Indie (23),"Adventure (25), Casual (4), Indie (23)",XEECEE,XEECEE,Engine.RenPy,22 February 2023 – 07:08:36 UTC (2 months ago) (1677049716),100,0,7,17,2023-03-25T03:30:18+00:00
219,219,Miniland Adventure: Prologue,/app/2152460/,Free to Play (37),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23), Simulation (28)",Gameparic,Imilkowski Dev,"Engine.Unity, SDK.UnityURP",13 April 2023 – 13:14:29 UTC (2 days ago) (1681391669),90,21,29,525,2023-03-15T13:30:04+00:00
220,220,Future Radio,/app/2156620/,Adventure (25),Adventure (25),NekoNyan Ltd.,Laplacian,"Engine.Unity, SDK.UnityBurst",27 January 2023 – 16:21:12 UTC (3 months ago) (1674836472),92,2,9,97,2023-02-18T12:50:08+00:00
221,221,Conjury Revell,/app/2142850/,Action (1),"Action (1), Free to Play (37)",SMU Guildhall,SMU Guildhall,"Engine.Unreal, SDK.Intel_OID, SDK.NVIDIA_APEX, SDK.NVIDIA_GeForce_Now, SDK.NVIDIA_Nsight_Aftermath, SDK.NVIDIA_PhysX, SDK.Vorbis, SDK.XAudio2",21 January 2023 – 13:53:39 UTC (3 months ago) (1674309219),93,0,2,25,2023-02-11T18:20:15+00:00
