,id,game,link,Primary Genre,Store Genres,Publisher,Developer,Detected Technologies,Store Asset Modification Time,review_percentage,players right now,24-hour peak,all-time peak,all-time date
2110,2110,Slab,/app/844180/,Action (1),"Action (1), Casual (4), Indie (23)",Smash The Code,Smash The Code,"Engine.Unity, SDK.SteamworksNET, SDK.cURL",10 November 2018 – 20:22:47 UTC (5 years ago) (1541881367),80.0,0,1,10,2019-01-27T12:40:06+00:00
2111,2111,The Wastes,/app/793670/,Action (1),"Action (1), Indie (23)",Vera Visions,Vera Visions,Engine.idTech3,23 June 2022 – 12:39:33 UTC (10 months ago) (1655987973),85.0,0,1,11,2018-04-12T18:10:21+00:00
2112,2112,Forever Space,/app/811130/,Adventure (25),"Violent (73), Adventure (25), Indie (23)",Pinhead Games,Pinhead Games,Engine.Unity,22 February 2018 – 06:20:50 UTC (5 years ago) (1519280450),85.0,0,0,4,2018-03-10T19:00:48+00:00
2113,2113,Strangers of the Power 2,/app/851840/,Indie (23),"Casual (4), Indie (23), RPG (3)",Tuomo's games,Tuomo Laine,"Engine.RPGMaker, SDK.Greenworks, SDK.NWJS, SDK.NodeJS",24 April 2020 – 08:26:20 UTC (3 years ago) (1587716780),85.0,0,1,3,2018-05-29T03:20:30+00:00
2114,2114,Fallen Bird,/app/857710/,Indie (23),"Action (1), Indie (23)",Starmyth,Starmyth,"Engine.Unreal, SDK.NVIDIA_APEX, SDK.NVIDIA_PhysX, SDK.OculusXRPlugin, SDK.Vorbis",20 May 2018 – 12:03:19 UTC (5 years ago) (1526817799),85.0,0,0,23,2018-07-16T14:20:17+00:00
2115,2115,Scud Frenzy,/app/864510/,Action (1),"Action (1), Indie (23)",Windybeard,Windybeard,,11 June 2018 – 20:51:35 UTC (5 years ago) (1528750295),85.0,0,0,5,2018-06-09T00:30:25+00:00
2116,2116,Quiet as a Stone,/app/872060/,Indie (23),"Casual (4), Indie (23)",Distant Lantern Studios Ltd,Richard Whitelock,"Engine.Unity, SDK.cURL",18 June 2022 – 10:10:04 UTC (10 months ago) (1655547004),85.0,0,0,6,2019-06-04T20:20:06+00:00
2117,2117,Closers,/app/215830/,Free to Play (37),"Action (1), Free to Play (37), Massively Multiplayer (29), RPG (3)",Naddic Games,Naddic Games,,26 February 2023 – 06:06:15 UTC (2 months ago) (1677391575),74.0,79,106,"2,091",2017-12-26T22:30:03+00:00
2118,2118,OF MICE AND SAND -REVISED-,/app/785780/,Simulation (28),"Simulation (28), Strategy (2)",ARC SYSTEM WORKS,ARC SYSTEM WORKS,,19 December 2022 – 06:37:55 UTC (4 months ago) (1671431875),77.0,4,6,201,2018-04-02T13:50:08+00:00
2119,2119,Death Fungeon,/app/897630/,Indie (23),"Adventure (25), Indie (23)",GrabTheGames,Ritual Games,,2 August 2021 – 14:35:28 UTC (2 years ago) (1627914928),79.0,0,0,7,2018-08-18T15:50:24+00:00
